original,predito
8,16.36363636
34,29.57627119
11,24.91248207
6,8.221698113
25,24.48998822
32,24.48998822
10,20.47232472
20,24.60297767
14,15.04914744
12,15.56125734
9,6.06308358
14,28.43569554
14,22.62174941
9,5.590998043
6,6.06308358
81,72.03992016
12,29.41184041
10,33.8
5,6.06308358
16,13.35576923
21,19.74418605
39,26.87012987
21,16.24761077
150,72.03992016
20,19.30769231
10,16.37944984
12,19.3375
7,8.206896552
20,24.2920354
14,29.08943089
10,15.56125734
31,26.3707518
30,10.36666667
10,24.48998822
22,29.66666667
9,29.41184041
14,29.41184041
18,16.33333333
8,5.691176471
9,26.34444444
10,21.6
17,17.04179104
6,8.148148148
14,21.27710843
41,33.81666667
14,27.94092827
7,20.47232472
11,17.04179104
23,16.37944984
9,13.02898551
8,6.06308358
9,8.029535865
4,6.06308358
22,42.546875
21,17.04179104
14,20.47232472
12,15.625
34,15.97744361
3,6.06308358
9,9.787878788
15,23.08302808
16,15.56125734
16,31.13461538
12,16.01157025
22,29.41184041
15,24.60297767
69,44.37226277
11,15.56125734
7,23.3
8,11.92907801
23,13.02898551
9,8.396721311
8,6.06308358
14,16.37944984
12,24.2920354
16,15.46031746
9,24.91248207
12,15.56125734
15,15.56125734
15,12.67567568
55,71.2
22,7.668918919
7,6.087185489
15,21
25,31.32258065
13,16.87847222
30,30
6,6.06308358
19,22.62174941
18,15.625
3,6.2448
12,26.3707518
7,33.05823627
8,8.221698113
10,15.56125734
16,20.01731602
10,23.08302808
3,6.06308358
7,11.75
12,16.07751938
7,6.06308358
39,33.26035503
16,33.80813953
9,24.48998822
17,15.47509225
12,27.40300546
25,29.08943089
7,8.3
8,21.6
16,15.56125734
32,12.58974359
10,10
6,9.909836066
12,16.24761077
10,16.0952381
8,14.17670683
16,29.44609665
12,15.625
25,32.15988024
22,36.12602535
15,15.56125734
15,26.13414634
12,14.87235772
14,14.17670683
17,24.48998822
43,32.15988024
9,8.236486486
8,24.48998822
16,15.56125734
32,33.05823627
3,6.25
10,14.77884615
10,19.94444444
35,32.13074205
5,6.087185489
18,24.48998822
19,20.82568807
17,14.87235772
19,15.58931298
28,23.66153846
20,27.94092827
42,8.388888889
22,15.56125734
20,19.13636364
29,34.71511628
8,29.57627119
18,16.43913043
15,20.01731602
4,6.06308358
21,12.23076923
20,21.49382716
8,12.4375
3,6.087185489
12,15.04914744
7,8.101449275
20,22.62174941
10,15.04914744
34,32.65346535
19,16.24761077
26,20.82568807
11,14.17670683
17,15.49246231
10,17.04179104
29,54.60194175
18,27.40300546
10,27.40300546
7,5.9844479
16,25.20942408
11,12.37333333
15,15.47509225
14,16.70986321
22,15.56125734
14,26.14285714
20,15.72222222
34,24.91248207
9,17.66984127
23,16.70986321
10,15.11940299
17,22.62174941
17,22.29861111
16,16.37944984
12,34.09090909
25,24.91248207
8,6.06308358
11,14.53333333
14,15.11940299
14,16.87847222
12,15.56125734
7,6.087185489
7,8.152416357
26,12.83130699
13,15.04914744
15,15.46031746
14,16.01157025
20,20.05294118
32,34.14604186
26,34.65554231
3,9.222222222
10,14.87235772
4,6.06308358
18,10.42105263
8,5.901960784
72,68.03030303
12,15.56125734
5,6.06308358
20,16.37944984
41,34.14604186
5,6.06308358
19,17.09259259
12,17.02272727
18,27
36,28.43859649
8,23.88297872
22,27.94092827
76,23.08302808
46,32.69776119
10,14.87235772
5,16.22413793
8,9.666666667
5,8.221698113
15,23.88297872
30,32.7752809
10,15.97361478
100,20.47232472
8,5.9844479
41,23.61363636
15,15.56125734
25,24.48998822
65,84
9,8.101449275
18,29.41184041
15,20.3877551
26,31.43931159
4,10.71428571
10,15.33517241
29,34.14604186
16,15.75757576
7,6.06308358
7,5.9844479
18,33.80487805
8,8.254237288
14,18.47916667
14,16.70986321
10,21.49382716
14,24.2920354
6,17.33744856
20,15.47509225
34,42.546875
25,25.20942408
14,23.47183099
5,6.06308358
25,20.36320755
7,14.04
9,6.259704251
44,59.52272727
21,26.04575163
33,27.40300546
4,6.06308358
22,33.39566396
20,16.33408578
16,10.64179104
24,19.20833333
7,6.06308358
16,38.97894737
31,33.26035503
18,15.56125734
11,14.17670683
10,15.49246231
14,15.56125734
37,33.54458599
12,23.88297872
9,6.087185489
10,17.36111111
22,22.76470588
16,16.01157025
29,33.05823627
20,15.58931298
12,15.56125734
41,27.94660194
8,5.691176471
19,21.27710843
6,22.58282209
9,6.06308358
20,22.06976744
16,22.37755102
15,16.37944984
5,5.9844479
20,15.625
6,14.55462185
12,21.40449438
13,13.89473684
7,12.83130699
18,15.33517241
56,71.58823529
7,6.06308358
11,15.56125734
10,27.40300546
5,8.396721311
16,15.77659574
12,26.11111111
16,20.82568807
4,8.148148148
13,21.6
15,21.75
22,21.13654096
20,29.57627119
8,5.590998043
45,33.54458599
8,25.20942408
7,6.06308358
22,31.43931159
18,16.3664825
34,33.68
14,25.27894737
12,11.32653061
22,12.83130699
16,20.01731602
4,6.087185489
12,15.56125734
19,24.98387097
29,29.94666667
