original,predito
35,31.5
21,37.81529954
35,25.72
26,37.81529954
19,14.98022152
18,16.4375
7,7.5
14,15.79683131
15,14.98022152
9,8.15720524
15,37.81529954
71,37.81529954
16,25.15789474
21,23.31034483
9,6.187839305
10,15.79683131
22,15.40462428
31,37.81529954
19,15.4473161
60,37.81529954
5,6.357142857
14,37.81529954
9,37.81529954
12,15.75146199
20,15.79683131
18,17.51114923
9,24.44444444
39,29.51623932
7,8.28125
33,37.81529954
40,32.57594937
31,36.58333333
15,16.89767442
15,16.10877193
20,14.42301943
17,16.89767442
11,14.70099668
25,16.82678984
8,6.187839305
25,25
12,15.62025316
60,52.57894737
22,14.42301943
11,14.87755102
21,16.10877193
7,20.13043478
4,6.187839305
115,85.45454545
29,37.81529954
7,8.345132743
29,41.59016393
24,37.81529954
46,36.58333333
65,70.16129032
16,15.75146199
12,15.79683131
28,33.92797784
75,18.92307692
7,8.144736842
9,37.81529954
10,15.65625
61,37.81529954
20,15.14705882
25,30.85714286
13,15.79683131
12,14.98022152
26,37.81529954
21,16.70090634
26,31.46
22,14.42301943
76,70.56502242
14,17.51114923
10,38.40833333
11,16.58208955
40,30.875
12,17.42412451
22,17.42412451
9,6.187839305
21,15.75146199
10,16.51612903
9,8.386363636
4,6.090909091
5,6.187839305
18,37.81529954
12,13.5
10,16.10877193
13,16
15,14.98022152
5,6.488095238
81,69.25925926
16,16.10877193
8,14.61538462
28,33.37587007
12,14.23232323
10,13.84782609
16,14.98022152
16,37.81529954
14,23.45454545
21,38.40833333
21,15.4473161
67,19.63779528
26,33.92797784
64,37.81529954
7,8.28125
33,33.11764706
33,36.71777003
30,31.0625
45,32.65
26,37.81529954
18,13.81395349
16,29.05494505
34,36.71777003
29,33.37587007
12,14.23232323
49,38.40833333
13,17.11111111
10,15.55508475
30,19.2
6,16.82678984
17,14.98022152
23,37.81529954
37,32.22596154
24,37.81529954
9,6.187839305
29,34.5625
49,35.2293578
27,36.71777003
27,37.81529954
15,16.82678984
15,14.98022152
69,70.56502242
17,15.75146199
17,15.93243243
10,16.90909091
75,74.83082707
15,14.98022152
13,14.4375
10,14.98022152
21,20.92682927
15,16.89767442
31,37.81529954
26,33.37587007
26,29.64935065
31,34.57142857
115,16.82678984
28,33.45501285
8,8.15720524
26,29.64935065
15,17.51114923
21,37.81529954
7,6.488095238
15,15.71653543
7,8.170305677
10,15.55508475
14,15.50557621
9,8.144736842
9,13.09677419
7,6.406976744
10,20.53768844
16,17.53333333
9,8.113207547
11,14.70099668
13,24.46153846
9,20
76,38.40833333
19,16.70090634
23,14.70099668
33,31.5
27,33.63352273
51,37.81529954
99,37.81529954
13,15.75146199
15,14.70099668
27,31.08333333
14,32.65
29,29.51623932
16,15.79683131
9,19.63779528
9,8.344827586
35,31.9826087
17,36.71777003
31,37.81529954
18,16.51912568
19,16.10877193
21,15.40462428
54,70.56502242
14,16.10877193
11,14.42301943
22,15.79683131
36,31.4
29,31.41666667
11,19.63779528
49,38.40833333
14,15.79683131
26,37.81529954
34,37.81529954
10,15.88976378
8,6.090909091
29,32.79411765
16,15.79683131
74,85.45454545
13,15.79683131
20,14.98022152
24,15.75146199
29,27.33333333
11,14.42857143
9,8.386363636
29,31.41176471
14,37.81529954
15,38.40833333
14,29.51623932
16,15.4473161
16,16.10877193
47,37.81529954
14,37.81529954
11,15.50557621
4,5.012345679
18,38.40833333
11,15.75146199
32,37.81529954
18,16.70090634
17,16.10877193
12,16.10877193
99,38.40833333
63,37.81529954
14,14.73626374
51,37.81529954
31,34.94660194
24,37.81529954
14,15.79683131
22,14.98022152
20,37.81529954
22,17.80701754
11,13.3125
11,16.70090634
13,38.40833333
14,16.4375
25,33.41025641
10,14.98022152
14,16.65517241
41,29.51623932
70,61.8
14,36.71777003
16,15.50740741
34,33.81519862
14,16.70090634
16,16.10877193
12,15.75146199
15,25.10588235
24,28.82795699
25,18.75
15,15.88976378
7,8.306122449
10,16.10877193
40,37.81529954
15,14.96296296
13,16.10877193
51,37.81529954
11,16.70090634
44,33.41025641
39,33.41025641
43,33.63352273
29,29
10,15.79683131
18,29.1
14,15.79683131
21,16.10877193
25,16.82678984
12,14.23232323
19,37.81529954
6,6.177777778
19,16.70090634
118,25.1657754
22,16.89767442
8,6.187839305
10,15.93243243
28,31.46
10,14.98022152
16,15.75146199
22,16.4375
15,14.23232323
28,33.81519862
9,25.1657754
20,15.43037975
21,37.81529954
18,15.31428571
23,37.81529954
45,20.53768844
24,37.81529954
20,15.40462428
16,15.75146199
14,15.50557621
7,6.703125
21,15.62025316
14,37.81529954
18,16.70090634
25,31.5
19,15.40462428
20,15.4473161
99,37.81529954
7,8.170305677
8,16.82678984
35,33.92797784
55,85.45454545
10,14.70099668
34,33.92797784
41,33.63352273
12,17.80701754
10,16.82678984
30,23.97560976
18,37.81529954
9,8.15720524
26,32.44776119
36,33.92797784
8,6.204545455
10,16.10877193
27,33.37587007
45,32.22596154
84,28.82795699
11,16.125
16,15.88976378
16,15.75146199
18,37.81529954
17,16.70090634
10,14.42301943
16,20.53768844
16,38.40833333
17,14.42301943
9,8.170305677
125,16.82678984
14,15.75146199
16,16.10877193
17,23.56666667
14,15.79683131
27,23.45454545
11,14.42857143
46,35.2293578
69,37.81529954
10,14.42857143
12,14.98022152
15,14.98022152
14,29.05494505
28,33.37587007
11,16.70090634
31,29.64935065
12,14.23232323
7,8.15720524
7,6.488095238
24,37.81529954
20,15.50740741
10,14.92207792
11,15.31428571
12,15.75146199
26,29.51623932
15,14.96296296
13,14.42301943
20,14.23232323
7,15.48571429
19,14.73626374
21,16.70090634
16,38.40833333
24,18.09375
69,41.59016393
14,15.7
14,19.6875
31,36.71777003
24,25.1657754
16,16.70090634
24,37.81529954
34,33.37587007
30,37.81529954
16,16.10877193
51,29.51623932
44,23.23809524
36,35.2293578
20,14.42857143
62,52.57894737
16,38.40833333
24,15.88976378
24,16.2704918
10,15.75146199
26,31.9826087
12,14.42301943
51,74.83082707
14,18.09375
56,70.72413793
15,19.63779528
21,29.51623932
22,14.23232323
31,33.41025641
10,16.90909091
16,16.70090634
16,16.76635514
28,31.46
19,14.98022152
21,17.51114923
46,31.51785714
15,13.77777778
21,16.33333333
34,37.81529954
40,37.81529954
15,14.13684211
6,6.187839305
16,15.55508475
12,16.10877193
30,33.92797784
12,14
18,37.81529954
60,91.66666667
15,16.70090634
21,15.79683131
10,17.69477912
20,37.81529954
14,38.40833333
11,12.55555556
29,31.9826087
15,38.40833333
9,8.28125
14,19.48
3,6.488095238
12,14.95402299
28,37.81529954
20,14.98022152
11,15.79683131
16,14.20909091
19,15.71653543
5,6.488095238
7,5.833333333
74,37.81529954
10,15.75146199
12,14
8,17.78787879
9,6.187839305
11,16.10877193
16,15.75146199
17,38.40833333
10,14.13684211
7,6.187839305
10,13.85714286
20,14.98022152
28,19.44444444
48,33.37587007
5,6.187839305
27,33.92797784
99,38.40833333
14,16.89767442
5,6.177777778
17,37.81529954
13,14.98022152
3,6.187839305
34,29.64935065
30,38.40833333
19,26.375
45,33.37587007
21,16.70090634
49,37.81529954
5,6.488095238
15,14.96296296
14,16.70090634
22,16.89767442
12,16.70090634
13,13.08333333
10,14.32098765
10,15.4473161
15,15.55508475
10,15.93243243
50,71.89534884
36,20.53768844
5,6.187839305
69,37.81529954
14,37.81529954
16,14.98022152
53,37.81529954
20,37.81529954
5,6.187839305
9,8.170305677
39,33.81519862
5,6.187839305
43,32.54
12,15.4473161
7,6.488095238
21,16.70090634
7,6.383838384
60,71.93103448
45,37.81529954
39,18.09375
24,16.50837989
36,37.81529954
16,15.93243243
16,37.81529954
26,38.40833333
15,14.98022152
28,18.92307692
9,8.238095238
24,23.95689655
64,37.81529954
24,16.4375
70,70.5
17,14.42301943
10,16.70090634
39,17.42307692
38,33.92797784
10,23.97560976
55,75.265625
22,17.42412451
45,33.45501285
10,20.53768844
9,8.4
6,4.79558011
32,37.81529954
12,14.70099668
20,14.70099668
15,16.70090634
16,38.40833333
17,14.98022152
20,15.40462428
12,14.70099668
24,17.69477912
8,6.142276423
26,32.44776119
5,6.333333333
19,25.1657754
32,31.5
11,18.52631579
62,37.81529954
36,37.81529954
10,16.70090634
31,37.81529954
12,15.79683131
20,16.4375
16,37.81529954
28,33.45501285
46,29.51623932
18,13.77777778
9,8.28125
22,37.81529954
51,41.59016393
38,37.81529954
24,15.40462428
20,16.50837989
10,16.70090634
117,71.89534884
21,15.79683131
40,20.53768844
10,14.23232323
140,74.59090909
90,38.83333333
40,37.81529954
49,34.5625
7,26.76923077
10,14.42301943
23,37.81529954
20,16.9047619
9,8.386363636
26,38.40833333
20,25.10588235
46,37.81529954
22,17.80701754
15,16.89767442
10,15.75146199
21,16.50837989
14,37.81529954
12,26.76923077
9,8.28125
8,13.3125
9,6.187839305
7,8.345132743
22,15.4473161
20,23.31034483
12,16.10877193
6,6.187839305
7,8.144736842
23,15.40462428
10,18.51515152
13,17.51114923
3,6.187839305
44,33.37587007
8,6.187839305
23,16.10877193
8,6.488095238
24,23.95689655
28,33.81519862
14,13
13,15.88976378
19,19
17,14.42301943
66,69.64317181
14,16.82678984
11,14.73626374
9,17.83333333
25,32.4
21,37.81529954
14,15.50740741
56,36.71777003
15,23.45454545
29,37.81529954
31,31.4
17,37.81529954
17,14.96296296
16,15.79683131
14,16.82678984
31,29.05494505
69,37.81529954
19,36.71777003
31,33.63352273
45,37.81529954
14,16.70090634
6,6.2875
16,15.79683131
16,16.70090634
11,16.70090634
10,15.75146199
10,13.84782609
9,27.42990654
12,15.55508475
29,38.40833333
12,16.70090634
16,18.09375
7,8.259259259
24,16.10877193
7,38.7
3,5.012345679
27,37.81529954
26,37.81529954
26,33.81519862
36,32.57594937
17,14.0952381
8,6.187839305
36,33.37587007
35,37.81529954
25,31.41666667
20,17.51114923
49,36.71777003
10,14.42857143
24,37.81529954
26,38.40833333
8,15.16666667
10,14.96296296
12,15.75146199
29,52.57894737
25,29.81818182
14,27.575
12,15.75146199
11,17.69477912
14,14.98022152
39,39
23,16.70090634
21,16.70090634
5,6.187839305
18,37.81529954
7,13.5
14,17.69477912
22,14.42301943
24,15.79683131
12,16.47368421
22,37.81529954
11,16.70090634
9,16.82678984
19,28.11111111
17,17.83333333
6,7.561643836
18,17.42412451
19,17.78787879
25,38.40833333
42,33.37587007
17,36.71777003
21,29.51623932
10,17.80701754
39,34.18867925
45,33.81519862
18,29.64935065
41,37.81529954
21,16.70090634
4,4.738461538
8,6.187839305
20,16.58333333
7,8.28
95,74.59090909
22,15.79683131
12,15.88976378
18,14.98022152
37,33.37587007
16,16.70090634
7,6.274509804
16,17.51114923
39,33.41025641
10,15.4473161
21,37.81529954
25,35.2293578
5,6.187839305
44,34.5625
13,15.31428571
46,33.92797784
9,8.170305677
13,16.4375
10,15.55508475
28,33.37587007
46,33.41025641
20,14.3
32,37.81529954
50,37.81529954
36,37.81529954
18,37.81529954
51,37.81529954
24,38.40833333
15,16.70090634
18,29.05494505
13,15.4473161
10,15.70621469
13,16.10877193
3,6.187839305
13,15.75146199
31,34.94660194
20,13.81395349
56,74.59090909
12,16.4375
25,32.57594937
25,90.4
17,15.75146199
12,16.70090634
10,14.23232323
10,17.51114923
14,37.81529954
20,15.75146199
11,17.51114923
10,12.6
9,8.306122449
14,29.51623932
49,34.94660194
12,14.98022152
25,16.82678984
45,33.45501285
15,37.81529954
109,80.10526316
10,14.98022152
10,15.31428571
26,31.41176471
35,33.37587007
41,37.81529954
16,19.63779528
16,25.1657754
21,25.72
28,33.37587007
27,34.18867925
26,32.54
38,37.81529954
15,14.20909091
12,14.42301943
18,15.65625
12,16.10877193
20,14.23232323
9,8.386363636
8,8.386363636
73,74.83082707
41,36.71777003
10,15.70621469
16,17.80701754
40,32.5
26,33.41025641
46,38.40833333
34,30.91304348
31,38.40833333
14,15.79683131
30,31.75471698
26,33.45501285
14,14.54385965
15,14.98022152
39,25.10588235
74,37.81529954
24,29.51623932
24,16.10877193
16,16.10877193
14,15.75146199
14,16.18421053
21,15.79683131
39,31.5
8,4.79558011
20,16.76635514
16,25.1657754
34,32.22596154
115,29.1
75,69.01408451
15,17.51114923
9,27.42990654
36,23.4375
29,31.08333333
30,32.44776119
16,16
10,13.81395349
74,71.45454545
14,16.18421053
9,8.170305677
11,15.79683131
22,15.80952381
10,14.98022152
35,38.40833333
34,37.81529954
41,36.71777003
21,15.40462428
29,16.51612903
21,19
10,14.98022152
10,10
6,4.79558011
19,15.88976378
12,37.81529954
20,14.98022152
9,8.28125
56,76.16129032
9,8.386363636
20,20.72413793
21,38.40833333
74,37.81529954
24,29.51623932
35,37.81529954
26,33.37587007
34,37.81529954
22,16.18421053
16,18.66666667
31,32.44776119
17,16.10877193
14,17.42412451
19,15.50557621
8,37.81529954
24,37.81529954
10,15.48571429
14,29.51623932
29,31.9826087
6,6.142276423
14,14.73626374
15,24.72972973
5,6.406976744
8,8.15720524
23,16.10877193
12,15.79683131
4,6.488095238
22,17.78787879
16,16.10877193
16,13.95652174
4,24.44444444
7,6.187839305
35,33.37587007
34,34.57142857
22,23.23809524
8,6.177777778
12,14.42857143
56,69.64317181
41,34.94660194
15,16.70090634
32,16.82678984
58,70.11111111
21,37.81529954
29,37.81529954
9,8.170305677
21,36.71777003
36,33.37587007
8,8.15720524
23,14.96296296
11,16.70090634
12,14.42857143
35,33.37587007
6,6.488095238
13,15.54545455
16,16.10877193
9,8.576923077
21,15.40462428
74,37.81529954
20,19.63779528
16,37.81529954
12,14.32098765
18,13.81395349
26,34.18867925
9,8.15720524
129,37.81529954
11,16.70090634
10,15.70621469
24,29.51623932
15,20.25
16,25.1657754
12,14.42857143
16,16.10877193
18,15.75146199
12,37.81529954
5,19.17777778
6,6.476190476
10,15.29166667
9,8.259259259
59,80.10526316
30,32.22596154
10,14.70099668
26,29.51623932
15,15
27,33.45501285
49,31.41666667
34,33.37587007
19,15.55508475
39,34.5625
27,33.11764706
24,15.30769231
27,33.81519862
18,15.50740741
19,16.4375
28,38.40833333
8,6.425806452
15,37.81529954
19,15.79683131
31,37.81529954
26,32.59090909
22,14.42857143
44,36.71777003
9,8.428571429
12,15.79683131
11,23.44
61,37.81529954
9,8.15720524
29,38.40833333
35,19.63779528
40,24.45454545
14,16.70090634
20,17.51114923
12,36.44776119
8,8.113207547
65,62
26,37.81529954
11,14.36
19,16.4375
26,37.81529954
21,15.79683131
31,37.81529954
18,16.2704918
10,15.75146199
39,17.28571429
21,16.10877193
15,20.92682927
19,14.98022152
46,37.81529954
3,6.204545455
21,15.55508475
60,69.01408451
15,14.44
12,16.33333333
15,14.42301943
15,14.98022152
10,25.1657754
5,5.865384615
10,14.42301943
21,18.6
79,32.65
8,5.912280702
14,14.98022152
10,14.70099668
24,15.79683131
29,31.41176471
18,37.81529954
11,16.70090634
14,16.4375
12,15.79683131
41,31.51785714
26,36.71777003
7,6.703125
25,31.41666667
8,6.187839305
9,8.386363636
26,31.75471698
49,38.40833333
11,16.10877193
26,33.81519862
9,8.15720524
16,15.71653543
13,16.10877193
13,38.40833333
38,29.51623932
16,29.51623932
12,16.82678984
7,10.5
14,15.79683131
9,18.97674419
11,15.4473161
26,25.1657754
37,33.45501285
12,16.10877193
37,32.57594937
61,69.25925926
21,41.59016393
39,41.59016393
16,37.81529954
39,33.37587007
21,23.45454545
25,31.46
31,31.8
5,6.425806452
8,6.187839305
7,6.177777778
14,15.98571429
10,16.51912568
18,15.50557621
15,15.50557621
16,25.10588235
23,17.69477912
7,6.245901639
17,16.2704918
11,27.42990654
9,37.81529954
28,37.81529954
3,4.79558011
21,15.55508475
15,37.81529954
26,31.5
17,17.69477912
12,14.42301943
19,23.97560976
10,13.10526316
39,29.05494505
65,70.56502242
32,33.92797784
16,15.75146199
18,16.70090634
31,33.37587007
109,37.81529954
12,16.70090634
17,16.70090634
16,14.23232323
16,15.5
24,16.70090634
4,6.383838384
31,33.63352273
16,16.10877193
8,6.177777778
11,15.79683131
36,33.92797784
80,64.42105263
16,15.75146199
6,6.177777778
28,31.41176471
30,34.94660194
6,7.561643836
9,8.170305677
18,16.10877193
11,15.79683131
16,14.42301943
11,15.79683131
10,15.55508475
23,17.80701754
14,16.10877193
21,16.10877193
25,32.59090909
20,17.42412451
10,14.70099668
16,15.31428571
10,15.4473161
18,15.75146199
22,14.98022152
11,15.4473161
9,8.28125
12,16.10877193
4,6.142276423
27,33.45501285
15,14.98022152
36,38.40833333
14,29.51623932
9,6.488095238
16,17.51114923
44,33.81519862
8,6.425806452
13,16.10877193
41,23.16666667
12,14.98022152
109,37.81529954
25,33.45501285
10,14.98022152
69,80.10526316
36,37.81529954
18,16.70090634
97,37.81529954
12,17.80701754
16,15.50740741
26,16.58208955
20,14.98022152
5,6.177777778
7,18.92307692
16,15.55508475
20,14.70099668
34,37.81529954
41,62.33333333
9,8.170305677
33,37.81529954
45,29.51623932
24,16.89767442
140,16.82678984
28,37.81529954
36,37.81529954
5,9
50,21.8
18,33.06976744
24,15.75146199
12,14.23232323
24,16.10877193
13,15.4473161
8,13.10526316
10,14.42301943
7,8.28125
34,31.41176471
26,33.41025641
23,15.75146199
35,37.81529954
63,69.01408451
17,15.55508475
40,34.94660194
56,69.64317181
17,17.51114923
30,38.40833333
16,17.53333333
12,16.10877193
16,16.70090634
16,16.70090634
30,33.92797784
14,16.51912568
46,33.37587007
17,16.76635514
13,29.64935065
19,15.75146199
3,4.79558011
10,14.98022152
49,37.81529954
5,6.177777778
48,33.92797784
8,6.090909091
26,37.81529954
10,17.42412451
12,14.42301943
41,38.40833333
15,14.42857143
30,16.82678984
70,75.265625
6,20.53768844
18,17.51114923
47,38.40833333
15,25.1657754
11,15.4473161
30,37.81529954
74,37.81529954
29,29.64935065
14,16.10877193
40,37.81529954
7,6.187839305
34,36.44776119
9,8.15720524
20,14.32098765
5,6.245901639
5,6.177777778
15,15.79683131
8,6.488095238
14,15.88976378
12,14.42301943
29,31.5
10,17.03703704
34,38.40833333
22,37.81529954
14,34.57142857
56,37.81529954
20,19.63779528
29,33.45501285
9,6.187839305
44,41.59016393
24,16.70090634
40,32.57594937
14,15.43037975
14,14.54385965
56,44.11111111
13,36.71777003
18,13.95652174
74,38.40833333
8,8.15720524
51,37.81529954
8,10
3,9.711111111
39,33.45501285
19,33.06976744
10,15.79683131
26,33.63352273
14,21.42857143
46,34.57142857
36,33.92797784
10,14.42301943
59,38.40833333
12,24.75
44,33.37587007
13,16.10877193
26,33.45501285
24,23.44
5,6.187839305
7,6.187839305
7,6.488095238
9,8.34375
31,29.05494505
22,29.64935065
35,15.76923077
31,33.81519862
17,15.70621469
3,6.142276423
16,16.10877193
16,17.80701754
101,51.9
21,14.98022152
20,14.98022152
15,14.98022152
7,18.09375
11,14.98022152
12,15.75146199
4,6.187839305
9,8.386363636
14,19.06666667
14,17.51114923
13,13.95652174
19,15.98571429
40,27.5
22,16.50837989
14,15.40462428
21,32.55172414
28,33.92797784
6,6
16,25.1657754
8,25.10588235
14,15.4473161
16,16.4375
9,6.2875
7,16.82678984
16,16.10877193
25,31.5
20,16.10877193
16,14.54385965
28,37.81529954
11,17.42412451
24,14.42857143
115,51
6,6.177777778
24,15.75146199
87,70.11111111
29,35.2293578
12,15.79683131
27,31.41666667
14,16.10877193
10,14.42301943
10,14.36
10,14.96296296
28,31.5
16,16.70090634
20,15.88976378
50,37.81529954
51,38.40833333
13,16.70090634
12,14.42301943
7,8.386363636
41,18.97674419
29,33.63352273
5,14.88235294
14,15.79683131
37,37.81529954
40,37.81529954
10,15.4473161
25,31.41176471
14,15.71653543
59,37.81529954
14,15.79683131
14,37.81529954
25,37.81529954
9,8.28125
9,6.090909091
25,9.711111111
22,29.64935065
8,8.170305677
22,36.71777003
20,37.81529954
17,16.10877193
60,69.01408451
25,32.59183673
41,37.81529954
38,15.48571429
12,14.42301943
14,16.70090634
12,15.70621469
13,14.98022152
16,15.31428571
14,17.53333333
88,74.59090909
75,36.44776119
19,37.81529954
15,14.98022152
44,37.81529954
41,37.81529954
8,13.09677419
11,15.50740741
9,8.28125
20,17.51114923
16,29.64935065
49,37.81529954
56,37.81529954
14,15.08474576
14,15.71653543
14,16.2704918
19,23.44
40,37.81529954
16,16.70090634
19,15.55508475
13,14.98022152
11,14.36
15,18.97674419
24,15.75146199
8,8.170305677
11,13.95652174
21,17.80701754
22,16.50837989
31,37.81529954
9,8.5
35,38.40833333
10,15.79683131
20,15
9,8.170305677
22,21.33333333
8,8.166666667
30,32.22596154
16,15.79683131
15,13.4137931
20,14.70099668
11,14.36
37,31.9826087
13,16.70090634
21,37.81529954
67,38.40833333
26,33.37587007
16,29.64935065
39,33.37587007
26,37.81529954
14,15.75146199
10,14.42857143
9,12.5
24,37.81529954
14,11
18,14.98022152
16,18.81818182
44,33.92797784
27,33.37587007
15,11.5
16,37.81529954
34,37.81529954
14,20.92682927
62,37.81529954
26,36.71777003
14,16.10877193
64,37.81529954
109,37.81529954
16,36.71777003
80,75.265625
23,37.81529954
26,37.81529954
11,17.51114923
34,37.81529954
31,33.41025641
12,15.79683131
10,20.53768844
29,30.58823529
9,8.386363636
13,14.98022152
13,15.79683131
25,31.41666667
12,16.70090634
33,36.71777003
12,13.81395349
44,37.81529954
22,37.81529954
22,16.70090634
10,15.88976378
15,14.42301943
14,15.06896552
44,37.81529954
8,6.187839305
8,6.187839305
79,37.81529954
54,37.81529954
23,15.79683131
26,37.81529954
7,6.187839305
8,32.6
22,15.41935484
21,15.88976378
16,18.97674419
4,6.187839305
59,38.40833333
7,8.28125
23,29.05494505
45,32.57594937
24,17.69477912
10,15.71653543
7,8.259259259
40,33.11764706
8,50.61904762
20,13.4137931
11,15.62025316
21,15.4473161
11,17.51114923
25,31.75471698
12,15.75146199
31,31.41176471
16,14.73626374
20,15.88976378
10,14.36
12,16.10877193
26,32.21686747
13,38.40833333
18,16.51912568
15,14.92207792
15,15.79683131
9,6.204545455
21,28.82795699
14,37.81529954
30,22.33333333
3,6.425806452
20,17.51114923
20,29.64935065
41,31.8
16,17.80701754
18,15.88976378
21,20.25
16,16.10877193
6,6.187839305
9,6.425806452
16,36.71777003
12,15.4473161
19,16.70090634
15,14.98022152
20,17.51114923
13,20.72413793
16,14.98022152
16,15.62025316
10,14.32098765
28,38.40833333
17,13.81395349
9,8.386363636
15,14.98022152
79,37.81529954
12,15.79683131
10,14.98022152
39,37.81529954
38,31.41666667
18,15.75146199
6,6.187839305
27,31.5
44,36.71777003
26,33.63352273
21,15.79683131
10,14.32098765
14,14.70099668
29,31.9826087
7,38.40833333
8,6.187839305
26,37.81529954
41,37.81529954
28,18.51515152
6,6.177777778
19,37.81529954
44,28.17647059
21,16.70090634
59,29.64935065
8,8.170305677
6,6.425806452
25,35.2293578
19,16.10877193
20,16.89767442
13,16.50837989
39,19.13636364
24,38.40833333
94,69.25925926
23,16.4375
34,33.63352273
63,38.40833333
17,15.50740741
18,23.4375
3,4.79558011
49,44.11111111
94,71.66
10,15.55508475
14,25.1657754
18,37.81529954
115,71.75
18,14.42857143
31,37.81529954
15,18.02857143
16,37.81529954
44,38.40833333
7,7
20,37.81529954
13,16.10877193
30,31.75471698
8,8.345132743
16,16.125
10,14.42857143
71,36.71777003
27,38.40833333
26,32.59183673
34,33.81519862
31,36.71777003
15,17.69477912
25,31.46
11,15.75146199
8,6.488095238
4,6.488095238
10,14.96296296
17,15.75146199
40,36.66666667
10,15.30769231
26,32.21686747
30,28.61111111
10,15.79683131
21,18.09375
8,6.187839305
12,13.22222222
16,15.62025316
34,37.81529954
47,33.92797784
14,23.95689655
46,40.75
10,16.89767442
15,14.42301943
12,14.54385965
10,14.5
20,14.92207792
9,15.375
31,23.23809524
16,16.10877193
10,14.42301943
11,15.79683131
41,37.81529954
25,33.41025641
30,24.72972973
51,74.83082707
8,20.53768844
31,31.75471698
7,6.187839305
10,14.23232323
31,33.92797784
20,20.53768844
22,16.70090634
38,37.81529954
9,8.260869565
15,41.59016393
11,16.70090634
7,6.333333333
12,15.50557621
8,20.53768844
15,19.17777778
19,37.81529954
80,75.9
3,6.187839305
15,17.51114923
16,15.55508475
16,16.10877193
24,34.57142857
19,15.75146199
7,6.425806452
20,15.79683131
16,15.50740741
18,16.10877193
18,15.08474576
50,29.05494505
12,15.79683131
12,13.81395349
7,28.70175439
7,9
16,15.55508475
31,33.81519862
29,33.41025641
8,6.177777778
11,15.55508475
20,14.70099668
80,66.46666667
6,5.912280702
14,17.80701754
27,33.81519862
98,37.81529954
11,15.08474576
44,37.81529954
8,6.187839305
12,16.70090634
15,15.8
17,14.42301943
33,15.08108108
12,16.10877193
10,14.98022152
59,37.81529954
70,70.56502242
18,37.81529954
41,35.125
12,16.10877193
24,16.10877193
26,37.81529954
18,15.79683131
