original,predito
29,31.15789474
5,6.049099836
8,8.122775801
36,32.45090909
7,15.06666667
10,16.37894737
13,26.90140845
14,15.70884658
12,15.58549223
14,15.50547046
34,17.87012987
28,33.48788368
150,88.36283186
9,12.2300885
36,32.66666667
7,8.147435897
16,20.0952381
7,6.823353293
12,21.04444444
91,90.18367347
10,22.60839161
8,6.191135734
30,30.60144928
9,6.243636364
22,22.34042553
14,15.74769231
9,13.7704918
56,14.22916667
10,17.18693694
7,7.636363636
26,13.77272727
36,32.24045802
8,6.88034188
10,14.34375
8,5.988948015
12,15.36868687
12,14.34868421
14,14.23076923
13,6.823353293
9,8.039513678
5,6.547511312
6,12.44444444
21,15.97089947
17,15.06838906
11,15.65348981
12,13.875
24,23.83627797
16,15.67638691
56,22.60839161
15,25.09433962
12,15.8130217
10,9
9,6.488888889
12,15.65348981
15,15.55980861
20,27.03418803
19,35.53225806
18,18.92134831
13,16.32700422
7,6.084249084
15,57.95757576
17,28.13492063
12,22.70833333
34,33.52736318
8,13.7704918
12,19.40310078
14,13.92647059
22,29.76066946
10,23.14
9,6.147186147
12,14.28808446
8,21.23529412
61,36.765625
8,6.191135734
11,12.11403509
18,14.73674912
36,32.9724026
28,32.76704545
8,8.116666667
14,26.99655172
13,18.90909091
14,15.74769231
8,14.45794393
24,17.28070175
65,49.44444444
14,16.23529412
34,30.83950617
8,6.58056872
16,15.36868687
8,6.147186147
39,32.76704545
29,48.05590062
18,23.83627797
10,19.20833333
8,16.1875
10,12.33333333
5,16.87777778
11,15.70059289
13,12.39130435
24,34.96376812
52,88.36283186
39,17.3646789
10,14.73674912
12,33.48788368
14,15.50547046
5,10.81818182
24,32.81481481
10,14.34375
12,15.5
14,11.72307692
16,15.06838906
25,14.16666667
4,6.291417166
11,15.36868687
10,23.83627797
7,5.988948015
8,8.115107914
30,32.94029851
6,5.988948015
9,8.169270833
12,12.92857143
14,14.35483871
22,15.09090909
6,6.049099836
46,25.42134831
12,17.90909091
9,15.41666667
20,14.95962733
3,6.456852792
34,17.3646789
5,6.266666667
95,46.64705882
11,15.54297872
6,9.379310345
13,15.70059289
12,21.23529412
18,29.33493976
24,16.32700422
36,27.38095238
30,30.60144928
19,15.65348981
19,15.67638691
15,15.8130217
26,34.2772424
45,22.55252918
6,6.488888889
7,6.341346154
13,37.29816514
8,15.41463415
9,17.86111111
20,15.7
186,60.12100457
21,18.485
9,13.06451613
31,32.08060453
3,8.585365854
8,5.988948015
20,23.83627797
7,13.35714286
67,48.16666667
9,9.8125
69,74.95833333
29,33.45970149
51,36.765625
14,20.11538462
25,24.7591623
7,8.039513678
11,14.99585062
30,33.96407186
30,31.94285714
7,12.88235294
24,15.67638691
7,8.146268657
24,15.67638691
28,33.05084746
8,6.291417166
14,15.41666667
65,54.75
26,17.18693694
20,14.05524862
29,33.4148398
3,5.988948015
13,11.49872123
12,14.34868421
4,20.75431034
14,12.76923077
6,24.34736842
5,6.488888889
18,16.32700422
16,15.65348981
18,45.52777778
11,30.8440367
18,29.33493976
22,22
50,19.875
16,15.70059289
14,18.53146853
17,33.48788368
90,29.76066946
14,14.23529412
11,14.95962733
9,8.039513678
11,15.36868687
21,21
8,17.3646789
13,12.44444444
6,5.854271357
11,15.69565217
44,32.08060453
15,13.54761905
15,30.2962963
7,9.928571429
12,15.65348981
10,18.04081633
14,13.80555556
25,29.125
14,13.97647059
21,16.4
29,31.87096774
10,11.11111111
16,14.34375
14,39.90909091
44,30.83950617
11,12.92857143
55,30.66666667
19,15.8130217
13,34
9,16.33333333
3,6.049099836
22,15.70884658
20,15.67638691
30,32.45090909
10,14.34375
8,6.156498674
14,17.3646789
10,14.078125
9,11.49872123
12,22.1
38,33.13888889
14,34.2772424
68,41
24,16.05727554
12,14.28808446
24,17.86111111
10,14.10204082
70,62.38181818
23,28.89781022
42,32.66666667
8,15.38372093
26,33.4148398
22,14.67647059
20,15.06838906
10,16.26057906
9,8.122775801
35,31.05369128
6,5.988948015
8,13.2173913
26,20.72390572
35,24.68032787
5,5.988948015
18,16.02358491
11,34.96376812
26,32.9724026
10,15.54297872
28,32.70516717
16,12.52
14,16.0952381
10,14.7983871
13,13.79310345
9,5.988948015
7,8.116541353
24,19.67857143
9,8.039513678
16,23.83627797
12,14.34375
6,18.22222222
15,26.70652174
16,33.48788368
15,14.34375
18,14.34375
14,11.2
7,6.291417166
8,8.115107914
12,14.34375
24,29.76066946
12,15.36868687
21,15.61184883
10,11.48543689
20,32.04697987
5,12.375
37,34.54807692
9,8.146268657
26,33.4148398
8,6.191135734
39,32.125
40,33.4148398
9,8.116666667
18,15.8130217
30,32.66666667
10,14.26950355
7,32.23282443
4,6.95
10,15.859375
10,14.73674912
34,32.24045802
9,6.371364653
38,26.81395349
39,34.2772424
12,14.34375
9,8.141509434
22,14.9137931
10,11.35714286
11,14.28808446
13,14.53571429
9,8.20610687
21,14.45945946
8,8.141509434
40,36.0625
18,22.07894737
16,17.37470726
7,6.371364653
7,8.259259259
13,35.53225806
6,6.37037037
10,15.68173599
19,18.375
40,39.29955947
11,15.67638691
14,16.5
9,6.291417166
23,15.36868687
7,12.66666667
23,15.14285714
4,5.988948015
8,6.084249084
38,32.43617021
13,16.37684729
10,15.65348981
12,14.67801858
90,90.16666667
9,8.259259259
7,7
19,35.53225806
18,13.17368421
7,8.141509434
10,17.37470726
12,13.04255319
13,14.34375
10,16.0952381
25,33.45970149
8,22.01980198
15,29.33493976
34,34.2772424
20,17.4109589
16,14.35483871
8,6.291417166
25,31.94791667
61,98.3
21,15.44897959
10,12.94262295
30,32.375
21,23.83627797
20,16.04397706
40,33.125
18,15.54297872
14,14.28808446
19,47.14086957
11,14.34375
20,45.52777778
10,15.61184883
28,31.5274463
8,11.94444444
21,14.10460251
11,15.55980861
16,28.35245902
18,36.61538462
7,15.58549223
3,17.71681416
7,17.04109589
8,6.823353293
8,10.50877193
12,14.34375
26,16.21327014
24,36.72222222
16,25.08196721
8,10
20,14.34375
40,30.45454545
30,34.2772424
13,16.90786948
16,15.5
16,15.78118162
19,14.73674912
12,15.78118162
36,22.94466403
27,32.24045802
25,28.89781022
14,15.68173599
9,6.488888889
13,37.48684211
24,22.01980198
15,14.34375
10,26.31205674
8,13.17368421
14,12.63888889
19,14.66666667
9,6.191135734
12,15.06838906
51,84.79704797
8,6.290909091
51,68.7704918
7,8.115107914
10,14.73674912
32,32.9724026
16,17.42307692
16,13.09090909
26,32.08060453
41,57.40909091
80,22.55252918
5,6.632352941
7,8.122775801
8,6.191135734
20,14.7983871
3,5.988948015
14,15.68173599
58,75.38028169
31,33.82880435
9,15.90804598
46,33.48788368
9,31.82524272
21,16.0952381
51,56.5046729
13,15.27205882
18,15.734375
49,56.08333333
14,20.72390572
10,9.16091954
14,31.83673469
16,16.90786948
34,22.91891892
69,26.81395349
3,21.55263158
16,15.55980861
5,6.243636364
9,8.122775801
8,17.90909091
13,15.50547046
30,29.76066946
8,13.98360656
14,48.82364729
16,15.67638691
35,19.33333333
31,33.4148398
14,14.35483871
14,14.94285714
50,28.9
9,11.98888889
17,15.54297872
36,34.54807692
20,22.70833333
12,15.65348981
34,34.2772424
20,22.55252918
12,15.70884658
10,13.05737705
8,17.37470726
21,15.65348981
13,18.485
22,18.46808511
7,8.039513678
29,32.45090909
54,77.98857143
20,22.26086957
4,5.988948015
25,34.1971831
12,15.36868687
15,15.8130217
14,15.36868687
30,23.83627797
36,30.21243523
10,14.67801858
4,5.988948015
12,15
8,8.169270833
30,31.94285714
5,15.53658537
14,16.33333333
7,8.039513678
10,13.05737705
7,8.039513678
15,39.29955947
80,64.70588235
50,56.7037037
13,16.10948905
4,5.988948015
14,16.90786948
8,6.341346154
19,24.4
175,37.48684211
16,24.96153846
14,15.65348981
7,14
14,14.60540541
20,14.26950355
12,17.26037736
14,23.94708995
10,13.85393258
49,34.4
5,5.988948015
24,15.65348981
49,23
9,5.988948015
10,16.32700422
22,15.50547046
16,33.48788368
14,15
9,14.28571429
14,15.74769231
10,48.05590062
15,15.70884658
14,29.48275862
13,18.92134831
14,14.73674912
10,19.16666667
6,6.37037037
90,37.29816514
19,15.8130217
6,6.823353293
14,22.55252918
3,5.988948015
10,13.70121951
22,16.26057906
13,14.10460251
12,9.739130435
41,34.48
25,20.9
30,41.9
7,6.049099836
20,15.8130217
8,6.456852792
8,6.341346154
14,16.21327014
20,16.04397706
3,5.988948015
8,6.547511312
44,47.14086957
16,34.37078652
16,17.04761905
19,13.05737705
11,22.94466403
29,23.83627797
41,56.5046729
30,13.41666667
16,14.28808446
13,9.451612903
5,12.20717131
25,29.33493976
46,32.08060453
14,34.2772424
40,33.05084746
12,15.8130217
15,14.35483871
18,15.65348981
9,8.122775801
27,39.29955947
10,14.05524862
28,31.5274463
4,6.371364653
95,17.4109589
14,18.38571429
10,15.77647059
19,20.5
24,15.65348981
24,16.83221477
26,22.55252918
7,88.36283186
18,14.22222222
9,22.94466403
4,6.632352941
10,14.7983871
36,33.96407186
18,15.27642276
7,17.2195122
10,16.05727554
17,15.78118162
10,15.68173599
29,34.2772424
13,6.823353293
15,14.22222222
16,14.34375
10,12.84615385
18,47.14086957
21,17.73913043
9,5.988948015
13,15.61184883
9,15
9,9.928571429
9,11.49872123
37,28.35245902
26,33.52736318
8,6.291417166
12,15.8130217
14,13.17368421
19,15.70884658
14,15.64705882
8,8.039513678
14,15.50547046
6,14.05524862
10,15.67638691
21,34.2772424
46,33.56756757
29,16.30769231
15,14.34375
20,16.04397706
5,10.2
12,16.37684729
9,18.53146853
20,20.75431034
8,8.169270833
20,15.06838906
5,5.833333333
28,48.25
10,16.37894737
12,15.36868687
24,15.55980861
26,29.76066946
20,15.54297872
11,30.21243523
36,32.24045802
20,22.55252918
41,26.70652174
14,15.70059289
9,8.085365854
8,10.73913043
30,31.5274463
28,31.94285714
15,15.97089947
23,16.90786948
16,15.42647059
7,8.116666667
19,47.14086957
46,33.48788368
11,15.67638691
26,33.45970149
16,19.92592593
11,15.06838906
7,6.37037037
29,34.2772424
14,15.36868687
12,14.34868421
12,34.08152174
5,6.88034188
180,88.36283186
45,21.19642857
14,16.37684729
34,24.93617021
36,37.29816514
4,15.35294118
16,25.78787879
24,15.36868687
24,28.21794872
10,15.68173599
14,15.70059289
26,32.70516717
15,17.28070175
10,11.9020979
29,11.49872123
14,15.74769231
3,6.049099836
16,15.61184883
12,16.83870968
9,8.146268657
15,15.68173599
4,6.823353293
35,33.4148398
15,14.41111111
6,6.290909091
25,15.65
19,15.50547046
16,15.70059289
34,12.69230769
10,18.81395349
41,17.3646789
8,8.146268657
21,24.96153846
9,8.122775801
9,17.71681416
7,5.988948015
8,12.63888889
38,28.35245902
7,6.266666667
8,14.05524862
12,16.26057906
14,16.37684729
10,14.34375
13,15.74769231
20,16.37684729
12,15.36868687
31,32.08060453
17,15.50547046
10,16.05727554
10,15.67638691
15,28.13492063
6,6.37037037
19,15.68173599
15,15.77647059
