original,predito
52,37.55555556
8,6.283367094
13,15.7165272
12,14.25045278
5,6.283367094
10,35.72381196
9,5.624203822
40,24.85036496
6,6.283367094
6,30.54676259
4,6.283367094
7,46.08450704
51,54.49019608
38,29.51612903
19,32.96446701
10,13.453125
44,40.2
5,15.7165272
12,16.02923211
8,6.283367094
21,16.06530612
5,6.283367094
17,14.79799666
13,14.25045278
5,6.283367094
41,26.59090909
31,32.62433862
4,5.861111111
24,17.6125
12,16.61597938
15,16.5
36,32.32743363
8,8.032986111
9,32.96446701
20,38.18656716
8,6.403571429
12,14.25045278
10,14.79799666
25,30.82973316
31,35.82758621
62,38.29411765
6,23.775
11,16.71565934
30,38.18656716
25,24.14492754
21,28.66211293
13,26.21565731
12,29.51612903
19,16.71565934
5,15.7165272
12,16.33924612
23,38.18656716
89,57.08695652
18,14.25045278
10,14.25045278
17,15.40677966
7,5.861111111
59,28.66211293
22,27.25910596
6,6.283367094
10,16.02923211
50,32.83098592
3,15.7165272
15,14.04852321
65,65.78846154
16,46.08450704
60,27.25910596
6,24.47272727
8,6.283367094
16,16.33924612
46,35.32173913
25,34.32061069
10,16.02923211
39,32.18662953
3,5.855769231
22,15.7165272
18,15.73109244
86,53.14285714
8,6.414141414
6,34.84827586
16,16.02923211
36,32.84202899
12,22.73195876
9,6.283367094
20,32.70484581
16,16.33924612
8,6.283367094
14,32.70484581
6,18.50714286
6,7.986072423
6,6.283367094
5,15.7165272
11,15.34281437
35,34.32061069
30,30.7274276
38,40.11504425
24,16.7826087
7,8.095833333
14,14.25045278
54,65.15384615
16,16.02923211
35,33.02843602
6,6.283367094
34,41.3547486
42,43.26086957
31,46.8558952
23,14.40536013
17,27.25910596
12,15.14893617
75,73.1
46,32.18662953
9,41.3547486
25,34.32061069
14,14.25045278
10,14.25045278
25,31.8359375
13,38.29411765
19,16.71565934
10,14.25045278
10,16.71565934
90,47.0625
31,34.38554217
7,6.283367094
21,14.25045278
16,15.34281437
95,54.49019608
34,35.72381196
12,15.54477612
26,33.43243243
15,16.02923211
49,41.3547486
22,32.96446701
20,14.25045278
8,6.414141414
25,21.5
10,14.25045278
64,70.16666667
16,22.73195876
10,14.25045278
10,15.7165272
66,68.65789474
9,6.283367094
15,16.33924612
10,14.25045278
8,6.283367094
60,56.5
10,14.04852321
15,14.40536013
25,27.25910596
7,6.283367094
15,24.85036496
13,16.0969697
34,30.76470588
39,32.43542435
6,6.283367094
10,27.25910596
44,36.40740741
20,22.62147651
16,15.77348066
7,8.184210526
30,33.61206897
18,15.7165272
6,6.283367094
5,27.25910596
9,7.848484848
8,6.283367094
11,14.25045278
49,36.075
14,35.72381196
15,15.54477612
6,34.7804878
25,24.14492754
22,32.83098592
12,15.77348066
29,28.66211293
7,6.283367094
8,8.032986111
16,16.71565934
15,15.7165272
7,6.283367094
5,6.283367094
6,15.7165272
9,6.283367094
14,14.04852321
15,15.7165272
15,14.25045278
12,15.26855124
15,25.18181818
12,14.04852321
20,35.72381196
20,15.44481605
34,35.72381196
6,7.986072423
30,34.38461538
5,24.52980132
12,16.90654206
11,15.7165272
12,16.90638298
27,33.61
10,14.25045278
16,15.7165272
9,28.125
29,30.82973316
29,32.70484581
10,30.54676259
49,32.18662953
11,14.25045278
60,50.07563025
8,8.071428571
30,26.21882353
12,22.62147651
11,14.25045278
4,6.283367094
18,35.72381196
11,14.34883721
10,14.25045278
8,32.96446701
12,16.0969697
6,6.283367094
15,27.25910596
9,6.283367094
49,27.25910596
5,5.861111111
25,26.21565731
49,32.43542435
26,35.19083969
5,6.283367094
10,17.6125
10,14.82089552
12,15.7165272
24,14.25045278
5,6.200527704
16,14.79799666
8,50.07563025
6,7.986072423
16,17.6125
5,5.861111111
3,4.533333333
16,15.7165272
15,15.7165272
4,6.283367094
9,6.283367094
46,27.25910596
65,65.69230769
5,18.50714286
32,35.72381196
11,14.25045278
38,27.25910596
9,15.7165272
22,30.54676259
21,33.02843602
16,16.02923211
12,15.44481605
26,33.18947368
19,35.72381196
10,14.93150685
3,6.283367094
19,22.62147651
20,37.16666667
19,16.33924612
12,16.71565934
32,27.25910596
13,14.25045278
12,18.50714286
4,11.60784314
6,26.21882353
7,6.283367094
8,15.7165272
8,8.125
7,6.283367094
28,32.62433862
7,6.283367094
8,6.403571429
8,7.848484848
36,35.82758621
31,35.58181818
84,35.72381196
10,15.7165272
11,14.25045278
8,6.283367094
45,34.32061069
18,50.07563025
20,16.02923211
31,33.67777778
99,53.76190476
10,15.14893617
16,28.66211293
7,26.71398305
12,13.453125
35,30.6446281
8,6.283367094
10,14.25045278
56,65.29411765
10,14.25045278
5,27.25910596
15,26.21882353
34,37
55,27.25910596
10,14.25045278
18,35.72381196
30,27.25910596
5,6.283367094
3,6.283367094
12,14.43403442
16,16.02923211
4,42.12931034
24,27.06666667
31,35.72381196
24,16.02923211
6,6.283367094
19,52.39622642
40,34.98666667
50,67
50,71.453125
14,15.44481605
5,6.283367094
9,20.16666667
10,38.82402235
15,14.25045278
12,33.73154362
26,47.06993007
15,14.25045278
40,24.12721893
15,14.25045278
25,15.7165272
15,35.47715736
15,22.62147651
6,5.861111111
3,5.731117825
18,37.19587629
12,15.44481605
18,24.12721893
46,33.02843602
9,6.283367094
20,15.28125
86,32.18662953
7,8.027272727
65,70.2244898
8,6.283367094
19,16.06530612
41,32.84202899
43,35.72381196
54,28.66211293
12,14.25045278
10,18.50714286
8,6.283367094
30,35.58181818
15,15.7165272
10,16.71565934
9,6.200527704
8,18.50714286
10,14.25045278
25,36
21,16.248
51,66.5952381
80,41.3547486
60,27.25910596
28,32.84202899
24,16.0969697
7,6.283367094
7,15.7165272
6,7.986072423
9,30.7274276
7,15.7165272
23,26.57823129
82,54.32
6,15.7165272
15,35.72381196
15,14.25045278
34,22.73195876
11,14.25045278
22,14.04852321
19,15.34281437
19,16.61597938
10,14.25045278
14,15.7165272
45,27.25910596
46,47.42622951
17,24.12721893
38,30.7274276
20,16.33333333
13,28.66211293
16,16.02923211
30,35.72381196
5,6.283367094
21,16.33924612
