original,predito
6,6.153846154
19,17.19047619
39,33.26600985
10,15.33126935
46,34.06849315
13,14.99099099
15,12.76767677
13,14.73658537
40,58.54545455
60,60.65461847
9,5.833333333
14,15.80427046
10,15.15555556
40,35
9,8.293478261
45,32.27419355
16,15.89855072
36,33.06849315
24,15.89855072
15,14.5530303
12,17.36923077
22,12.76767677
49,63.93461538
34,24.21428571
12,16.37790698
38,32.4516129
40,34
32,20.71111111
8,7.411764706
44,44
34,33.06849315
26,33.896
9,8.125
19,16.55
6,6.783783784
20,14.68421053
10,13.78378378
12,15.75
13,14.73658537
30,29.84615385
7,20.85714286
12,16.75298805
18,17.18351477
5,6.153846154
10,19.46153846
32,32.10204082
15,15.73417722
30,33.13084112
8,6.783783784
114,63.93461538
40,32.96875
15,14.73658537
12,13
12,14.73658537
26,33.13084112
16,17.18666667
76,65.57620818
45,30.73333333
14,30
11,18.76923077
10,14.68421053
9,8.075757576
12,14.36601307
22,26.8852459
44,65.57620818
16,30.64705882
30,19
22,17.18351477
13,14.36601307
36,35.06382979
16,14.36601307
12,15.15555556
6,5.401869159
22,15.89855072
22,17.18351477
16,15.47826087
26,32.640625
45,32
56,68
11,15.80427046
10,17.18351477
80,96
12,14.5530303
36,48.46666667
5,13.40909091
22,16.50877193
16,19.77857143
96,65.57620818
29,31.8125
11,15.99152542
10,20
70,53.37837838
33,23.52941176
46,34.64634146
54,32.85
14,16.37790698
20,13.78378378
19,12.76767677
22,25.66666667
30,33.47916667
30,35
45,32.27419355
18,15.1038961
15,15.33126935
9,8.280487805
26,16.75298805
10,14.75
44,57.83333333
11,13.78378378
12,14.92857143
16,44
18,18.16666667
16,17.18351477
9,8.075757576
24,15.99152542
106,65.57620818
7,17.28205128
25,17.28205128
76,65.57620818
35,31.93913043
25,27
24,14.73658537
24,15.80427046
9,6.225806452
10,14.68421053
21,16.72
100,46.18181818
49,53.37837838
10,14.73658537
90,77.03030303
10,19.85714286
12,16.50877193
10,14.99099099
32,33.26600985
12,17.18351477
9,6.285714286
16,14.99099099
17,17.18351477
16,16.24137931
15,12.6
15,14.68421053
6,7.411764706
7,8.075757576
14,16.37790698
14,15.75
21,16.05813953
4,6.106060606
8,8.285714286
24,15.89855072
10,14.99099099
16,15.90140845
15,15.53278689
13,14.73658537
9,6.783783784
24,15.89855072
5,5.756756757
10,14.39552239
9,7.411764706
24,14.73658537
11,14.73658537
16,14.73658537
11,17.36923077
24,15.33126935
20,14.99099099
121,81.05
18,14.68421053
24,14.5530303
22,16.50877193
18,16.75298805
10,15.75
176,79.43023256
15,14.36601307
26,35.30693069
14,19.85714286
49,35.06382979
12,16.50877193
15,13.3
12,16.37790698
80,60.65461847
18,32.94285714
10,53.37837838
21,24.46428571
30,32.10204082
18,17.18351477
81,32.94285714
15,14.68421053
7,6.783783784
12,13.78378378
10,14.68421053
24,15.80427046
39,33.13084112
11,17.18351477
7,8.285714286
19,17.18351477
16,14.92857143
65,67.58823529
65,51.87665198
115,60.65461847
6,6.783783784
21,17.18351477
10,14.73658537
25,32.53719008
18,14.68421053
22,14.73658537
16,15.89855072
14,17.18351477
45,32.640625
8,17.28205128
61,88
20,15.1038961
36,32.640625
59,63.93461538
86,53.37837838
32,32.62732919
6,6.783783784
29,32.85
15,14.39552239
11,14.73658537
21,15.65740741
65,52.59340659
14,19.85714286
50,94.625
21,15.75
39,12.8
17,15.80427046
24,16.37790698
11,13.78378378
9,8.136363636
11,26.8852459
5,7.411764706
31,20.71111111
20,13.3
18,17.19047619
49,63.93461538
125,56.0625
34,33.86813187
35,32.10204082
20,17.18351477
20,14.68421053
17,14.25
110,51.87665198
8,8.310344828
23,14.68421053
12,16.37790698
3,6.541666667
76,53.37837838
20,15.08333333
86,79.43023256
14,14.73658537
26,32.96875
34,53.37837838
66,59.53333333
9,6.783783784
26,17.87804878
12,14.92857143
11,14.73658537
84,63.93461538
25,32.62732919
9,8.070422535
9,8.293478261
19,35.875
16,13.375
30,31.44230769
9,7.964285714
19,17.18351477
25,31.93913043
4,5.756756757
27,29.33333333
55,89.6
9,16.75298805
29,33.13084112
12,14.36601307
80,51.87665198
21,17.18351477
15,14.39552239
15,14.68421053
20,15.65740741
49,35.30693069
32,31.93913043
10,13.78378378
16,14.73658537
7,8.043478261
35,78.12698413
36,34.64634146
16,14.73658537
71,26.52
14,15.53278689
16,14.99099099
56,78.12698413
14,14.73658537
35,32.27419355
9,16.58064516
10,14.92857143
12,14.5530303
9,7.964285714
16,35.06382979
14,13.78378378
30,35.30693069
19,16.05813953
10,14.39552239
19,15.80427046
6,6.924242424
5,5.882352941
29,34.64634146
59,62.73333333
56,26.52
3,6.153846154
8,8.3
12,14.73658537
17,30.64705882
16,15.89855072
24,14.73658537
10,14.73658537
20,14.68421053
44,63.93461538
12,15.80427046
7,6.725888325
18,14.99099099
12,15.75
11,15.80427046
15,14.99099099
13,31.91176471
10,14.68421053
8,6.206896552
6,6.783783784
9,6.225806452
16,32.62732919
19,15.80427046
9,16.86111111
31,32.62732919
66,52.59340659
8,6.725888325
16,16.89699571
23,17.87804878
19,16.50877193
16,14.99099099
24,16.5862069
3,6.725888325
29,33.13084112
24,65.57620818
13,16.26666667
9,6.783783784
28,32.48587571
15,14.99099099
10,14.36601307
8,6.725888325
22,15.89855072
29,35.06382979
10,14.68421053
12,15.1038961
27,19.33846154
15,17.18351477
3,3
11,14.73658537
35,32.85
13,14.73658537
23,17.18351477
15,22.41489362
16,20.8245614
25,24.21428571
9,8.293478261
19,15.75
11,16.37790698
10,17.36923077
60,60.65461847
24,27.57142857
10,14.99099099
4,6.285714286
15,14.93333333
16,14.68421053
26,34.64634146
46,35.06382979
8,17.87804878
59,75.93023256
