original,predito
10,14.42477876
66,76.7408867
6,8.166666667
36,39.62745098
9,8.092436975
49,34.5
51,59.00991501
60,61.86666667
66,71.59375
14,18.22033898
54,59.00991501
22,28.74482759
14,16.55555556
10,12
7,8.198275862
18,29.72758621
26,84.96666667
12,17.18063584
40,20.70588235
33,33.69021739
9,8.254098361
18,19.22279793
12,17.3902439
23,15.78481013
25,32.56806723
10,14.74736842
7,6.238461538
41,22.31884058
61,59.00991501
18,20.58974359
23,62.85714286
25,30.64705882
61,59.00991501
18,23.28658537
15,15.41050119
11,18.09090909
14,44.89402697
74,53.06730769
41,37.42105263
36,43.875
26,63.46554364
28,24.01256983
10,12.2
6,6.747572816
45,71.59375
13,25.27777778
21,15.78481013
24,17.18063584
31,43.74031746
10,16.40909091
9,17.74363328
19,15.83966245
29,35.66666667
15,17.22727273
45,44.89402697
11,14.61038961
15,51.19836957
16,24.4
34,36.28
17,16.1
7,13.33333333
9,7.666666667
106,60.84210526
28,23.08333333
24,57.66666667
24,29.875
9,12.33333333
9,16.66666667
14,24.11111111
5,5.461538462
81,53.06730769
30,51.19836957
36,43
25,27.39711191
20,13.2
14,15.96979866
26,51.19836957
28,34.52688172
30,27.20408163
31,59.00991501
16,28.51428571
10,35.90909091
60,67.58571429
30,29.75
75,34.83333333
34,35.76875
22,15.83966245
12,17.18063584
26,43.74031746
39,51.61538462
45,46.8974359
20,23.28658537
34,18.22033898
11,14.56652361
10,12.5
9,17.74363328
51,76.7408867
8,15.78378378
12,12.5
20,34.07329843
54,72
13,16.96969697
46,35.76875
26,53.18367347
26,43.74031746
19,13.77419355
15,15.23157895
40,33.2972973
17,19.34343434
26,36.27272727
24,15.96979866
32,50.10714286
6,11.2
40,44.89402697
20,20.45107632
20,15.925
36,36
22,27.14285714
31,34.39325843
61,90.70549451
85,82.85470085
25,52.2
14,20.06666667
31,27.77777778
19,21.6
21,76.7408867
40,29.27272727
22,17.3539823
14,15.41050119
18,15.15593895
11,16.15384615
16,16.97297297
13,13.29411765
25,32.62121212
12,19.22641509
16,15.20512821
26,38.48
9,8.092436975
16,15.96979866
9,8.230769231
44,44
6,6.238461538
20,19.22279793
111,82.4609375
9,6.747572816
19,13.125
28,22.19230769
29,45.85714286
52,30.4
18,16.25
117,50.52290076
50,58.3125
