original,predito
4,6.053087757
16,16.26573427
13,15.38744589
23,16.60081967
11,15.23157895
40,33.60539629
81,68.14906832
11,14
28,33.60539629
59,26.38317757
5,6.25
3,6.053087757
24,16.60081967
15,15.48436019
49,34.32
9,8.029411765
8,12.53703704
12,16.09259259
26,33.29515419
10,13.9124424
10,15.48436019
60,69.43902439
10,13.55208333
10,14
44,33.48902821
10,14
12,15.48436019
10,14.0952381
26,23.1
12,13.9124424
54,67.07894737
11,16.60081967
12,15.02608696
22,15.11989796
18,16.575
3,5.679324895
8,6.25
18,15.671875
39,36.63551402
7,6.632352941
19,52
59,68.82568807
10,14.33128834
15,17.31034483
35,32.29067245
9,8.279069767
7,8.15210356
15,16.46188341
33,33.21848739
12,16.46188341
30,32.29067245
9,6.262560778
34,33.78947368
14,14.82295082
10,14
21,15.22222222
6,5.493333333
6,6.25
8,6.25
30,32.05769231
17,13.89433962
32,33.29515419
21,16.26573427
19,16.03896104
6,6.387096774
36,34.30749354
14,16.60081967
5,5.737804878
8,8.029411765
15,14.75
4,5.679324895
8,6.25
15,15.42672414
13,14
10,14
15,15.02608696
96,66.48780488
11,15.48436019
79,69.59405941
16,15.11989796
7,8.153846154
12,13.65217391
10,15.11989796
5,5.679324895
10,14
10,15.02608696
3,6.188679245
44,22.96774194
24,15.71428571
10,16.09259259
7,6.117166213
12,14
16,14.53333333
18,16.6242515
9,8.112299465
8,5.723325062
22,15.11989796
100,77
9,8.153846154
12,16.09259259
21,16.66306695
6,6.053087757
58,69.70992366
6,5.723325062
8,5.723325062
7,8.112299465
47,33.20744681
7,6.262560778
5,6.271186441
8,6.053087757
15,15.03745318
22,16.46188341
23,23
25,14.5
13,14
15,15.11989796
3,6.25
14,13.82142857
10,15.671875
6,6.117166213
34,33.81564246
31,33.29515419
6,6.053087757
6,6.25
19,16.00568182
24,16.66306695
9,8.151658768
15,14.69375
15,15.02608696
22,15.48436019
31,33.21848739
11,14.62325581
14,15.02608696
10,17.31034483
12,16.60081967
5,6.053087757
12,15.48436019
14,16.09259259
21,14.82295082
13,16.6242515
100,24.34831461
15,13.9124424
15,15.23157895
16,16.60081967
12,14
15,14.5
19,15.23157895
12,16.6242515
11,15.07608696
9,6.192307692
12,16.6242515
5,6.011811024
65,63.72413793
10,14.82295082
8,8.043478261
7,5.679324895
13,32.84375
25,32.29067245
20,16.09259259
10,17.31034483
14,15.03745318
11,15.48436019
10,10
17,16.60081967
19,15.03745318
8,8.136986301
10,14.53333333
16,16.66306695
8,5.679324895
10,14
7,8.4
25,33.48902821
4,6.053087757
12,15.02608696
16,15.11989796
10,16.66306695
18,14
16,15.11989796
10,15.02608696
11,14
24,22.05487805
11,15.671875
8,5.679324895
12,16.46188341
7,22.96774194
5,6.117166213
