price,description_rank,name_rank
4.0,1,1
16.0,10,0
13.0,10,4
23.0,10,3
11.0,10,1
40.0,10,2
650.0,1,0
81.0,2,1
11.0,10,2
28.0,10,5
59.0,9,1
5.0,10,1
3.0,6,4
24.0,9,0
15.0,10,3
49.0,10,2
9.0,10,3
8.0,8,1
12.0,5,4
26.0,10,3
10.0,10,1
10.0,3,1
60.0,10,3
10.0,10,0
10.0,10,4
44.0,10,1
10.0,10,1
12.0,1,3
10.0,8,2
26.0,8,1
12.0,10,1
54.0,10,5
11.0,10,3
12.0,10,2
22.0,10,1
18.0,1,1
3.0,10,4
8.0,10,1
18.0,3,2
39.0,10,2
7.0,10,5
19.0,10,3
59.0,6,0
10.0,10,2
15.0,9,5
35.0,2,1
9.0,10,0
134.0,10,1
7.0,1,1
15.0,9,2
150.0,10,5
33.0,10,1
12.0,4,1
30.0,10,1
9.0,6,4
34.0,2,2
14.0,10,1
10.0,3,1
21.0,1,1
6.0,10,0
6.0,10,3
8.0,10,6
30.0,2,2
17.0,6,1
32.0,1,0
21.0,10,2
19.0,10,1
6.0,10,1
36.0,1,0
14.0,10,3
5.0,10,1
8.0,10,3
15.0,5,2
4.0,10,2
8.0,10,2
15.0,5,1
13.0,10,4
10.0,10,1
15.0,10,3
96.0,9,0
11.0,2,4
79.0,10,0
16.0,10,2
7.0,8,1
12.0,10,1
10.0,10,2
5.0,10,6
10.0,10,3
10.0,9,1
3.0,10,2
44.0,3,4
24.0,8,0
10.0,10,3
7.0,10,2
12.0,4,2
16.0,3,0
18.0,10,1
9.0,6,0
8.0,10,2
22.0,10,2
100.0,3,0
9.0,10,2
12.0,10,2
21.0,10,1
6.0,10,2
58.0,10,4
6.0,10,1
8.0,10,1
7.0,3,0
47.0,3,1
7.0,10,1
5.0,6,0
8.0,7,2
15.0,9,1
22.0,10,1
23.0,1,1
25.0,7,0
13.0,7,2
15.0,3,1
3.0,8,2
14.0,6,3
10.0,10,2
6.0,1,0
34.0,10,0
31.0,4,0
6.0,10,2
6.0,10,4
19.0,10,3
24.0,2,1
9.0,1,3
15.0,3,0
15.0,10,1
22.0,10,3
31.0,10,2
11.0,10,2
14.0,1,1
10.0,10,5
12.0,5,2
5.0,8,2
12.0,4,3
14.0,2,1
21.0,5,1
13.0,10,0
100.0,8,4
15.0,10,2
15.0,5,2
16.0,1,2
12.0,10,3
15.0,10,3
19.0,5,0
12.0,1,2
11.0,10,2
9.0,4,1
12.0,3,2
5.0,6,1
65.0,6,4
158.0,10,0
118.0,10,4
10.0,7,3
8.0,1,1
7.0,1,1
13.0,3,3
25.0,10,1
20.0,5,3
10.0,4,2
14.0,3,0
11.0,9,3
10.0,1,1
17.0,10,2
19.0,4,1
8.0,3,4
10.0,10,1
16.0,10,1
8.0,10,1
10.0,10,4
7.0,4,1
25.0,10,2
4.0,10,2
12.0,10,3
16.0,9,1
10.0,4,2
18.0,10,2
16.0,9,4
10.0,10,2
11.0,10,5
24.0,10,3
11.0,10,2
8.0,10,2
12.0,10,1
7.0,4,2
5.0,10,1
7.0,10,2
10.0,10,1
13.0,10,2
10.0,10,2
12.0,10,2
6.0,1,4
19.0,7,2
10.0,10,1
10.0,10,1
12.0,6,5
9.0,10,2
16.0,4,1
9.0,4,3
8.0,8,2
12.0,1,2
9.0,10,1
45.0,9,0
8.0,10,4
26.0,3,1
20.0,10,2
8.0,10,1
10.0,10,2
3.0,10,4
8.0,10,1
9.0,10,1
8.0,10,1
7.0,10,2
36.0,2,1
15.0,10,2
31.0,7,2
81.0,10,2
20.0,1,0
31.0,9,0
15.0,10,2
8.0,7,3
24.0,10,2
23.0,6,3
14.0,9,3
16.0,10,4
12.0,10,0
31.0,4,2
10.0,10,5
8.0,10,1
22.0,10,3
10.0,10,2
135.0,5,2
35.0,10,2
12.0,4,3
4.0,8,2
10.0,10,1
13.0,10,3
12.0,10,2
36.0,10,3
7.0,3,2
16.0,10,3
36.0,10,1
9.0,6,2
16.0,5,1
12.0,10,3
13.0,10,4
21.0,10,1
14.0,10,1
16.0,3,1
9.0,8,2
9.0,10,3
69.0,5,0
12.0,9,3
20.0,10,1
8.0,10,2
11.0,3,3
26.0,10,3
15.0,7,3
5.0,4,1
7.0,10,1
14.0,5,0
29.0,7,4
40.0,10,1
10.0,10,1
200.0,10,1
30.0,7,3
4.0,3,1
8.0,8,3
29.0,10,2
14.0,6,4
8.0,1,1
16.0,5,3
9.0,1,2
9.0,6,2
8.0,10,0
18.0,3,2
35.0,10,4
8.0,1,1
9.0,2,1
9.0,7,2
10.0,10,2
13.0,10,2
20.0,10,0
14.0,9,2
11.0,1,1
18.0,10,2
19.0,6,1
21.0,10,1
15.0,10,2
59.0,10,0
8.0,5,0
6.0,10,2
4.0,10,1
10.0,8,1
10.0,7,2
8.0,10,2
20.0,4,4
9.0,10,5
20.0,10,2
10.0,5,0
18.0,1,2
6.0,10,1
25.0,1,0
18.0,10,2
4.0,1,2
31.0,8,1
7.0,1,0
7.0,5,2
18.0,10,1
15.0,6,2
27.0,10,2
26.0,2,2
10.0,1,2
100.0,3,2
10.0,10,1
26.0,10,3
56.0,3,0
13.0,4,0
20.0,2,2
13.0,8,2
26.0,10,0
7.0,10,1
24.0,5,2
4.0,10,2
14.0,10,2
8.0,10,1
5.0,1,2
6.0,10,4
14.0,10,1
10.0,6,0
15.0,10,2
7.0,10,1
7.0,10,2
8.0,10,0
12.0,10,2
44.0,1,2
9.0,10,2
8.0,10,3
11.0,1,2
30.0,5,3
12.0,6,1
3.0,10,2
12.0,2,1
4.0,10,1
3.0,10,3
10.0,4,2
6.0,3,3
50.0,8,1
18.0,10,2
9.0,8,2
11.0,10,0
20.0,10,2
14.0,10,2
14.0,10,1
8.0,1,4
14.0,10,3
4.0,9,3
12.0,2,1
3.0,10,2
6.0,10,3
22.0,10,4
43.0,10,1
20.0,10,3
5.0,10,2
15.0,10,5
8.0,10,2
8.0,10,2
6.0,3,4
9.0,10,3
19.0,10,2
4.0,10,4
7.0,1,1
70.0,10,2
16.0,10,4
8.0,2,2
11.0,10,1
12.0,10,0
12.0,2,5
10.0,1,0
25.0,8,1
27.0,10,3
5.0,10,3
29.0,9,2
10.0,1,2
7.0,10,2
13.0,10,5
49.0,8,3
6.0,10,1
25.0,10,3
6.0,7,1
14.0,6,1
24.0,8,2
16.0,10,0
16.0,10,1
19.0,5,0
7.0,2,0
6.0,10,4
9.0,10,0
19.0,10,4
54.0,10,3
9.0,5,2
12.0,3,1
26.0,9,0
46.0,10,2
56.0,4,1
30.0,5,2
8.0,10,2
7.0,7,3
7.0,1,1
24.0,10,1
20.0,2,1
10.0,10,1
20.0,10,1
34.0,10,5
21.0,10,1
40.0,10,1
56.0,10,0
21.0,10,1
9.0,3,4
20.0,8,4
14.0,2,1
11.0,10,1
25.0,10,0
21.0,10,1
26.0,6,1
15.0,1,3
5.0,10,3
8.0,10,2
10.0,3,2
10.0,10,1
14.0,1,1
7.0,10,4
9.0,10,3
4.0,10,1
19.0,10,0
7.0,7,0
15.0,10,2
5.0,10,1
7.0,10,2
14.0,1,1
59.0,5,3
7.0,2,5
10.0,7,1
55.0,1,0
39.0,10,0
8.0,10,1
3.0,7,2
10.0,1,1
91.0,5,2
11.0,1,1
10.0,10,1
34.0,10,0
16.0,1,0
11.0,10,1
113.0,10,1
66.0,5,2
25.0,10,1
100.0,10,0
11.0,3,1
16.0,1,0
17.0,2,3
18.0,6,1
19.0,4,2
5.0,1,3
20.0,6,4
40.0,4,2
14.0,10,3
56.0,8,0
21.0,10,1
9.0,10,4
10.0,10,3
9.0,2,2
16.0,4,1
12.0,3,1
16.0,10,1
10.0,10,1
16.0,10,3
90.0,2,1
10.0,10,2
32.0,10,1
11.0,10,0
27.0,9,3
10.0,10,3
4.0,8,2
12.0,10,0
13.0,9,2
7.0,10,2
21.0,4,0
8.0,10,2
26.0,1,1
31.0,6,3
8.0,8,2
26.0,10,1
19.0,5,3
19.0,9,3
8.0,1,0
7.0,10,3
22.0,4,3
9.0,10,2
24.0,6,4
