price,description_rank,name_rank
52.0,10,2
386.0,10,3
8.0,6,2
13.0,6,4
226.0,10,2
12.0,7,3
5.0,10,4
10.0,6,1
9.0,10,4
40.0,1,3
104.0,10,3
6.0,10,3
6.0,10,4
4.0,10,3
7.0,5,3
51.0,10,3
38.0,10,3
19.0,7,4
10.0,4,2
44.0,4,5
124.0,10,1
5.0,7,4
12.0,10,1
8.0,10,3
21.0,3,2
5.0,10,4
17.0,6,2
13.0,10,3
5.0,10,4
41.0,1,2
31.0,10,1
4.0,2,0
24.0,7,1
12.0,1,3
15.0,9,3
36.0,10,3
8.0,1,5
9.0,10,0
20.0,3,3
106.0,10,4
8.0,3,4
12.0,10,5
10.0,1,4
25.0,10,4
31.0,10,4
120.0,10,4
62.0,10,3
6.0,8,5
11.0,7,3
30.0,5,1
25.0,10,4
21.0,5,0
13.0,4,4
12.0,5,3
19.0,3,3
5.0,1,2
12.0,1,2
23.0,10,3
89.0,9,4
18.0,10,3
10.0,10,5
17.0,10,5
7.0,4,2
59.0,10,2
115.0,10,4
22.0,6,1
6.0,10,4
10.0,9,1
50.0,10,5
3.0,10,3
15.0,5,5
65.0,10,3
16.0,10,3
60.0,10,1
6.0,10,0
8.0,3,3
16.0,2,4
46.0,2,3
25.0,10,2
10.0,3,5
39.0,9,1
3.0,1,2
104.0,10,3
22.0,10,4
18.0,10,4
86.0,10,3
8.0,9,6
6.0,10,3
16.0,10,6
36.0,10,5
12.0,6,3
305.0,10,3
9.0,10,4
20.0,5,3
16.0,6,4
8.0,10,4
14.0,1,0
6.0,5,1
6.0,10,2
6.0,10,3
5.0,1,2
11.0,3,1
35.0,10,2
30.0,3,0
38.0,7,2
310.0,10,2
24.0,1,1
7.0,10,0
14.0,7,2
54.0,4,4
16.0,10,4
35.0,10,4
6.0,1,2
34.0,10,1
42.0,7,4
31.0,4,3
23.0,3,1
17.0,10,1
12.0,7,3
75.0,4,2
46.0,10,2
206.0,5,2
9.0,10,4
25.0,10,2
14.0,10,6
10.0,10,2
25.0,10,2
13.0,8,3
19.0,10,2
10.0,10,3
10.0,10,4
90.0,3,2
31.0,10,3
7.0,5,3
245.0,10,3
21.0,10,5
319.0,10,2
176.0,10,2
16.0,10,1
95.0,1,2
34.0,5,3
12.0,10,4
26.0,10,1
15.0,8,3
49.0,7,1
22.0,2,2
20.0,10,3
8.0,3,1
25.0,10,3
10.0,10,5
115.0,10,3
64.0,10,2
16.0,2,0
10.0,9,2
10.0,8,4
66.0,1,1
9.0,10,4
15.0,10,4
10.0,10,3
8.0,10,4
60.0,10,2
156.0,5,2
10.0,1,1
15.0,3,4
25.0,10,2
7.0,10,2
15.0,10,3
13.0,10,4
34.0,9,3
39.0,10,6
6.0,10,3
10.0,1,5
44.0,4,2
20.0,5,5
16.0,10,3
7.0,10,3
30.0,1,5
18.0,10,5
6.0,7,4
5.0,10,2
9.0,6,3
8.0,10,3
11.0,10,5
49.0,10,2
14.0,10,3
15.0,6,3
6.0,10,2
25.0,10,2
22.0,10,4
12.0,10,6
29.0,2,5
7.0,10,1
8.0,10,4
16.0,5,2
15.0,5,4
7.0,10,3
5.0,10,2
6.0,10,3
9.0,10,3
14.0,10,2
15.0,10,2
15.0,1,4
12.0,4,1
15.0,6,0
12.0,10,0
20.0,10,2
20.0,10,1
34.0,5,1
6.0,1,4
30.0,10,4
5.0,1,3
12.0,3,2
11.0,10,4
12.0,10,1
27.0,10,1
10.0,10,6
16.0,2,4
9.0,6,0
29.0,10,6
29.0,10,5
10.0,10,0
49.0,10,3
11.0,10,4
60.0,10,4
8.0,4,3
30.0,1,0
12.0,10,4
11.0,10,4
4.0,10,5
18.0,3,1
11.0,1,1
10.0,10,3
8.0,1,1
12.0,5,4
6.0,10,4
15.0,1,0
9.0,10,5
49.0,10,7
5.0,2,1
25.0,7,3
49.0,10,4
26.0,10,2
5.0,10,3
10.0,10,3
10.0,10,4
12.0,10,3
24.0,10,4
5.0,10,5
16.0,3,2
8.0,10,4
6.0,10,3
16.0,10,3
5.0,2,1
3.0,10,2
16.0,10,6
15.0,10,3
4.0,1,3
9.0,10,4
46.0,10,3
65.0,10,4
5.0,1,2
32.0,10,4
256.0,7,4
11.0,10,2
38.0,10,2
9.0,10,2
22.0,10,3
21.0,10,2
16.0,10,4
12.0,10,1
26.0,10,1
19.0,10,1
10.0,7,3
3.0,8,4
19.0,8,3
20.0,2,2
19.0,1,2
306.0,9,2
12.0,10,5
32.0,10,2
190.0,10,2
13.0,10,4
12.0,10,1
4.0,8,5
6.0,1,1
7.0,10,3
8.0,10,5
8.0,10,3
7.0,10,3
28.0,2,1
7.0,10,5
8.0,10,5
8.0,5,3
36.0,1,2
31.0,1,2
84.0,10,3
10.0,4,2
11.0,10,5
8.0,10,5
45.0,10,4
18.0,10,4
189.0,10,2
20.0,10,2
31.0,1,3
99.0,10,3
10.0,6,5
16.0,2,2
7.0,5,2
12.0,10,6
35.0,5,2
8.0,10,6
136.0,10,1
10.0,9,3
56.0,9,5
10.0,10,4
259.0,10,3
5.0,2,2
15.0,6,1
34.0,10,2
55.0,10,4
10.0,10,3
18.0,10,1
30.0,10,0
5.0,10,5
3.0,10,3
12.0,9,2
16.0,10,4
4.0,1,4
24.0,8,3
31.0,10,4
24.0,10,2
6.0,10,4
19.0,10,2
40.0,10,2
50.0,3,2
50.0,4,2
14.0,10,4
350.0,10,2
5.0,10,3
9.0,4,3
10.0,3,2
408.0,10,2
15.0,4,5
12.0,9,5
26.0,10,3
15.0,10,4
40.0,10,5
15.0,10,3
25.0,10,5
15.0,4,2
15.0,10,5
6.0,9,5
3.0,1,3
18.0,3,3
12.0,6,2
18.0,1,3
46.0,7,1
9.0,10,4
20.0,10,3
86.0,6,1
161.0,9,2
7.0,4,1
65.0,8,3
8.0,10,5
19.0,10,4
41.0,7,3
43.0,4,3
54.0,10,3
12.0,10,3
10.0,10,1
8.0,1,4
30.0,3,1
15.0,10,4
10.0,2,3
9.0,1,3
8.0,10,1
10.0,10,5
25.0,2,5
21.0,10,4
51.0,7,1
80.0,10,1
60.0,3,2
28.0,7,2
24.0,2,4
7.0,1,1
7.0,6,5
6.0,1,1
9.0,3,5
7.0,1,2
23.0,2,0
82.0,10,2
6.0,7,7
15.0,10,2
15.0,10,3
34.0,9,2
11.0,5,3
22.0,8,1
170.0,10,4
19.0,3,1
19.0,10,3
10.0,6,2
14.0,10,5
45.0,10,5
46.0,10,1
17.0,10,5
38.0,5,3
20.0,4,2
13.0,10,4
16.0,10,5
30.0,7,3
656.0,10,3
5.0,10,3
21.0,10,3
11.0,10,4
56.0,10,3
33.0,10,1
24.0,10,3
36.0,10,5
11.0,9,3
28.0,10,5
246.0,9,3
8.0,10,5
14.0,8,4
6.0,6,3
15.0,7,5
15.0,10,4
9.0,10,3
7.0,10,1
67.0,10,5
39.0,7,3
25.0,10,3
12.0,5,5
11.0,10,3
15.0,10,5
23.0,8,3
8.0,10,5
106.0,7,1
14.0,9,2
14.0,2,4
41.0,10,2
55.0,10,1
29.0,1,6
9.0,10,3
76.0,6,1
16.0,10,5
12.0,2,1
6.0,10,4
15.0,2,4
9.0,1,2
14.0,10,1
65.0,10,4
94.0,4,3
11.0,6,4
