price,description_rank,name_rank
10.0,10,1
44.0,3,3
59.0,10,3
64.0,9,2
16.0,2,3
43.0,10,3
27.0,10,5
13.0,4,5
20.0,10,4
10.0,10,4
24.0,5,5
5.0,10,3
16.0,10,2
50.0,1,4
22.0,5,2
13.0,10,6
209.0,10,2
10.0,10,3
13.0,10,5
51.0,10,5
21.0,10,5
54.0,10,3
114.0,6,3
7.0,10,5
119.0,10,3
50.0,10,5
12.0,9,4
12.0,8,4
15.0,9,2
16.0,10,4
45.0,10,4
61.0,5,2
4.0,10,1
17.0,10,4
16.0,10,3
10.0,10,4
16.0,10,3
44.0,10,4
12.0,10,2
66.0,5,3
29.0,4,6
10.0,10,3
41.0,10,5
13.0,10,2
38.0,10,3
16.0,2,5
19.0,10,3
26.0,6,4
31.0,10,4
25.0,6,3
20.0,10,5
10.0,10,3
8.0,10,2
17.0,10,3
14.0,4,4
11.0,10,3
8.0,10,3
35.0,7,3
41.0,10,5
26.0,10,4
9.0,1,0
7.0,10,6
38.0,10,3
79.0,3,1
145.0,10,5
29.0,7,5
38.0,10,5
43.0,10,1
12.0,10,6
9.0,7,3
19.0,9,4
28.0,9,3
13.0,4,1
9.0,10,3
47.0,10,3
7.0,4,2
11.0,10,5
12.0,10,5
10.0,10,2
31.0,3,3
9.0,5,5
10.0,10,4
35.0,10,4
8.0,1,2
19.0,5,2
25.0,10,0
3.0,5,3
13.0,10,2
9.0,10,5
20.0,10,1
55.0,1,2
129.0,10,3
12.0,6,3
94.0,4,3
109.0,10,6
18.0,10,5
21.0,10,5
26.0,8,7
14.0,3,2
16.0,10,2
80.0,10,5
61.0,10,4
22.0,5,5
10.0,10,3
9.0,10,5
27.0,3,4
81.0,5,5
59.0,6,5
4.0,7,1
14.0,10,5
23.0,5,3
9.0,10,5
14.0,10,6
14.0,1,4
7.0,5,6
35.0,1,2
12.0,3,3
10.0,10,5
8.0,3,2
11.0,10,3
27.0,10,3
24.0,10,4
55.0,10,5
42.0,5,3
21.0,1,6
31.0,8,2
15.0,10,3
131.0,10,4
16.0,10,1
11.0,10,6
16.0,4,1
16.0,10,5
32.0,10,2
26.0,10,3
44.0,4,5
11.0,1,4
69.0,2,3
25.0,10,6
23.0,9,4
14.0,10,4
39.0,10,2
14.0,3,2
6.0,1,1
56.0,10,5
13.0,4,2
24.0,10,1
10.0,6,5
45.0,8,3
76.0,10,4
14.0,10,4
24.0,10,3
31.0,1,2
10.0,10,3
106.0,2,6
15.0,7,5
16.0,10,4
11.0,8,5
8.0,8,6
7.0,10,2
9.0,10,6
5.0,9,5
16.0,10,4
9.0,10,6
40.0,10,5
165.0,10,1
56.0,10,2
16.0,7,5
13.0,1,6
61.0,10,6
25.0,3,4
14.0,7,2
15.0,2,5
28.0,6,5
8.0,10,4
21.0,10,6
15.0,10,3
45.0,8,3
13.0,10,2
9.0,7,2
12.0,4,1
32.0,4,4
8.0,5,3
31.0,10,2
9.0,1,4
56.0,8,3
20.0,2,2
7.0,6,1
20.0,6,5
13.0,10,4
10.0,10,1
8.0,10,4
20.0,10,4
11.0,10,2
6.0,4,2
12.0,10,4
25.0,8,4
24.0,2,4
12.0,3,6
24.0,2,2
10.0,10,2
17.0,10,3
21.0,7,4
16.0,5,5
19.0,8,3
29.0,3,4
30.0,2,1
39.0,7,1
34.0,10,3
55.0,2,3
8.0,7,3
8.0,7,2
18.0,10,4
40.0,10,5
18.0,10,5
36.0,6,5
60.0,10,3
60.0,5,4
29.0,10,2
34.0,10,2
6.0,6,2
49.0,8,3
10.0,10,2
8.0,5,3
3.0,10,4
34.0,10,4
31.0,6,3
16.0,10,2
51.0,10,2
20.0,10,3
46.0,8,3
23.0,10,4
17.0,6,6
20.0,6,4
40.0,7,5
506.0,10,3
95.0,10,1
24.0,3,3
51.0,10,4
16.0,5,3
39.0,7,3
17.0,10,2
36.0,10,5
10.0,10,3
14.0,3,2
10.0,7,5
140.0,8,4
10.0,6,3
16.0,10,0
10.0,8,2
23.0,1,4
33.0,8,1
9.0,10,6
30.0,5,2
17.0,10,4
73.0,7,3
15.0,6,3
25.0,10,3
6.0,10,3
8.0,10,3
20.0,10,4
28.0,4,3
26.0,4,5
9.0,10,3
28.0,10,4
12.0,10,4
100.0,10,5
9.0,1,2
14.0,2,1
19.0,10,3
16.0,10,4
5.0,10,2
8.0,5,3
30.0,3,2
21.0,10,2
16.0,3,3
19.0,10,3
10.0,3,3
24.0,7,2
30.0,10,4
9.0,10,4
9.0,10,5
18.0,10,4
36.0,1,3
15.0,7,4
7.0,1,5
12.0,10,4
14.0,10,3
56.0,10,5
10.0,10,4
11.0,8,2
14.0,8,2
11.0,10,2
40.0,10,4
16.0,1,2
16.0,10,6
24.0,10,5
45.0,1,4
39.0,5,1
8.0,10,1
26.0,10,3
21.0,1,2
80.0,1,3
10.0,10,5
10.0,10,2
21.0,8,2
13.0,8,5
15.0,5,5
21.0,5,3
26.0,10,2
27.0,10,4
25.0,10,3
34.0,8,3
10.0,10,3
39.0,8,3
16.0,6,2
20.0,10,2
22.0,2,4
35.0,10,6
14.0,10,3
5.0,8,2
26.0,10,2
16.0,8,2
17.0,10,5
14.0,4,5
11.0,10,5
15.0,10,4
9.0,10,3
9.0,1,1
18.0,8,1
19.0,10,4
18.0,7,2
15.0,4,3
20.0,10,3
30.0,10,5
44.0,10,2
116.0,10,3
31.0,7,1
75.0,10,5
22.0,10,4
10.0,10,4
20.0,10,5
19.0,6,1
10.0,10,3
28.0,10,1
24.0,10,5
12.0,10,4
24.0,10,2
16.0,10,1
66.0,10,2
10.0,10,3
8.0,10,5
12.0,10,2
39.0,10,5
34.0,10,4
9.0,10,5
26.0,10,4
26.0,10,4
120.0,8,4
5.0,7,4
54.0,8,2
19.0,7,4
15.0,6,3
19.0,6,3
21.0,4,4
30.0,9,5
84.0,8,4
25.0,1,1
71.0,4,2
20.0,5,3
24.0,10,4
11.0,1,5
14.0,8,3
10.0,1,3
9.0,1,2
45.0,6,5
589.0,10,2
20.0,10,4
24.0,10,5
155.0,10,4
140.0,10,4
54.0,10,4
14.0,4,6
11.0,10,4
24.0,10,5
6.0,5,2
19.0,1,1
21.0,10,4
14.0,8,4
249.0,10,5
14.0,10,3
38.0,10,5
43.0,5,4
44.0,8,3
30.0,1,1
304.0,3,5
12.0,10,5
45.0,10,6
30.0,10,2
75.0,8,3
14.0,8,2
18.0,10,3
26.0,10,1
28.0,10,6
18.0,10,3
72.0,10,4
56.0,9,3
15.0,10,3
18.0,5,2
12.0,10,4
60.0,1,3
20.0,10,2
25.0,10,3
24.0,10,3
46.0,10,7
8.0,8,3
4.0,10,2
22.0,7,2
19.0,10,5
52.0,10,4
11.0,10,5
26.0,4,4
26.0,7,2
9.0,5,3
33.0,8,3
15.0,10,3
25.0,4,2
18.0,8,5
42.0,10,6
10.0,1,2
21.0,10,3
16.0,4,3
11.0,10,3
31.0,1,4
11.0,3,1
10.0,10,2
13.0,10,5
68.0,10,5
14.0,9,2
10.0,3,4
12.0,10,4
11.0,8,1
12.0,10,3
27.0,5,5
20.0,4,1
8.0,5,3
16.0,8,5
18.0,10,2
19.0,10,3
20.0,4,3
8.0,4,3
12.0,7,3
4.0,1,4
61.0,9,4
129.0,10,5
15.0,5,2
10.0,10,6
24.0,10,4
9.0,1,3
60.0,10,4
56.0,6,4
25.0,10,6
23.0,10,5
10.0,6,4
24.0,10,5
16.0,5,2
25.0,6,3
73.0,10,4
20.0,8,3
16.0,6,4
12.0,5,2
9.0,10,2
42.0,10,7
29.0,9,2
10.0,10,4
15.0,10,5
25.0,10,6
7.0,3,6
20.0,10,2
10.0,10,5
19.0,4,1
95.0,10,1
51.0,1,2
10.0,8,4
5.0,10,5
18.0,8,5
15.0,10,4
40.0,3,1
66.0,10,3
14.0,7,2
22.0,10,3
22.0,10,4
18.0,1,5
11.0,4,3
7.0,10,4
10.0,10,2
18.0,10,5
24.0,8,1
7.0,9,5
10.0,4,4
14.0,4,2
22.0,10,4
20.0,10,2
28.0,10,3
25.0,9,4
19.0,10,2
24.0,5,4
29.0,10,5
14.0,6,1
20.0,10,3
8.0,8,3
10.0,10,6
14.0,10,2
136.0,10,1
74.0,5,4
7.0,10,3
11.0,10,3
24.0,10,6
16.0,10,5
110.0,2,4
23.0,5,1
22.0,10,3
10.0,10,5
9.0,10,3
21.0,10,5
120.0,1,2
13.0,10,4
50.0,10,4
20.0,9,3
30.0,10,5
9.0,10,3
40.0,10,3
11.0,10,3
9.0,10,2
16.0,5,3
13.0,10,5
12.0,9,4
31.0,10,6
36.0,10,3
18.0,9,5
7.0,10,6
31.0,2,2
26.0,10,5
71.0,5,4
18.0,7,2
