brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
smashbox,biore,hello kitty,guerlain,miu miu,
victoria's secret,claire's,no7 make-up,paul mitchell,clarisonic,
tarte,red cherry,mally beauty,ferasali,rodan and fields,
wet n wild,max factor,essie,dolce & gabbana,natasha denona,
too faced,alexandra de markoff,conair,charlotte tilbury,keranique,
sephora,ciaté london,pur minerals,sharper image,kenzo,
kylie cosmetics,duo,redken,escada,farsali,
marc jacobs,la girl,coty,oscar de la renta,moschino,
bath & body works,dr. teal's,jamberry,sheer cover,joico,
nars,l’occitane,lola,vince camuto,giorgio armani,
beautyblender®,cargo,makeup geek,versace,emporio armani,
younique,new york color,buxom,wahl,illuminations,
eos,elf,sleek makeup,ralph lauren,viviscal,
estee lauder,creed,inglot,proactiv,la prairie,
georgio armani,kiko milano,serious skin care,glamglow,,
bonne bell,john frieda,blinc,gucci,,
ulta,old spice,shu uemura,tatcha,,
kat von d,whish,sinful,sugarpill,,
nyx,schick,manic panic,pca skin,,
senegence,ddf,tresemme,prada,,
neutrogena,got 2b,shany,lipsense,,
morphe cosmetics,cato,trish mcevoy,sunday riley,,
colourpop,dkny,beauticontrol,bésame cosmetics,,
milani,pixi,nivea,prescriptives,,
maybelline,white diamond,jane iredale,vichy,,
e.l.f.,nair,pond's,chi,,
chanel,sue devitt,vincent longo,michael kors,,
physicians formula,toms,va va voom,fendi,,
mac,rue21,burberry london,better shea butter,,
mary kay,tocca,balmain,deborah lippmann,,
aveda,klorane,kate somerville,real techniques,,
bare escentuals,children's place,tigi,andis,,
anastasia beverly hills,eminence,bliss,candie's,,
jeffree star cosmetics,dr. scholl's,becca cosmetics,skinceuticals,,
laura mercier,kiss me,jimmy choo,irish spring,,
avon,,calvin klein,viseart,,
urban decay,,paco rabanne,dr. dennis gross skincare,,
stila,,borghese,devacurl,,
basics_brand,,pink,kryolan,,
l'oreal,,pur,tommy bahama,,
origins,,fashion fair,issey miyake,,
benefit,,nexxus,by terry,,
popular_brand,,shea moisture,bebe,,
intermediary_brand,,farmacy,drunk elephant,,
lorac,,jafra,perry ellis,,
clinique,,pantene,john varvatos,,
ardell,,% pure,cartier,,
kiehl's,,becca,narciso rodriguez,,
lush,,nina ricci,clairol,,
lancome,,viktor & rolf,ralph lauren collection,,
dior,,opi,sultra,,
yves saint laurent,,pop beauty,kate spade,,
bobbi brown,,madam c.j. walker beauty culture,schmidt,,
tom ford,,abercrombie & fitch,fresh,,
it cosmetics,,beautycounter,thierry mugler,,
clarins,,matrix,diesel,,
sally hansen,,illamasqua,peter thomas roth,,
lime crime,,josie maran,moda international,,
revlon,,mario badescu skin care,milk makeup,,
covergirl,,organic wear,schwarzkopf,,
burt's bees,,bite beauty,dr. brandt,,
bareminerals,,sebastian,zen group,,
laura geller,,youngblood,bumble and bumble,,
elizabeth arden,,burberry,meme,,
shiseido,,ed hardy,makeup forever,,
make up for ever,,vera wang,lipstick queen,,
garnier,,styli-style,rusk,,
ben nye,,glominerals,carolina herrera,,
huda beauty,,scentsy,gigi new york,,
hard candy,,remington,clean,,
dermablend,,sk-ii,,,
rimmel,,gap,,,
the body shop,,dove,,,
thebalm,,pureology,,,
givenchy,,bourjois,,,
olay,,vidal sassoon,,,
hourglass cosmetics,,pravana,,,
arbonne,,aveeno,,,
almay,,polo ralph lauren,,,
,,lord & taylor,,,
,,juicy couture,,,
,,algenist,,,
,,jergens,,,
,,ogx,,,
,,ariana grande,,,
,,bh,,,
,,murad,,,
,,ouidad,,,
,,"coty, inc.",,,
,,cover fx,,,
,,tory burch,,,
,,inner beauty,,,
,,aussie,,,
,,julep,,,
,,strivectin,,,
,,nudestix,,,
,,sparks,,,
,,perricone md,,,
,,sonia kashuk,,,
,,disney,,,
,,color oops,,,
,,suave,,,
,,yankee candle,,,
,,melt cosmetics,,,
,,kailijumei lipsticks,,,
,,lacoste,,,
,,philosophy,,,
,,vanity,,,
,,sebastian professional,,,
,,coach,,,
,,the balm,,,
,,jo malone,,,
,,revolution,,,
,,the wet brush,,,
,,simple,,,
,,christian siriano,,,
,,zara,,,
,,bare minerals,,,
,,brut,,,
,,hot topic,,,
,,ugg australia,,,
,,herbal essences,,,
,,foreo,,,
,,acure,,,
,,mederma,,,
,,crabtree & evelyn,,,
,,ysl yves saint laurent,,,
,,nostalgia,,,
,,slatkin & co.,,,
,,american eagle,,,
,,head & shoulders,,,
,,braun,,,
,,china glaze co. ltd.,,,
,,ultima ii,,,
,,homedics,,,
,,roc,,,
,,orly,,,
,,merle norman,,,
,,salvatore ferragamo,,,
,,carol's daughter,,,
,,california scents,,,
,,cover girl,,,
,,exuviance,,,
,,tommy hilfiger,,,
,,tweezerman,,,
,,cerave,,,
,,st. tropez tanning essentials,,,
,,first aid beauty,,,
,,baby phat,,,
,,tone,,,
,,loungefly,,,
,,tangle teezer,,,
,,caruso,,,
,,la roche-posay,,,
,,splat,,,
,,bedhead,,,
,,mehron,,,
,,amika,,,
,,drybar,,,
