,Data,Total
304,2018-01-01,349
205,2018-01-02,312
234,2018-01-03,349
303,2018-01-04,346
261,2018-01-05,369
3,2018-01-06,330
90,2018-01-07,338
88,2018-01-08,348
193,2018-01-09,364
175,2018-01-10,330
272,2018-01-11,371
323,2018-01-12,166
158,2018-01-13,363
212,2018-01-14,338
129,2018-01-15,337
260,2018-01-16,348
298,2018-01-17,327
112,2018-01-18,337
257,2018-01-19,330
40,2018-01-20,359
313,2018-01-21,313
198,2018-01-22,332
152,2018-01-23,295
137,2018-01-24,326
141,2018-01-25,308
202,2018-01-26,347
200,2018-01-27,358
145,2018-01-28,326
252,2018-01-29,339
95,2018-02-01,330
120,2018-02-02,312
316,2018-02-03,286
42,2018-02-04,340
140,2018-02-05,334
57,2018-02-06,310
162,2018-02-07,343
48,2018-02-08,327
219,2018-02-09,323
60,2018-02-10,307
211,2018-02-11,346
321,2018-02-12,180
131,2018-02-13,334
127,2018-02-14,319
54,2018-02-15,341
311,2018-02-16,350
63,2018-02-17,344
43,2018-02-18,366
184,2018-02-19,330
192,2018-02-20,319
122,2018-02-21,351
274,2018-02-22,340
41,2018-02-23,345
242,2018-02-24,336
250,2018-02-25,340
39,2018-02-26,346
70,2018-02-27,330
229,2018-02-28,617
65,2018-03-01,336
167,2018-03-02,339
7,2018-03-03,349
189,2018-03-04,374
275,2018-03-05,317
302,2018-03-06,349
283,2018-03-07,323
277,2018-03-08,338
270,2018-03-09,360
163,2018-03-10,314
309,2018-03-11,364
334,2018-03-12,172
36,2018-03-13,322
133,2018-03-14,337
103,2018-03-15,330
154,2018-03-16,317
9,2018-03-17,341
305,2018-03-18,326
301,2018-03-19,350
30,2018-03-20,347
35,2018-03-21,360
282,2018-03-22,336
308,2018-03-23,340
170,2018-03-24,353
179,2018-03-25,344
125,2018-03-26,348
108,2018-03-27,341
165,2018-03-28,370
18,2018-03-29,329
143,2018-04-01,326
306,2018-04-02,360
56,2018-04-03,368
61,2018-04-04,344
208,2018-04-05,347
172,2018-04-06,317
59,2018-04-07,347
251,2018-04-08,336
139,2018-04-09,373
87,2018-04-10,310
273,2018-04-11,323
325,2018-04-12,175
52,2018-04-13,353
174,2018-04-14,332
290,2018-04-15,355
171,2018-04-16,345
66,2018-04-17,325
288,2018-04-18,333
102,2018-04-19,331
286,2018-04-20,331
33,2018-04-21,342
142,2018-04-22,342
78,2018-04-23,356
29,2018-04-24,347
224,2018-04-25,358
188,2018-04-26,326
147,2018-04-27,375
216,2018-04-28,325
299,2018-04-29,348
100,2018-05-01,339
14,2018-05-02,328
89,2018-05-03,335
155,2018-05-04,337
16,2018-05-05,362
271,2018-05-06,334
195,2018-05-07,317
279,2018-05-08,348
113,2018-05-09,361
190,2018-05-10,319
149,2018-05-11,339
345,2018-05-12,176
51,2018-05-13,350
138,2018-05-14,322
244,2018-05-15,350
117,2018-05-16,327
207,2018-05-17,355
97,2018-05-18,355
64,2018-05-19,317
28,2018-05-20,311
5,2018-05-21,346
38,2018-05-22,346
50,2018-05-23,359
13,2018-05-24,357
146,2018-05-25,320
197,2018-05-26,345
266,2018-05-27,329
86,2018-05-28,357
233,2018-05-29,343
217,2018-06-01,322
26,2018-06-02,350
77,2018-06-03,333
227,2018-06-04,316
