,Word
0,girl
1,size
2,babi
3,boy
4,bundl
5,toddler
6,nike
7,new
8,shoe
9,set
10,dress
11,jordan
12,lot
13,month
14,kid
15,outfit
16,shirt
17,funko
18,pop
19,doll
20,nwt
21,boot
22,jacket
23,american
24,free
25,disney
26,hold
27,ship
28,short
29,jean
30,cloth
31,gap
32,pink
33,pant
34,spinner
35,fidget
36,carter
37,toy
38,slime
39,infant
40,diaper
41,black
42,littl
43,air
44,convers
45,navi
46,lularo
47,ralph
48,lauren
49,piec
50,lego
51,top
52,polo
53,sandal
54,blue
55,bag
56,mini
57,old
58,reserv
59,onesi
60,leg
61,plush
62,retro
63,youth
64,pajama
65,armour
66,white
67,figur
68,sweater
69,adida
70,mous
71,star
72,brand
73,barbi
74,car
75,justic
76,hoodi
77,coat
78,gymbore
79,tsum
80,newborn
81,sneaker
82,red
83,pair
84,hat
85,high
86,squishi
87,face
88,backpack
89,bottl
90,suit
91,minni
92,north
93,bear
94,pack
95,romper
96,ugg
97,sleev
98,box
99,cover
100,winter
101,game
102,war
103,van
104,pet
105,seat
106,long
107,kitti
108,fleec
109,sock
110,larg
111,monster
112,shopkin
113,card
114,price
115,hello
116,costum
117,tshirt
118,mickey
119,jane
120,princess
121,blanket
122,cute
123,batman
124,shop
125,one
126,snow
127,christma
128,crib
129,small
130,play
131,fisher
132,jack
133,tee
134,matilda
135,headband
136,summer
137,sleeper
138,nwot
139,swim
140,bow
141,green
142,children
143,cat
144,paw
145,hatchim
146,pokemon
147,sale
148,melissa
149,patrol
150,vintag
151,brown
152,vest
153,frozen
154,purpl
155,bath
156,rare
157,tom
158,light
159,two
160,carrier
161,custom
162,beani
163,list
164,super
165,train
166,gold
167,exclus
168,kit
169,huggi
170,place
171,max
172,abercrombi
173,littlest
174,halloween
175,skirt
176,fit
177,euc
178,anim
179,birthday
180,denim
181,like
182,color
183,bitti
184,accessori
185,medium
186,dog
187,enfamil
188,puma
189,first
190,jani
191,croc
192,parti
193,bib
194,cube
195,columbia
196,metal
197,build
198,bead
199,swimsuit
200,poni
201,chase
202,marvel
203,book
204,pump
205,pokémon
206,floam
207,foam
208,jujub
209,rosh
210,hot
211,tank
212,rain
213,minifigur
214,nurs
215,grey
216,formula
217,hood
218,huge
219,timberland
220,similac
221,swaddl
