brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
jordan,angry birds,carbon,masters,prada,
under armour,skullcandy,dc comics,undefeated,hermes,
patagonia,hybrid,nintendo,alpinestars,rick owens,
nike,ramones,george,steve madden,ariat,
ferragamo,jinx,huf,birkenstock,trukfi,
adidas,mecca,stüssy,christian dior,dan post,
pink,no boundaries,inc international concepts,saucony,off-white,
volcom,op,mossimo,silver jeans co.,cartier,
dickies,gm,nascar,metal mulisha,paco,
ralph lauren,red kap,russell athletic,wilsons leather,citizen,
popular_brand,family guy,and1,universal studios,comme des garcons,
american eagle,louis garneau,wwe,l.l. bean,christian louboutin,
new era,fifth sun,american apparel,mason's,chanel,
banana republic,duck commander,krew,aldo,balmain,
timberland,turnbury,rockport,bulwark,robin's jeans,
converse,cezani,sport-tek,ccm,allsaints,
supreme,cubavera,levi strauss & co.,g-star raw,true grit,
tommy hilfiger,goodie two sleeves,mossimo supply co.,pacific sunwear,invicta,
aeropostale,triple 5 soul,bass,nordstrom,maui & sons,
burberry,slazenger,champs,gymshark,born,
lucky brand,bamboo,us polo assn,athletic works,moncler,
harley-davidson,red camel,izod,mizuno,balenciaga,
majestic,jordache,threadless,asos,breitling,
vans,danskin,rock & republic,"patagonia, inc.",tom james,
tommy bahama,rocksmith,neff headwear,weatherproof,avery,
new balance,jamaica jaxx,schmidt,streetwise,visvim,
coach,aerie,primitive,cinch,ripcurl,
nixon,murano,47 brand,wilson,asolo,
carhartt,peanuts,dgk,excelled,givenchy,
diesel,timber creek,stance,7 for all mankind®,tag heuer,
intermediary_brand,grant thomas,independent,spy tec,tumi,
ray-ban,iolani,american rag,justin boots,avirex,
abercrombie & fitch,urban up,club room,walls,hermès,
forever 21,mattel®,colosseum,herschel supply company,costa del mar,
fossil,parish,quicksilver,dolce & gabbana,galaxy,
true religion,pronto uomo,lee,ac/dc,tiffany & co.,
diamond supply co.,xhilaration,ely cattleman,robert graham,ford,
the north face,native,arrow,nhl,saint laurent,
express,club monaco,van heusen,hush puppies,valentino,
hollister,rebel spirit,neff,mountain hardwear,kiton,
asics,bugle boy,skechers,wildfox,goyard,
urban outfitters,proactiv,modern amusement,buffalo jeans,mgm,
vineyard vines,jaco,paper denim & cloth,hudson jeans,arc'teryx,
versace,old glory,lauren ralph lauren,playboy,georgia boot,
michael kors,apple,croft & barrow,love moschino,motorola,
nfl,croota,dynasty,sperrys,maison goyard,
old navy,turnbull & asser,dope,opening ceremony,alpha industries,
calvin klein,easton,ron jon,rockstar,frye,
gucci,buckley supply co.,lularoe,stacy adams,stetson,
puma,giordano,kangol,vera pelle,tom ford,
thrasher,ocean pacific,perry ellis,coogi,kate spade,
reebok,sock it to me,kenneth cole reaction,mlb,filson,
rock revival,falls creek,alstyle apparel,boss hugo boss,frédérique constant,
cole haan,ergodyne,st. john's bay,allen edmonds,bally,
hot topic,angels,stafford,planet hollywood,bulova,
levi's®,buxton,pro player,academy,royal robbins,
stussy,ingear,jcpenney,akoo,patek philippe,
air force,briefly stated,crooks & castles,bke,hublot,
h&m,sofft,matix,ogio®,vince camuto,
lululemon,hobie,brixton,rothco,red wing shoes,
mcm,lot,target,drake,g-iii,
nba,generra,ironman,buffalo,active,
champion,district,realtree,unlisted,paul jones,
customized & personalized,harrington,jerzees,acne studios,bottega veneta,
mitchell & ness,five four,ed hardy,adolfo,kenzo,
american fighter,,planet earth,spyder,tod's,
louis vuitton,,liberty apparel,merrell,yamaha,
oakley,,sears,craftsman,stampd,
guess,,quiksilver,caterpillar,yohji yamamoto,
rvca,,bravado,hugo boss,tissot,
affliction,,sisley,raw,marc new york,
the hundreds,,sean john,marmot,samsung,
brooks,,reef,berne apparel,canada goose,
nautica,,merona,big star,tony lama,
gildan,,unionbay,coca-cola,magnum,
g-shock,,toms,joe's jeans,audemars piguet,
hurley,,umo lorenzo,twisted x,chrome hearts,
bullhead,,lucky brand jeans,ysl yves saint laurent,giuseppe zanotti,
vintage,,anvil,hoka one,movado,
ugg,,tilly's,boots,barneys new york,
bape,,apt.,mishka,maison martin margiela,
buckle,,delta,technomarine,lilly pulitzer,
fox,,spencer's,billionaire boys club and ice cream,bench,
a bathing ape,,lrg,chaco,rlx ralph lauren,
disney,,rue21,esprit,jack spade,
columbia,,architect,superdry,franco,
gap,,pendleton,archaic,mackintosh,
starter,,ag adriano goldschmied,wolverine,omega,
dc shoes,,tony hawk,spalding,tricots st. raphael,
hanes,,joseph abboud,evolution,hunter,
yeezy,,on the byas,supra,rocky,
obey,,southern marsh,mek,invicta watch group,
marvel,,santa cruz,saxx,diadora,
rolex,,eighty eight,dakine,thom browne,
armani,,ncaa,fjallraven,barbour,
j. crew,,o'neill,solo,castle,
arizona,,faded glory,skin industries,blauer,
wrangler,,zoo york,casual industrees,stuhrling original,
sperry,,young & reckless,5.11 tactical,lucchese,
ecko,,next level,buffalo david bitton,dainese,
dockers,,nickelodeon,salomon,snap,
dr. martens,,life is good,daniel wellington,issey miyake,
lacoste,,comfort colors,carrera,excell,
casio,,covington,helly hansen,just cavalli,
fendi,,dr. scholl's,keen,d&g,
billabong,,route 66,field gear,palm beach,
zara,,game gear,creative recreation,vince,
clarks,,beverly hills polo club,geneva platinum,cos,
fila,,old varsity brand,kamik,oris,
star wars,,eddie bauer,kappa,shinola,
,,cabela's,kay jewelers,brioni,
,,replay,chalk line,samsung galaxy,
,,pro edge,jansport,olukai,
,,topman,john varvatos,a.p.c.,
,,geoffrey beene,andrew marc,motorola consumer radios,
,,hang ten,citizens of humanity,,
,,urban pipeline,swiss legend,,
,,la hearts,marc by marc jacobs,,
,,cartoon network,vibram,,
,,andrew christian,dscp,,
,,dkny,johnston & murphy,,
,,chip & pepper,bar lll,,
,,guy harvey,ferrari,,
,,dunlop,lugz,,
,,corona,honda,,
,,members only,john varvatos collection,,
,,jf j. ferrar,silpada,,
,,haggar,laredo,,
,,hawke & co,raw state,,
,,jessica simpson,marc jacobs,,
,,team apparel,icon,,
,,umbro,dragon alliance,,
,,etro,fred perry,,
,,elwood,tripp nyc,,
,,dragon ball z,silver jeans,,
,,helix,cipo & baxx,,
,,teefury,gianfranco ferre,,
,,famous stars & straps,g-unit,,
,,rook,kawasaki,,
,,mossy oak,casual,,
,,harbor bay,emerica,,
,,crocs,tru-spec,,
,,everlast,brockum,,
,,big dogs,howe,,
,,ben sherman,martin margiela,,
,,blac label,screen stars,,
,,miskeen,neil allyn,,
,,kenneth cole new york,brave soul,,
,,element,rag & bone,,
,,bauer,ecote,,
,,retrofit,bucket feet,,
,,sanuk,jeffrey campbell,,
,,fruit of the loom,saks fifth avenue,,
,,iron maiden,prestige,,
,,hawk,a&a optical,,
,,dexter,macy's,,
,,shaka wear,cb sports,,
,,zion rootswear,prps,,
