price,description_rank,name_rank
10.0,1,3
66.0,8,2
6.0,6,5
36.0,7,3
9.0,3,1
49.0,10,1
51.0,4,2
60.0,10,2
66.0,9,3
250.0,7,3
14.0,10,5
54.0,10,3
22.0,7,4
14.0,1,3
10.0,3,4
7.0,10,4
18.0,2,4
26.0,2,4
12.0,10,4
40.0,1,1
33.0,3,3
9.0,10,5
18.0,5,3
12.0,2,3
23.0,10,3
25.0,5,3
10.0,10,6
7.0,9,1
41.0,3,1
61.0,7,1
18.0,5,2
23.0,5,5
25.0,10,0
61.0,10,3
18.0,4,6
15.0,6,3
11.0,10,3
14.0,3,3
74.0,4,1
41.0,10,5
36.0,10,2
26.0,10,3
271.0,3,1
28.0,1,3
10.0,1,2
6.0,10,4
45.0,4,4
13.0,10,4
21.0,10,2
24.0,10,4
31.0,7,5
10.0,10,1
9.0,4,3
19.0,6,1
29.0,1,1
15.0,10,3
45.0,6,3
11.0,7,2
15.0,1,2
16.0,10,5
34.0,2,3
17.0,10,2
7.0,9,2
9.0,4,1
106.0,4,3
28.0,10,4
24.0,10,5
24.0,10,1
155.0,10,5
9.0,10,2
9.0,10,4
14.0,9,4
5.0,10,4
81.0,2,2
30.0,4,1
36.0,9,3
25.0,3,6
20.0,10,3
14.0,3,4
26.0,10,2
28.0,10,1
30.0,1,2
31.0,10,5
16.0,10,5
10.0,10,3
60.0,10,2
30.0,10,3
75.0,10,5
34.0,10,1
22.0,10,2
12.0,2,1
26.0,2,4
39.0,6,3
45.0,6,3
20.0,1,1
34.0,8,3
11.0,3,5
10.0,6,4
9.0,5,2
51.0,5,1
8.0,5,4
12.0,4,1
20.0,10,2
54.0,4,3
13.0,6,4
46.0,10,4
26.0,6,2
26.0,10,5
19.0,3,3
15.0,4,2
40.0,10,3
17.0,10,4
26.0,1,1
24.0,10,4
32.0,9,2
6.0,10,1
40.0,10,3
20.0,1,3
20.0,10,2
36.0,1,2
22.0,2,2
31.0,10,2
61.0,10,4
85.0,3,2
25.0,10,4
14.0,1,3
31.0,1,1
19.0,10,4
21.0,10,2
40.0,10,3
22.0,2,1
14.0,10,2
18.0,2,3
11.0,1,5
16.0,8,1
13.0,2,3
25.0,2,2
12.0,10,6
16.0,9,3
26.0,10,4
9.0,3,1
16.0,1,2
9.0,10,3
44.0,10,2
6.0,3,1
20.0,2,1
111.0,10,2
9.0,10,2
19.0,1,3
28.0,9,3
29.0,2,2
52.0,2,5
18.0,10,3
117.0,10,2
50.0,8,4
39.0,10,2
34.0,10,3
11.0,5,1
10.0,3,2
18.0,4,5
74.0,5,1
12.0,7,4
13.0,5,2
44.0,10,4
8.0,7,1
11.0,10,4
18.0,10,4
259.0,10,1
46.0,10,1
13.0,4,5
9.0,1,4
34.0,4,2
10.0,3,3
8.0,10,5
35.0,10,2
26.0,10,3
56.0,10,5
40.0,10,5
26.0,10,2
20.0,10,5
15.0,6,1
14.0,6,3
20.0,10,1
151.0,10,5
21.0,5,2
24.0,10,1
14.0,9,4
36.0,9,2
19.0,8,3
146.0,10,5
50.0,2,2
29.0,1,5
69.0,2,3
35.0,10,4
30.0,5,2
25.0,10,4
42.0,10,4
14.0,4,2
26.0,1,4
26.0,7,4
20.0,1,2
5.0,10,4
25.0,8,5
85.0,10,1
24.0,10,4
186.0,3,2
24.0,10,1
16.0,7,3
9.0,3,4
119.0,2,0
6.0,4,3
7.0,10,3
14.0,7,5
25.0,10,4
7.0,6,4
16.0,10,3
31.0,4,2
14.0,7,2
51.0,6,2
41.0,10,1
12.0,10,2
9.0,10,5
19.0,7,2
20.0,1,3
16.0,6,4
9.0,10,0
69.0,10,3
36.0,7,2
9.0,1,1
53.0,10,5
10.0,4,2
36.0,10,6
14.0,5,3
46.0,10,4
44.0,8,5
66.0,5,2
14.0,6,2
10.0,2,2
14.0,10,2
10.0,10,2
7.0,10,2
20.0,10,2
14.0,10,6
46.0,10,4
31.0,9,2
14.0,10,4
26.0,1,3
15.0,10,5
16.0,6,2
9.0,8,3
13.0,6,3
91.0,10,3
64.0,5,2
18.0,1,1
17.0,9,5
14.0,4,2
22.0,5,2
66.0,8,3
75.0,10,2
25.0,10,1
20.0,7,2
40.0,3,1
30.0,4,4
21.0,4,2
15.0,7,2
14.0,9,3
136.0,10,1
61.0,4,2
20.0,10,4
84.0,9,5
19.0,1,4
14.0,10,3
20.0,5,2
125.0,10,3
10.0,9,3
16.0,5,5
20.0,10,2
26.0,7,3
51.0,7,2
146.0,8,1
21.0,10,4
25.0,8,4
21.0,10,6
30.0,8,2
61.0,5,2
10.0,10,2
16.0,4,3
15.0,3,2
19.0,1,4
27.0,10,4
19.0,10,4
121.0,8,3
36.0,5,2
14.0,10,6
36.0,6,1
19.0,6,2
8.0,6,6
36.0,10,2
20.0,5,1
30.0,1,3
3.0,10,3
44.0,2,2
190.0,8,4
10.0,8,3
13.0,5,3
186.0,10,1
6.0,2,3
5.0,10,1
14.0,6,3
30.0,10,6
84.0,10,3
25.0,10,2
15.0,9,3
29.0,4,3
20.0,7,4
15.0,1,1
25.0,6,1
7.0,4,1
46.0,9,1
25.0,5,1
