brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
popular_brand,nickelodeon,scholastic,michael kors,braun,
hp,bugle boy,urban outfitters,petsafe,apple,
paper mate,perfect equipment®,as seen on tv,funko,abbott,
always,brooks,jessica simpson,canon,wizards of the coast,
bb,tom's of maine,bath & body works,tokidoki,jordans,
gillette,east 5th,tampax,norelco,chanel,
basics_brand,api,playtex,xbox,generic,
petsmart,a+d,pets first,pet brands,stamped,
intermediary_brand,whisker city,degree,advantage,fender,
schick,topshop,caress brand shop,nintendo,tom ford,
office depot,elmers,custom accessories,lilly pulitzer,physicians prefer,
oral b,roxy,tena,waterpik,virgin only,
bic,ihome,j. crew,charmin,oki,
philips,christian dior,summer's eve,vineyard vines,microsoft,
crest,hartz,stayfree,texas instruments,kate spade,
nike,floam,opti-free,brother,the instrument store,
dove,nylabone,aqueon,vans,fox,
lularoe,wet seal,american eagle,garmin,blue microphones,
dewalt®,barbasol,vintage,bke,rock revival,
pokemon,tilly's,fisher-price,autolite®,mcm,
secret,acdelco,poise,pet gear,lauren ralph lauren,
forever 21,plackers,garnier,motorcycle stuff,longchamp,
sharpie,neiman marcus,nivea,givenchy,johnson & johnson,
eo,listerine,betsey johnson,adidas,sega,
kotex,rep-cal,avery,converse,burberry,
pink,post-it,sure,new balance,joovy,
colgate,topps,purina,rae dunn,louis vuitton,
epson,vic firth,puma,advanced healthcare distributors,morphe cosmetics,
disney,d'addario,axe,cottonelle,nikon,
scott paper,alfred dunner,homedics,neutrogena,native,
,richell,band-aid,ralph lauren,rockstar,
,rue21,under armour,frontline,jordan,
,la girl,bebe,columbia,jet performance,
,sheba,exo-terra,levi's®,bully dog,
,sheer cover,furminator,kala,burberry london,
,dgk,at-a-glance,marvel,seresto,
,bausch & lomb,kibbles 'n bits,scott®,air jordan,
,nyx,sergeants,juicy couture,tory burch,
,lixit,belltech,pampers cruisers,free people,
,pedialyte,fluval,lexmark,revolution,
,coca-cola,rocket dog,yeti,ingersoll-rand,
,oxford,right guard,lululemon,bosch,
