,Data,Total
197,2018-01-01,112
280,2018-01-02,79
10,2018-01-03,92
251,2018-01-04,96
214,2018-01-05,95
282,2018-01-06,97
293,2018-01-07,110
271,2018-01-08,88
116,2018-01-09,117
53,2018-01-10,104
157,2018-01-11,94
320,2018-01-12,60
208,2018-01-13,95
83,2018-01-14,96
226,2018-01-15,110
235,2018-01-16,105
289,2018-01-17,101
0,2018-01-18,96
42,2018-01-19,105
177,2018-01-20,92
100,2018-01-21,83
258,2018-01-22,105
186,2018-01-23,108
107,2018-01-24,107
9,2018-01-25,112
89,2018-01-26,106
78,2018-01-27,108
24,2018-01-28,110
272,2018-01-29,95
215,2018-02-01,93
162,2018-02-02,83
31,2018-02-03,113
135,2018-02-04,88
96,2018-02-05,88
28,2018-02-06,106
115,2018-02-07,107
277,2018-02-08,84
95,2018-02-09,103
274,2018-02-10,101
121,2018-02-11,100
321,2018-02-12,46
174,2018-02-13,98
307,2018-02-14,76
296,2018-02-15,74
176,2018-02-16,113
81,2018-02-17,118
94,2018-02-18,95
66,2018-02-19,98
218,2018-02-20,86
30,2018-02-21,100
281,2018-02-22,102
110,2018-02-23,104
195,2018-02-24,96
260,2018-02-25,110
126,2018-02-26,112
206,2018-02-27,113
45,2018-02-28,156
267,2018-03-01,95
104,2018-03-02,102
300,2018-03-03,89
21,2018-03-04,101
118,2018-03-05,105
288,2018-03-06,96
138,2018-03-07,97
7,2018-03-08,91
297,2018-03-09,110
136,2018-03-10,112
178,2018-03-11,101
322,2018-03-12,54
222,2018-03-13,105
246,2018-03-14,93
72,2018-03-15,110
167,2018-03-16,91
49,2018-03-17,77
202,2018-03-18,94
101,2018-03-19,114
147,2018-03-20,84
245,2018-03-21,104
62,2018-03-22,102
168,2018-03-23,95
13,2018-03-24,104
134,2018-03-25,90
105,2018-03-26,99
234,2018-03-27,97
25,2018-03-28,105
68,2018-03-29,91
290,2018-04-01,106
233,2018-04-02,114
129,2018-04-03,97
172,2018-04-04,96
4,2018-04-05,96
114,2018-04-06,110
127,2018-04-07,96
198,2018-04-08,100
217,2018-04-09,99
216,2018-04-10,107
159,2018-04-11,105
337,2018-04-12,45
43,2018-04-13,100
291,2018-04-14,98
229,2018-04-15,96
6,2018-04-16,95
64,2018-04-17,87
76,2018-04-18,112
123,2018-04-19,98
75,2018-04-20,91
84,2018-04-21,108
275,2018-04-22,85
179,2018-04-23,100
87,2018-04-24,103
201,2018-04-25,104
311,2018-04-26,116
211,2018-04-27,99
227,2018-04-28,111
58,2018-04-29,95
187,2018-05-01,98
32,2018-05-02,83
262,2018-05-03,84
69,2018-05-04,101
252,2018-05-05,106
230,2018-05-06,102
149,2018-05-07,92
73,2018-05-08,97
219,2018-05-09,98
278,2018-05-10,107
192,2018-05-11,97
346,2018-05-12,54
79,2018-05-13,106
54,2018-05-14,113
130,2018-05-15,84
279,2018-05-16,114
3,2018-05-17,100
144,2018-05-18,96
90,2018-05-19,104
36,2018-05-20,109
221,2018-05-21,119
74,2018-05-22,103
247,2018-05-23,100
292,2018-05-24,75
143,2018-05-25,82
56,2018-05-26,100
175,2018-05-27,102
