,Data,Total
265,2018-01-01,49
142,2018-01-02,46
89,2018-01-03,59
121,2018-01-04,55
271,2018-01-05,60
189,2018-01-06,61
246,2018-01-07,67
136,2018-01-08,41
217,2018-01-09,54
15,2018-01-10,59
211,2018-01-11,51
328,2018-01-12,29
281,2018-01-13,59
276,2018-01-14,48
312,2018-01-15,56
37,2018-01-16,72
163,2018-01-17,55
270,2018-01-18,49
166,2018-01-19,45
317,2018-01-20,44
158,2018-01-21,51
195,2018-01-22,64
42,2018-01-23,69
120,2018-01-24,57
288,2018-01-25,59
173,2018-01-26,51
29,2018-01-27,62
279,2018-01-28,47
204,2018-01-29,52
107,2018-02-01,49
258,2018-02-02,49
227,2018-02-03,56
147,2018-02-04,58
305,2018-02-05,60
13,2018-02-06,49
14,2018-02-07,62
79,2018-02-08,49
135,2018-02-09,54
289,2018-02-10,57
31,2018-02-11,68
344,2018-02-12,26
187,2018-02-13,58
17,2018-02-14,64
72,2018-02-15,51
181,2018-02-16,51
127,2018-02-17,66
267,2018-02-18,63
169,2018-02-19,50
58,2018-02-20,55
201,2018-02-21,56
254,2018-02-22,62
221,2018-02-23,58
261,2018-02-24,53
49,2018-02-25,53
137,2018-02-26,61
298,2018-02-27,56
63,2018-02-28,108
69,2018-03-01,54
223,2018-03-02,56
43,2018-03-03,47
309,2018-03-04,51
220,2018-03-05,57
172,2018-03-06,60
61,2018-03-07,47
283,2018-03-08,42
99,2018-03-09,60
38,2018-03-10,64
148,2018-03-11,61
346,2018-03-12,18
128,2018-03-13,60
132,2018-03-14,61
115,2018-03-15,60
113,2018-03-16,50
41,2018-03-17,60
111,2018-03-18,61
94,2018-03-19,52
28,2018-03-20,59
47,2018-03-21,56
285,2018-03-22,44
218,2018-03-23,56
196,2018-03-24,58
85,2018-03-25,63
180,2018-03-26,52
161,2018-03-27,55
32,2018-03-28,61
193,2018-03-29,55
16,2018-04-01,65
240,2018-04-02,56
292,2018-04-03,49
216,2018-04-04,66
27,2018-04-05,48
20,2018-04-06,61
214,2018-04-07,68
4,2018-04-08,58
57,2018-04-09,65
105,2018-04-10,53
130,2018-04-11,48
319,2018-04-12,35
310,2018-04-13,54
6,2018-04-14,69
311,2018-04-15,51
95,2018-04-16,50
65,2018-04-17,48
7,2018-04-18,46
314,2018-04-19,46
78,2018-04-20,57
165,2018-04-21,53
236,2018-04-22,55
255,2018-04-23,60
152,2018-04-24,70
88,2018-04-25,60
96,2018-04-26,52
243,2018-04-27,50
168,2018-04-28,62
30,2018-04-29,51
149,2018-05-01,56
34,2018-05-02,50
59,2018-05-03,60
143,2018-05-04,76
286,2018-05-05,65
139,2018-05-06,67
190,2018-05-07,56
235,2018-05-08,60
54,2018-05-09,39
24,2018-05-10,63
36,2018-05-11,54
330,2018-05-12,29
222,2018-05-13,65
124,2018-05-14,58
239,2018-05-15,56
295,2018-05-16,58
178,2018-05-17,56
244,2018-05-18,66
198,2018-05-19,54
159,2018-05-20,53
266,2018-05-21,58
302,2018-05-22,56
200,2018-05-23,64
257,2018-05-24,53
264,2018-05-25,49
250,2018-05-26,51
109,2018-05-27,50
146,2018-05-28,63
194,2018-05-29,63
10,2018-06-01,57
150,2018-06-02,75
171,2018-06-03,59
186,2018-06-04,49
52,2018-06-05,49
253,2018-06-06,54
215,2018-06-07,59
18,2018-06-08,64
103,2018-06-09,56
86,2018-06-10,54
50,2018-06-11,46
336,2018-06-12,22
316,2018-06-13,61
3,2018-06-14,51
233,2018-06-15,63
68,2018-06-16,62
25,2018-06-17,54
73,2018-06-18,56
263,2018-06-19,49
213,2018-06-20,52
245,2018-06-21,58
45,2018-06-22,69
315,2018-06-23,63
205,2018-06-24,53
191,2018-06-25,52
83,2018-06-26,57
308,2018-06-27,49
294,2018-06-28,51
179,2018-06-29,47
90,2018-07-01,60
299,2018-07-02,48
110,2018-07-03,67
160,2018-07-04,40
297,2018-07-05,55
122,2018-07-06,57
256,2018-07-07,51
19,2018-07-08,48
26,2018-07-09,53
230,2018-07-10,51
202,2018-07-11,64
322,2018-07-12,27
155,2018-07-13,56
237,2018-07-14,62
46,2018-07-15,58
209,2018-07-16,55
40,2018-07-17,66
112,2018-07-18,65
35,2018-07-19,63
183,2018-07-20,55
269,2018-07-21,65
277,2018-07-22,56
300,2018-07-23,52
114,2018-07-24,51
0,2018-07-25,69
92,2018-07-26,53
206,2018-07-27,42
274,2018-07-28,50
11,2018-07-29,53
151,2018-08-01,53
182,2018-08-02,63
259,2018-08-03,46
74,2018-08-04,71
247,2018-08-05,58
2,2018-08-06,68
212,2018-08-07,73
228,2018-08-08,60
164,2018-08-09,59
82,2018-08-10,66
62,2018-08-11,55
321,2018-08-12,27
67,2018-08-13,76
242,2018-08-14,55
100,2018-08-15,45
84,2018-08-16,52
226,2018-08-17,54
91,2018-08-18,50
108,2018-08-19,55
210,2018-08-20,54
87,2018-08-21,48
134,2018-08-22,67
23,2018-08-23,45
138,2018-08-24,55
48,2018-08-25,49
268,2018-08-26,59
98,2018-08-27,58
177,2018-08-28,61
290,2018-08-29,52
21,2018-09-01,67
119,2018-09-02,53
104,2018-09-03,50
280,2018-09-04,47
56,2018-09-05,52
66,2018-09-06,58
291,2018-09-07,53
249,2018-09-08,66
101,2018-09-09,57
284,2018-09-10,64
9,2018-09-11,53
320,2018-09-12,26
238,2018-09-13,55
140,2018-09-14,59
234,2018-09-15,59
207,2018-09-16,60
262,2018-09-17,56
126,2018-09-18,59
184,2018-09-19,47
70,2018-09-20,75
39,2018-09-21,56
241,2018-09-22,68
117,2018-09-23,52
174,2018-09-24,57
71,2018-09-25,52
203,2018-09-26,65
273,2018-09-27,53
192,2018-09-28,62
77,2018-09-29,64
307,2018-10-01,59
145,2018-10-02,47
81,2018-10-03,54
154,2018-10-04,53
219,2018-10-05,71
296,2018-10-06,47
260,2018-10-07,63
313,2018-10-08,54
153,2018-10-09,71
80,2018-10-10,58
272,2018-10-11,68
339,2018-10-12,21
156,2018-10-13,55
231,2018-10-14,51
306,2018-10-15,53
51,2018-10-16,54
303,2018-10-17,64
167,2018-10-18,57
224,2018-10-19,52
60,2018-10-20,63
22,2018-10-21,65
97,2018-10-22,68
55,2018-10-23,47
8,2018-10-24,46
144,2018-10-25,48
170,2018-10-26,61
304,2018-10-27,51
278,2018-10-28,48
225,2018-10-29,64
102,2018-11-01,60
162,2018-11-02,62
251,2018-11-03,62
116,2018-11-04,48
141,2018-11-05,55
76,2018-11-06,57
197,2018-11-07,50
229,2018-11-08,42
199,2018-11-09,57
44,2018-11-10,63
176,2018-11-11,52
335,2018-11-12,32
