,brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
0,target,sinful,freya,boulevard boutique,manolo blahnik,proenza schouler
1,acacia swimwear,modern soul,canyon river blues,msk,masquerade,
2,rue,butterfly,angels,thrasher magazine,loeffler randall,
3,ugg,annabelle,buffalo david bitton,san lorenzo,mac cosmetics,
4,op,lilu,macy's,nanette lepore,one teaspoon,
5,torrid,east 5th,tripp nyc,bruno magli,bottega veneta,
6,victoria's secret,evie,missguided,marciano,yru,
7,forever 21,energie,charter club,antonio melani,zales,
8,lularoe,ocean pacific,nicole miller,ag adriano goldschmied,moncler,
9,hollister,pass port,hillard & hanson,mizuno,sears,
10,pink,monster high,elle,blondie nites,tony bowls,
11,the north face,english factory,ivivva,honora,adrianna papell,
12,brandy melville,alfred dunner,emma james,thrasher,tieks,
13,lululemon,harmont & blaine,sam & libby,lola,michaelangelo,
14,michael kors,fruit of the loom,eci,jessica mcclintock,allsaints,
15,levi's®,fang,daisy fuentes,true religion,balenciaga,
16,h&m,tyler rose,nick & nora,ivanka trump,michele,
17,under armour,honeydew intimates,arden b,stussy,faviana,
18,adidas,soho apparel,tangents,a bathing ape,barbour,
19,silver jeans co.,three seasons maternity,k-swiss,sanctuary,spell & the gypsy collective,
20,rock revival,iz byer,miley cyrus,hobo international,alexander wang,
21,fossil,claudia richard,tommy bahama,victoria beckham,brahmin,
22,merona,panhandle slim,qupid,jolyn clothing,goyard,
23,steve madden,lunaire,weatherproof,d&g,chloé,
24,no boundaries,pinc premium,george,london fog,yeezy,
25,faded glory,weavers,too faced x kat von d,herschel supply company,alice + olivia,
26,miss me,le mystere,collective concepts,oscar de la renta,hermès,
27,urban outfitters,belle du jour,kenneth jay lane,tehama,maison martin margiela,
28,intermediary_brand,ny jeans,freestyle,vitamin a,zac posen,
29,lc lauren conrad,partners,bisou bisou,vera wang,mikoh,
30,kate spade,paul frank,romwe,neiman marcus,stella mccartney,
31,pandora,sacred threads,jade,nfinity,gypsy,
32,aerie,dcc,machine,boston proper,alexander mcqueen,
33,guess,hard candy,onyx nite,badgley mischka,ysl yves saint laurent,
34,cherokee,soulmates,kardashian kollection,marni,apple bottoms,
35,calvin klein,briggs new york,rvca,carrera,liberty of london,
36,tiffany & co.,brittany black,life is good,call it spring,blue life,
37,lee,anthony,wacoal,desigual,tod's,
38,sherri hill,bic,catherines,j brand,freddy,
39,banana republic,revlon colorsilk,rene rofe,yoana baraschi,l.a.m.b.,
40,apt.,rebellious one,evan picone,diane von furstenberg,reformation,
41,american eagle,magicsuit,jolt,bb dakota,harvey's seatbelt bag,
42,cole haan,sock it to me,minnetonka,metrostyle,agent provocateur,
43,so,jane ashley,soft surroundings,levi strauss & co.,virgin only,
44,kendra scott,casual corner annex,uniqlo,pj salvage,balmain,
45,vineyard vines,star city,lia sophia,tianello,canada goose,
46,coach,archaic,silver jeans,jordan,rachel zoe,
47,fashion nova,city streets,rock & roll cowgirl,yosi samra,issa de' mar,
48,justfab,pins & needles,melissa,marmot,terani couture,
49,tory burch,elmers,osiris,circus by sam edelman,bvlgari,
50,crocs,bh,everlast,mountain hardwear,native,
51,independent,goody,one clothing,we the free,furla,
52,nike,feetures!,splendid,teva,daniel wellington,
53,old navy,hint,flying monkey,michi by michelle watson,mac duggal,
54,comfort colors,lolly wolly doodle,baby phat,patricia nash,costa del mar,
