,Dias,Total
0,0,7386
1,7,7339
2,14,7381
3,21,7328
4,28,7394
5,35,7417
6,42,7408
7,49,7303
8,56,7369
9,63,7413
10,70,7347
11,77,7312
12,84,7394
13,91,7446
14,98,7433
15,105,7316
16,112,7365
17,119,8069
18,126,7324
19,133,7318
20,140,7371
21,147,7502
22,154,7425
23,161,7441
24,168,7408
25,175,7399
26,182,7301
27,189,7260
28,196,7479
29,203,7370
30,210,7293
31,217,7337
32,224,7330
33,231,7407
34,238,7380
35,245,7376
36,252,7422
37,259,7428
38,266,7348
39,273,7339
40,280,7337
41,287,7265
42,294,7432
43,301,7375
44,308,7342
45,315,5575
46,322,4224
47,329,4167
48,336,4195
49,347,6611
