,Data,Total
67,2018-01-01,1006
5,2018-01-02,1033
43,2018-01-03,1077
286,2018-01-04,1048
317,2018-01-05,1053
164,2018-01-06,1086
93,2018-01-07,1070
96,2018-01-08,1091
309,2018-01-09,1034
65,2018-01-10,1052
211,2018-01-11,1071
340,2018-01-12,608
22,2018-01-13,1025
115,2018-01-14,1053
228,2018-01-15,1108
191,2018-01-16,1073
137,2018-01-17,1007
267,2018-01-18,1032
233,2018-01-19,1081
237,2018-01-20,1085
46,2018-01-21,1057
214,2018-01-22,1028
143,2018-01-23,1066
313,2018-01-24,1104
35,2018-01-25,1063
116,2018-01-26,1063
305,2018-01-27,1017
55,2018-01-28,1060
3,2018-01-29,1081
281,2018-02-01,1042
289,2018-02-02,1040
95,2018-02-03,1067
258,2018-02-04,1046
69,2018-02-05,1064
100,2018-02-06,1062
71,2018-02-07,1061
153,2018-02-08,1073
240,2018-02-09,1085
193,2018-02-10,1021
28,2018-02-11,1066
342,2018-02-12,576
88,2018-02-13,1084
72,2018-02-14,1031
21,2018-02-15,1048
203,2018-02-16,1054
302,2018-02-17,1084
172,2018-02-18,1036
307,2018-02-19,1066
30,2018-02-20,1079
176,2018-02-21,1048
282,2018-02-22,1064
10,2018-02-23,1066
303,2018-02-24,1067
9,2018-02-25,1062
269,2018-02-26,1034
145,2018-02-27,1054
119,2018-02-28,1688
249,2018-03-01,1071
290,2018-03-02,1053
266,2018-03-03,1070
207,2018-03-04,1090
17,2018-03-05,1013
177,2018-03-06,995
101,2018-03-07,1016
122,2018-03-08,1050
300,2018-03-09,1086
131,2018-03-10,1037
89,2018-03-11,1079
318,2018-03-12,578
255,2018-03-13,1076
129,2018-03-14,1062
283,2018-03-15,1055
182,2018-03-16,1046
238,2018-03-17,1030
265,2018-03-18,1075
295,2018-03-19,1048
259,2018-03-20,1049
181,2018-03-21,1032
111,2018-03-22,1077
104,2018-03-23,1114
195,2018-03-24,1030
229,2018-03-25,1017
213,2018-03-26,998
315,2018-03-27,1071
40,2018-03-28,1104
204,2018-03-29,1049
288,2018-04-01,1042
163,2018-04-02,1052
175,2018-04-03,1091
197,2018-04-04,1075
23,2018-04-05,1051
274,2018-04-06,1027
202,2018-04-07,1101
59,2018-04-08,1086
157,2018-04-09,1039
87,2018-04-10,1082
219,2018-04-11,1070
323,2018-04-12,602
170,2018-04-13,1002
70,2018-04-14,1041
198,2018-04-15,1060
1,2018-04-16,1063
199,2018-04-17,1071
156,2018-04-18,1052
80,2018-04-19,1051
125,2018-04-20,1058
