brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
basics_brand,hot topic,nike,swarovski,medela,
popular_brand,supreme,wilton,dc comics,vantage,
intermediary_brand,brandy melville,sesame street,coach,,
,minnie mouse,victoria's secret,kate spade,,
,hello kitty,mighty fine,vineyard vines,,
,michael kors,faber-castell,,,
,pink,disney,,,
,funimation production,vintage,,,
,custom accessories,lularoe,,,
,hallmark,dooney & bourke,,,
,elmers,audi,,,
,serenity,martha stewart,,,
,colorbok,nabisco variety,,,
,,calvin klein,,,
,,a bathing ape,,,
,,rowan,,,
,,spin master,,,
