brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
popular_brand,berkley,soffe,marucci,babolat,
nike,so,pink,odyssey,cleveland golf,
basics_brand,sun mountain,spalding,patagonia,barnett crossbows,
under armour,prana,brine,louisville slugger,hoverboard,
adidas,mueller,pearl izumi,bauer,golfbuddy,
fitbit,jockey,nfl,puma,shimano fishing,
reebok,pga tour,russell athletic,ccm,ping,
titleist,nba,gymshark,dc shoes,gamo,
mizuno,zoo york,schwinn,crosman,adams golf,
yeti,frost cutlery,speedo,jordan,winchester,
intermediary_brand,marvel,supreme,ivivva,cascade,
callaway,dc sports,victoria's secret,the north face,blitz®,
capezio,as seen on tv,camelbak,spyder,select,
garmin,weight watchers,keys,riddell,bear archery,
taylormade,disney,diadora,oakley,cobra,
champion,bloch,ufc,polar,gregory,
rawlings,freestyle,carhartt,new balance,bogs,
easton,,swix,marmot,bushnell,
everlast,,crocs,roller derby,kelty,
wilson,,trina turk,manduka,thule,
burton,,franklin,warrior,xenith,
,,gaiam,abu garcia,flow society,
,,umbro,airwalk,skycaddie,
,,danskin now,head,streamlight®,
,,lularoe,prince,lole,
,,gold's gym,topps,rossignol,
,,columbia,roxy,,
,,tail,demarini,,
,,op,quiksilver,,
,,mcdavid,fitness gear,,
,,jansport,barska,,
,,greg norman,nerf,,
,,sanrio,keen,,
,,century,salomon,,
,,stx,volcom,,
,,smith optics,dunlop,,
,,asics,spy,,
,,pinnacle fishing,worth,,
,,mitre,schutt,,
,,brute,rollerblade,,
,,field & stream,footjoy,,
,,ektelon,mountain hardwear,,
,,brooks,mitchell & ness,,
,,mcfarlane sports,quantum,,
,,slazenger,razor,,
,,srixon,natural fitness,,
,,coach,penn fishing,,
,,coleman,maverik,,
,,gatorade,teton sports,,
,,evoshield,mlb,,
,,swell,yakima,,
,,sklz,thrive,,
,,debeer,fuji,,
,,top flite,redington,,
,,cutters,gerber,,
,,propper,fox,,
,,champro,zaggora,,
,,5.11 tactical,rei,,
,,browning,dragon,,
,,raskullz,ugg australia,,
,,new era,victorinox swiss army®,,
,,ram,helly hansen,,
,,usa hockey,o'neill,,
,,anon,powerbolt,,
,,shock doctor,cliff keen,,
,,bridgestone golf,ogio®,,
,,pelican,mission,,
,,dbx,walter hagen,,
,,nick jr.,perception sport,,
,,avia,abercrombie kids,,
,,justice,high sierra,,
,,jordans,st. croix,,
,,scentblocker,coast,,
,,smartwool,,,
,,blackhawk!,,,
,,huffy,,,
,,faded glory,,,
,,pro line,,,
,,majestic,,,
,,mikasa,,,
,,mylec,,,
,,johnson,,,
,,and1,,,
,,bebe,,,
,,super stroke,,,
,,converse shoes,,,
,,tervis,,,
,,merrell,,,
,,rage broadheads,,,
,,contigo,,,
,,zumba,,,
,,inov-,,,
,,sperry top-sider,,,
,,glamorise,,,
,,elite hockey,,,
,,vintage,,,
,,aqua lung sport,,,
,,betsey johnson,,,
,,swimways,,,
,,lululemon,,,
