price,description_rank,name_rank
6.0,10,2
19.0,8,4
39.0,10,2
10.0,6,4
46.0,1,1
13.0,10,0
15.0,5,2
13.0,10,1
40.0,10,3
60.0,1,1
9.0,3,3
14.0,5,3
10.0,1,3
40.0,10,2
9.0,2,4
45.0,5,2
16.0,10,1
36.0,10,2
24.0,10,1
15.0,1,1
12.0,8,2
22.0,10,4
49.0,10,3
34.0,2,1
12.0,10,3
38.0,2,2
40.0,8,1
32.0,10,3
8.0,7,1
44.0,1,2
34.0,10,3
26.0,8,2
9.0,6,2
19.0,10,2
6.0,9,3
20.0,10,3
10.0,10,4
12.0,1,2
13.0,10,3
30.0,4,0
7.0,1,3
12.0,3,2
18.0,3,2
5.0,7,1
10.0,8,6
32.0,3,3
15.0,3,1
30.0,10,1
8.0,10,3
114.0,10,3
40.0,10,2
15.0,10,4
12.0,10,4
12.0,10,3
26.0,10,3
16.0,1,3
76.0,9,2
45.0,2,4
14.0,2,3
11.0,10,2
10.0,10,2
9.0,1,1
12.0,1,2
22.0,10,5
44.0,1,3
16.0,6,0
30.0,10,4
22.0,8,2
13.0,10,5
36.0,3,3
16.0,10,5
12.0,1,2
6.0,4,3
250.0,10,2
22.0,2,3
22.0,4,1
16.0,10,3
26.0,2,2
45.0,10,1
56.0,7,1
11.0,2,2
10.0,4,2
80.0,10,3
12.0,10,2
36.0,3,4
5.0,8,3
22.0,10,2
16.0,10,3
96.0,7,1
29.0,7,2
11.0,1,2
10.0,10,6
70.0,10,2
33.0,10,5
46.0,10,2
54.0,10,2
14.0,10,1
20.0,10,4
19.0,3,2
22.0,3,0
30.0,9,1
30.0,1,2
45.0,10,3
18.0,6,2
15.0,1,1
9.0,5,2
26.0,10,2
10.0,3,2
44.0,10,1
11.0,10,6
12.0,8,3
16.0,5,4
18.0,10,2
16.0,7,2
9.0,10,2
24.0,10,4
106.0,4,2
7.0,10,2
25.0,9,4
76.0,10,3
35.0,3,3
25.0,4,0
24.0,10,5
24.0,5,1
9.0,10,1
10.0,6,3
21.0,9,1
100.0,10,5
49.0,10,2
10.0,10,3
90.0,8,2
10.0,4,4
12.0,10,0
10.0,5,1
32.0,10,3
12.0,1,3
9.0,10,5
16.0,10,1
17.0,1,4
16.0,10,2
15.0,7,5
15.0,10,1
6.0,10,1
7.0,1,2
14.0,5,3
14.0,10,5
21.0,10,4
4.0,8,2
8.0,6,1
24.0,2,4
10.0,10,5
16.0,10,2
15.0,5,1
13.0,6,3
9.0,4,1
24.0,2,4
5.0,10,2
10.0,10,2
9.0,3,3
24.0,10,5
11.0,10,4
16.0,10,3
11.0,4,3
24.0,6,2
20.0,10,3
121.0,4,3
18.0,2,4
24.0,1,5
22.0,4,1
18.0,4,1
10.0,5,3
176.0,8,1
15.0,4,0
26.0,8,2
14.0,10,4
49.0,9,1
12.0,10,0
15.0,9,2
12.0,10,3
80.0,10,4
18.0,3,5
10.0,4,3
21.0,10,4
30.0,10,1
18.0,9,3
81.0,10,3
15.0,10,2
7.0,1,3
12.0,10,1
10.0,4,0
24.0,10,3
39.0,4,2
11.0,5,4
7.0,4,0
19.0,3,3
16.0,5,3
65.0,10,2
65.0,9,5
115.0,10,5
6.0,3,2
21.0,2,2
10.0,2,2
25.0,4,3
18.0,10,5
22.0,10,5
16.0,2,1
14.0,6,1
45.0,7,2
8.0,10,2
61.0,3,0
20.0,1,1
36.0,10,4
59.0,10,2
86.0,1,2
32.0,4,2
6.0,10,5
29.0,10,2
15.0,5,1
11.0,10,1
21.0,10,1
65.0,10,2
14.0,10,3
50.0,7,2
21.0,4,3
39.0,10,6
17.0,7,1
24.0,10,2
11.0,10,5
9.0,10,1
11.0,10,3
5.0,2,2
31.0,10,3
20.0,6,0
18.0,10,6
49.0,10,2
125.0,10,1
34.0,10,2
35.0,10,2
20.0,1,3
20.0,10,1
17.0,5,4
110.0,10,3
8.0,8,4
23.0,5,3
12.0,1,3
3.0,4,1
76.0,8,3
20.0,10,4
86.0,10,1
14.0,10,3
26.0,6,1
34.0,10,2
66.0,10,1
9.0,10,2
26.0,10,3
12.0,10,5
11.0,10,5
84.0,3,3
25.0,10,5
9.0,4,2
9.0,3,3
19.0,10,5
16.0,10,3
30.0,10,2
9.0,10,1
19.0,10,3
25.0,10,2
4.0,10,3
27.0,7,3
55.0,1,1
9.0,2,1
29.0,10,1
12.0,9,2
80.0,10,2
21.0,10,5
15.0,3,2
15.0,2,3
20.0,10,2
49.0,10,0
32.0,10,1
10.0,7,2
16.0,10,1
7.0,7,2
35.0,7,3
36.0,10,1
16.0,10,1
71.0,10,3
14.0,10,1
16.0,2,3
56.0,8,4
14.0,10,0
35.0,1,0
9.0,10,2
10.0,10,2
12.0,8,3
9.0,10,2
16.0,6,3
14.0,3,6
30.0,10,1
19.0,3,3
10.0,10,1
19.0,2,2
6.0,10,1
5.0,4,3
29.0,8,2
59.0,3,1
56.0,4,3
3.0,3,1
8.0,3,2
12.0,10,3
17.0,10,3
16.0,10,2
24.0,10,5
10.0,10,1
20.0,10,5
44.0,10,2
12.0,1,3
7.0,6,5
18.0,10,2
12.0,10,2
11.0,10,2
15.0,5,1
13.0,10,4
10.0,3,3
8.0,1,0
6.0,2,2
9.0,10,5
16.0,1,2
19.0,2,1
9.0,10,2
31.0,5,4
66.0,10,2
8.0,2,2
16.0,7,2
23.0,5,2
19.0,10,2
16.0,10,2
24.0,9,3
3.0,3,1
29.0,10,0
24.0,10,3
13.0,5,1
9.0,5,3
28.0,10,5
15.0,10,2
10.0,10,5
8.0,1,2
22.0,10,2
29.0,4,2
10.0,4,4
12.0,10,5
27.0,5,4
15.0,10,3
3.0,1,1
11.0,10,1
35.0,10,3
13.0,10,1
23.0,10,3
15.0,10,2
16.0,7,3
25.0,6,5
9.0,3,3
19.0,1,0
11.0,10,1
10.0,2,3
60.0,10,5
24.0,4,4
10.0,10,2
4.0,7,2
15.0,10,1
16.0,10,2
26.0,3,4
46.0,4,1
8.0,7,2
59.0,10,3
5.0,10,1
12.0,2,3
16.0,10,3
14.0,10,5
20.0,6,3
17.0,10,2
26.0,10,3
24.0,10,4
29.0,1,3
10.0,6,1
27.0,4,3
18.0,10,1
14.0,6,3
30.0,9,3
35.0,10,1
10.0,2,1
14.0,10,3
10.0,3,2
69.0,10,6
11.0,2,2
13.0,10,5
23.0,3,1
14.0,2,1
19.0,2,2
18.0,10,3
8.0,5,2
29.0,10,4
50.0,1,1
7.0,2,3
36.0,10,2
9.0,10,3
19.0,8,1
21.0,10,4
21.0,3,2
35.0,1,3
7.0,4,3
36.0,8,2
21.0,7,3
19.0,8,2
15.0,10,1
5.0,5,2
17.0,10,2
20.0,7,1
18.0,10,3
16.0,10,3
39.0,3,1
12.0,10,0
24.0,10,4
8.0,10,3
24.0,10,3
12.0,4,3
50.0,10,1
66.0,10,1
20.0,4,2
14.0,6,3
26.0,7,4
28.0,4,0
19.0,5,2
10.0,4,2
50.0,10,2
11.0,4,4
64.0,10,4
20.0,8,1
12.0,10,3
13.0,10,2
20.0,7,2
18.0,7,2
75.0,10,3
15.0,10,4
19.0,10,0
22.0,4,3
19.0,10,5
11.0,10,4
30.0,9,2
13.0,10,5
21.0,5,4
19.0,4,0
11.0,10,3
25.0,10,4
13.0,10,2
8.0,8,4
14.0,10,4
14.0,4,4
10.0,4,3
150.0,6,0
15.0,10,1
20.0,7,3
33.0,10,1
11.0,10,5
13.0,1,4
14.0,10,1
11.0,10,2
18.0,10,3
14.0,8,2
24.0,7,3
10.0,10,3
16.0,5,2
40.0,5,2
11.0,10,4
10.0,5,2
21.0,10,3
12.0,10,3
19.0,3,3
20.0,7,3
9.0,10,3
71.0,10,2
25.0,10,5
8.0,10,2
30.0,10,1
35.0,10,0
14.0,9,3
21.0,10,4
14.0,10,0
30.0,10,4
5.0,1,1
12.0,9,3
10.0,10,1
12.0,4,2
14.0,10,3
