,Dias,Total
0,0,2079
1,7,2002
2,14,1998
3,21,2030
4,28,2249
5,35,2024
6,42,2004
7,49,2034
8,56,2006
9,63,2100
10,70,1997
11,77,2019
12,84,1975
13,91,1975
14,98,2026
15,105,2083
16,112,2056
17,119,1992
18,126,2018
19,133,2005
20,140,1989
21,147,2071
22,154,2041
23,161,2015
24,168,2017
25,175,2009
26,182,2028
27,189,2078
28,196,2025
29,203,2022
30,210,2013
31,217,1999
32,224,2018
33,231,2023
34,238,2016
35,245,1943
36,252,1991
37,259,2030
38,266,2053
39,273,2001
40,280,2011
41,287,2014
42,294,2014
43,301,2022
44,308,2028
45,315,1500
46,322,1222
47,329,1183
48,336,1175
49,347,1847
