,Dias,Total
0,0,1019
1,7,977
2,14,1010
3,21,957
4,28,979
5,35,960
6,42,1013
7,49,981
8,56,965
9,63,937
10,70,987
11,77,1000
12,84,967
13,91,1067
14,98,1007
15,105,996
16,112,1015
17,119,999
18,126,1005
19,133,977
20,140,939
21,147,971
22,154,944
23,161,1028
24,168,944
25,175,933
26,182,980
27,189,984
28,196,1014
29,203,1007
30,210,951
31,217,899
32,224,999
33,231,892
34,238,967
35,245,1011
36,252,939
37,259,1001
38,266,948
39,273,976
40,280,944
41,287,982
42,294,979
43,301,948
44,308,971
45,315,704
46,322,539
47,329,504
48,336,511
49,347,781
