,Dias,Total
0,0,1385
1,7,1545
2,14,1355
3,21,1417
4,28,1411
5,35,1430
6,42,1414
7,49,1356
8,56,1409
9,63,1380
10,70,1416
11,77,1355
12,84,1451
13,91,1438
14,98,1384
15,105,1395
16,112,1407
17,119,1399
18,126,1368
19,133,1446
20,140,1360
21,147,1374
22,154,1373
23,161,1392
24,168,1433
25,175,1352
26,182,1402
27,189,1354
28,196,1375
29,203,1380
30,210,1414
31,217,1373
32,224,1401
33,231,1319
34,238,1427
35,245,1348
36,252,1452
37,259,1379
38,266,1340
39,273,1382
40,280,1402
41,287,1382
42,294,1380
43,301,1362
44,308,1374
45,315,1023
46,322,820
47,329,752
48,336,780
49,347,1228
