,Dias,Total
0,0,433
1,7,362
2,14,423
3,21,395
4,28,413
5,35,435
6,42,411
7,49,337
8,56,397
9,63,460
10,70,418
11,77,405
12,84,396
13,91,385
14,98,386
15,105,384
16,112,382
17,119,389
18,126,417
19,133,405
20,140,394
21,147,444
22,154,363
23,161,386
24,168,400
25,175,371
26,182,380
27,189,413
28,196,403
29,203,383
30,210,423
31,217,417
32,224,379
33,231,419
34,238,406
35,245,420
36,252,379
37,259,365
38,266,422
39,273,350
40,280,380
41,287,378
42,294,367
43,301,401
44,308,361
45,315,286
46,322,220
47,329,197
48,336,171
49,347,277
