,Dias,Total
0,0,1303
1,7,1347
2,14,1303
3,21,1252
4,28,1327
5,35,1350
6,42,1385
7,49,1338
8,56,1337
9,63,1315
10,70,1350
11,77,1330
12,84,1339
13,91,1274
14,98,1305
15,105,1310
16,112,1336
17,119,1364
18,126,1326
19,133,1358
20,140,1408
21,147,1367
22,154,1289
23,161,1326
24,168,1322
25,175,1325
26,182,1334
27,189,1307
28,196,1333
29,203,1362
30,210,1301
31,217,1271
32,224,1302
33,231,1262
34,238,1295
35,245,1297
36,252,1294
37,259,1312
38,266,1291
39,273,1305
40,280,1327
41,287,1261
42,294,1279
43,301,1268
44,308,1252
45,315,924
46,322,680
47,329,653
48,336,699
49,347,1081
