,Dias,Total
0,0,691
1,7,708
2,14,698
3,21,729
4,28,707
5,35,713
6,42,751
7,49,694
8,56,675
9,63,667
10,70,723
11,77,724
12,84,711
13,91,700
14,98,682
15,105,705
16,112,725
17,119,744
18,126,683
19,133,705
20,140,661
21,147,671
22,154,700
23,161,693
24,168,702
25,175,710
26,182,726
27,189,681
28,196,706
29,203,748
30,210,705
31,217,715
32,224,729
33,231,728
34,238,702
35,245,697
36,252,719
37,259,716
38,266,692
39,273,713
40,280,670
41,287,699
42,294,672
43,301,718
44,308,689
45,315,466
46,322,371
47,329,337
48,336,323
49,347,521
