,Data,Total
27,2018-01-01,303
261,2018-01-02,285
272,2018-01-03,310
259,2018-01-04,284
139,2018-01-05,267
205,2018-01-06,295
70,2018-01-07,290
73,2018-01-08,292
50,2018-01-09,297
87,2018-01-10,286
41,2018-01-11,299
344,2018-01-12,171
4,2018-01-13,306
135,2018-01-14,285
75,2018-01-15,291
297,2018-01-16,291
61,2018-01-17,294
48,2018-01-18,282
156,2018-01-19,294
194,2018-01-20,298
193,2018-01-21,280
71,2018-01-22,265
127,2018-01-23,313
84,2018-01-24,277
43,2018-01-25,283
130,2018-01-26,293
109,2018-01-27,292
21,2018-01-28,290
316,2018-01-29,282
300,2018-02-01,287
146,2018-02-02,301
58,2018-02-03,276
20,2018-02-04,302
218,2018-02-05,293
209,2018-02-06,283
257,2018-02-07,268
36,2018-02-08,302
265,2018-02-09,301
303,2018-02-10,310
144,2018-02-11,301
320,2018-02-12,158
117,2018-02-13,299
6,2018-02-14,283
180,2018-02-15,300
236,2018-02-16,286
244,2018-02-17,288
112,2018-02-18,295
270,2018-02-19,291
172,2018-02-20,301
22,2018-02-21,282
267,2018-02-22,287
314,2018-02-23,298
68,2018-02-24,316
286,2018-02-25,266
158,2018-02-26,292
134,2018-02-27,280
32,2018-02-28,440
38,2018-03-01,275
162,2018-03-02,294
128,2018-03-03,274
191,2018-03-04,298
280,2018-03-05,282
28,2018-03-06,301
313,2018-03-07,288
94,2018-03-08,292
23,2018-03-09,289
203,2018-03-10,296
275,2018-03-11,281
341,2018-03-12,150
5,2018-03-13,301
80,2018-03-14,285
223,2018-03-15,285
179,2018-03-16,301
101,2018-03-17,304
88,2018-03-18,281
12,2018-03-19,283
89,2018-03-20,267
67,2018-03-21,304
184,2018-03-22,297
166,2018-03-23,312
299,2018-03-24,284
202,2018-03-25,279
176,2018-03-26,270
136,2018-03-27,287
255,2018-03-28,289
187,2018-03-29,292
308,2018-04-01,303
273,2018-04-02,278
138,2018-04-03,293
69,2018-04-04,305
258,2018-04-05,275
142,2018-04-06,279
110,2018-04-07,296
200,2018-04-08,268
1,2018-04-09,295
204,2018-04-10,285
304,2018-04-11,272
334,2018-04-12,159
221,2018-04-13,275
81,2018-04-14,303
192,2018-04-15,312
214,2018-04-16,296
119,2018-04-17,280
60,2018-04-18,285
83,2018-04-19,288
302,2018-04-20,301
196,2018-04-21,292
25,2018-04-22,288
51,2018-04-23,286
19,2018-04-24,294
97,2018-04-25,281
245,2018-04-26,279
59,2018-04-27,301
2,2018-04-28,299
129,2018-04-29,306
306,2018-05-01,284
18,2018-05-02,265
152,2018-05-03,295
126,2018-05-04,289
78,2018-05-05,293
171,2018-05-06,275
253,2018-05-07,304
266,2018-05-08,290
122,2018-05-09,295
91,2018-05-10,274
63,2018-05-11,287
327,2018-05-12,179
249,2018-05-13,292
96,2018-05-14,293
11,2018-05-15,294
260,2018-05-16,282
7,2018-05-17,311
232,2018-05-18,288
211,2018-05-19,287
212,2018-05-20,279
157,2018-05-21,267
277,2018-05-22,291
238,2018-05-23,291
35,2018-05-24,289
210,2018-05-25,285
92,2018-05-26,288
57,2018-05-27,267
217,2018-05-28,275
234,2018-05-29,274
104,2018-06-01,282
279,2018-06-02,307
137,2018-06-03,299
111,2018-06-04,313
174,2018-06-05,292
190,2018-06-06,282
262,2018-06-07,290
106,2018-06-08,282
56,2018-06-09,283
