,Data,Total
58,2018-01-01,127
151,2018-01-02,142
123,2018-01-03,134
76,2018-01-04,135
61,2018-01-05,134
74,2018-01-06,160
11,2018-01-07,127
185,2018-01-08,122
48,2018-01-09,144
30,2018-01-10,128
237,2018-01-11,132
338,2018-01-12,87
33,2018-01-13,131
50,2018-01-14,138
275,2018-01-15,139
182,2018-01-16,133
297,2018-01-17,146
232,2018-01-18,127
316,2018-01-19,142
127,2018-01-20,158
23,2018-01-21,146
169,2018-01-22,141
31,2018-01-23,145
59,2018-01-24,124
142,2018-01-25,137
239,2018-01-26,159
293,2018-01-27,138
250,2018-01-28,151
260,2018-01-29,143
272,2018-02-01,143
216,2018-02-02,118
122,2018-02-03,149
21,2018-02-04,120
213,2018-02-05,148
265,2018-02-06,144
94,2018-02-07,136
14,2018-02-08,139
15,2018-02-09,152
117,2018-02-10,146
144,2018-02-11,135
329,2018-02-12,74
129,2018-02-13,139
246,2018-02-14,140
199,2018-02-15,149
189,2018-02-16,141
20,2018-02-17,153
49,2018-02-18,148
0,2018-02-19,152
251,2018-02-20,148
13,2018-02-21,138
93,2018-02-22,134
269,2018-02-23,122
184,2018-02-24,145
119,2018-02-25,148
267,2018-02-26,150
35,2018-02-27,149
92,2018-02-28,254
5,2018-03-01,139
254,2018-03-02,133
268,2018-03-03,128
196,2018-03-04,147
283,2018-03-05,127
150,2018-03-06,140
159,2018-03-07,135
195,2018-03-08,144
106,2018-03-09,153
99,2018-03-10,141
209,2018-03-11,157
323,2018-03-12,73
130,2018-03-13,158
165,2018-03-14,159
52,2018-03-15,139
302,2018-03-16,129
78,2018-03-17,155
105,2018-03-18,119
154,2018-03-19,143
191,2018-03-20,131
155,2018-03-21,137
56,2018-03-22,149
46,2018-03-23,153
298,2018-03-24,126
37,2018-03-25,144
87,2018-03-26,132
72,2018-03-27,149
270,2018-03-28,145
261,2018-03-29,142
55,2018-04-01,146
210,2018-04-02,148
212,2018-04-03,138
135,2018-04-04,129
16,2018-04-05,136
230,2018-04-06,122
54,2018-04-07,149
132,2018-04-08,130
27,2018-04-09,147
222,2018-04-10,129
128,2018-04-11,144
331,2018-04-12,69
197,2018-04-13,147
317,2018-04-14,139
77,2018-04-15,145
47,2018-04-16,141
19,2018-04-17,152
217,2018-04-18,120
65,2018-04-19,143
288,2018-04-20,135
173,2018-04-21,135
279,2018-04-22,137
141,2018-04-23,137
112,2018-04-24,151
125,2018-04-25,153
201,2018-04-26,145
102,2018-04-27,142
314,2018-04-28,163
26,2018-04-29,129
137,2018-05-01,153
71,2018-05-02,142
