,Data,Total
134,2018-01-01,191
94,2018-01-02,167
29,2018-01-03,192
284,2018-01-04,206
158,2018-01-05,181
44,2018-01-06,190
246,2018-01-07,183
1,2018-01-08,187
59,2018-01-09,195
117,2018-01-10,173
205,2018-01-11,183
345,2018-01-12,93
108,2018-01-13,179
142,2018-01-14,192
149,2018-01-15,173
186,2018-01-16,172
191,2018-01-17,180
22,2018-01-18,188
171,2018-01-19,211
229,2018-01-20,187
49,2018-01-21,188
126,2018-01-22,201
293,2018-01-23,192
90,2018-01-24,201
48,2018-01-25,207
302,2018-01-26,181
222,2018-01-27,179
266,2018-01-28,190
45,2018-01-29,194
264,2018-02-01,186
85,2018-02-02,192
153,2018-02-03,214
157,2018-02-04,199
281,2018-02-05,185
185,2018-02-06,196
40,2018-02-07,195
249,2018-02-08,178
163,2018-02-09,191
4,2018-02-10,184
308,2018-02-11,172
324,2018-02-12,111
283,2018-02-13,187
150,2018-02-14,193
103,2018-02-15,175
125,2018-02-16,184
67,2018-02-17,182
162,2018-02-18,201
197,2018-02-19,185
23,2018-02-20,155
92,2018-02-21,188
143,2018-02-22,181
310,2018-02-23,193
25,2018-02-24,194
123,2018-02-25,184
195,2018-02-26,184
297,2018-02-27,162
140,2018-02-28,325
239,2018-03-01,177
232,2018-03-02,185
278,2018-03-03,175
78,2018-03-04,196
119,2018-03-05,190
172,2018-03-06,180
82,2018-03-07,186
114,2018-03-08,199
248,2018-03-09,190
261,2018-03-10,189
315,2018-03-11,176
327,2018-03-12,88
137,2018-03-13,181
250,2018-03-14,178
291,2018-03-15,166
127,2018-03-16,172
317,2018-03-17,164
116,2018-03-18,190
89,2018-03-19,167
57,2018-03-20,173
216,2018-03-21,186
80,2018-03-22,169
58,2018-03-23,180
275,2018-03-24,176
30,2018-03-25,187
84,2018-03-26,192
204,2018-03-27,193
151,2018-03-28,194
130,2018-03-29,199
209,2018-04-01,199
180,2018-04-02,190
68,2018-04-03,198
228,2018-04-04,183
313,2018-04-05,179
200,2018-04-06,179
51,2018-04-07,195
31,2018-04-08,202
86,2018-04-09,199
273,2018-04-10,194
102,2018-04-11,200
330,2018-04-12,97
218,2018-04-13,182
11,2018-04-14,177
255,2018-04-15,186
38,2018-04-16,176
77,2018-04-17,208
303,2018-04-18,190
76,2018-04-19,196
252,2018-04-20,191
203,2018-04-21,205
254,2018-04-22,175
99,2018-04-23,192
287,2018-04-24,169
26,2018-04-25,173
147,2018-04-26,200
175,2018-04-27,194
223,2018-04-28,188
110,2018-04-29,204
65,2018-05-01,192
299,2018-05-02,182
36,2018-05-03,224
37,2018-05-04,185
55,2018-05-05,195
176,2018-05-06,182
269,2018-05-07,189
43,2018-05-08,191
14,2018-05-09,172
71,2018-05-10,190
270,2018-05-11,172
322,2018-05-12,99
69,2018-05-13,194
21,2018-05-14,180
81,2018-05-15,188
101,2018-05-16,178
0,2018-05-17,165
34,2018-05-18,174
88,2018-05-19,189
210,2018-05-20,182
79,2018-05-21,198
230,2018-05-22,167
62,2018-05-23,187
13,2018-05-24,180
10,2018-05-25,180
202,2018-05-26,194
113,2018-05-27,198
219,2018-05-28,195
241,2018-05-29,177
24,2018-06-01,179
179,2018-06-02,194
138,2018-06-03,189
211,2018-06-04,186
120,2018-06-05,202
160,2018-06-06,174
7,2018-06-07,198
17,2018-06-08,178
233,2018-06-09,177
8,2018-06-10,209
12,2018-06-11,203
328,2018-06-12,98
295,2018-06-13,201
170,2018-06-14,175
220,2018-06-15,183
124,2018-06-16,203
72,2018-06-17,178
60,2018-06-18,204
164,2018-06-19,183
177,2018-06-20,182
296,2018-06-21,176
271,2018-06-22,197
121,2018-06-23,202
109,2018-06-24,172
100,2018-06-25,192
115,2018-06-26,190
159,2018-06-27,186
111,2018-06-28,190
262,2018-06-29,196
251,2018-07-01,181
107,2018-07-02,203
98,2018-07-03,189
181,2018-07-04,200
257,2018-07-05,191
294,2018-07-06,205
238,2018-07-07,196
196,2018-07-08,196
135,2018-07-09,207
187,2018-07-10,202
234,2018-07-11,204
346,2018-07-12,88
225,2018-07-13,172
73,2018-07-14,205
27,2018-07-15,183
280,2018-07-16,188
178,2018-07-17,183
304,2018-07-18,178
32,2018-07-19,183
288,2018-07-20,176
260,2018-07-21,200
311,2018-07-22,187
306,2018-07-23,172
183,2018-07-24,189
161,2018-07-25,186
53,2018-07-26,208
66,2018-07-27,196
214,2018-07-28,197
263,2018-07-29,191
47,2018-08-01,211
189,2018-08-02,175
247,2018-08-03,194
182,2018-08-04,188
20,2018-08-05,199
276,2018-08-06,192
192,2018-08-07,194
207,2018-08-08,217
139,2018-08-09,204
198,2018-08-10,204
18,2018-08-11,182
323,2018-08-12,108
3,2018-08-13,198
173,2018-08-14,180
106,2018-08-15,181
91,2018-08-16,162
217,2018-08-17,185
301,2018-08-18,189
104,2018-08-19,179
33,2018-08-20,191
174,2018-08-21,191
129,2018-08-22,189
274,2018-08-23,190
56,2018-08-24,188
272,2018-08-25,181
245,2018-08-26,193
312,2018-08-27,179
64,2018-08-28,181
194,2018-08-29,186
268,2018-09-01,184
206,2018-09-02,196
188,2018-09-03,192
19,2018-09-04,178
215,2018-09-05,174
83,2018-09-06,185
112,2018-09-07,198
208,2018-09-08,169
168,2018-09-09,208
258,2018-09-10,173
290,2018-09-11,196
340,2018-09-12,93
133,2018-09-13,213
240,2018-09-14,163
190,2018-09-15,208
16,2018-09-16,183
87,2018-09-17,199
231,2018-09-18,159
52,2018-09-19,190
212,2018-09-20,179
146,2018-09-21,186
15,2018-09-22,211
193,2018-09-23,180
105,2018-09-24,181
128,2018-09-25,209
314,2018-09-26,168
165,2018-09-27,191
63,2018-09-28,172
213,2018-09-29,197
316,2018-10-01,198
70,2018-10-02,199
253,2018-10-03,193
9,2018-10-04,200
256,2018-10-05,185
42,2018-10-06,203
267,2018-10-07,178
286,2018-10-08,184
305,2018-10-09,162
39,2018-10-10,188
93,2018-10-11,177
342,2018-10-12,100
292,2018-10-13,172
74,2018-10-14,212
96,2018-10-15,201
145,2018-10-16,178
28,2018-10-17,198
46,2018-10-18,189
227,2018-10-19,204
259,2018-10-20,164
156,2018-10-21,186
289,2018-10-22,190
41,2018-10-23,193
199,2018-10-24,190
243,2018-10-25,191
152,2018-10-26,193
300,2018-10-27,168
279,2018-10-28,203
50,2018-10-29,188
75,2018-11-01,170
242,2018-11-02,184
95,2018-11-03,186
244,2018-11-04,207
226,2018-11-05,188
235,2018-11-06,205
61,2018-11-07,210
236,2018-11-08,172
155,2018-11-09,180
166,2018-11-10,192
201,2018-11-11,185
343,2018-11-12,107
298,2018-11-13,185
136,2018-11-14,173
285,2018-11-15,190
154,2018-11-16,183
122,2018-11-17,199
167,2018-11-18,182
309,2018-11-19,174
97,2018-11-20,193
6,2018-11-21,183
131,2018-11-22,180
118,2018-11-23,188
2,2018-11-24,177
169,2018-11-25,177
282,2018-11-26,187
141,2018-11-27,177
54,2018-11-28,174
144,2018-11-29,169
148,2018-12-01,200
265,2018-12-02,186
277,2018-12-03,175
221,2018-12-04,159
35,2018-12-05,189
307,2018-12-06,196
5,2018-12-07,209
224,2018-12-08,201
132,2018-12-09,176
184,2018-12-10,195
237,2018-12-11,160
335,2018-12-12,108
334,2018-12-13,84
318,2018-12-14,95
344,2018-12-15,94
337,2018-12-16,94
321,2018-12-17,92
329,2018-12-18,91
331,2018-12-19,89
326,2018-12-20,86
338,2018-12-21,93
332,2018-12-22,89
333,2018-12-23,95
339,2018-12-24,103
319,2018-12-25,100
325,2018-12-26,90
341,2018-12-27,102
320,2018-12-28,99
336,2018-12-29,114
