price,description_rank,name_rank
39.0,6,1
70.0,10,5
18.0,10,0
22.0,10,4
7.0,10,1
10.0,4,4
79.0,10,2
37.0,8,5
55.0,3,2
90.0,10,2
8.0,7,4
20.0,10,2
15.0,10,3
3.0,8,2
26.0,10,0
3.0,10,5
6.0,5,1
7.0,10,1
29.0,10,4
12.0,1,2
21.0,4,1
3.0,10,2
9.0,10,3
8.0,3,1
6.0,10,3
27.0,10,1
9.0,10,2
32.0,8,2
46.0,9,2
144.0,10,4
8.0,10,2
15.0,10,3
4.0,10,1
4.0,10,4
31.0,10,3
4.0,5,1
24.0,2,1
6.0,8,2
10.0,4,1
56.0,10,1
3.0,10,3
11.0,10,1
35.0,10,0
8.0,10,2
3.0,10,1
29.0,9,1
12.0,10,3
8.0,5,2
39.0,10,2
36.0,7,2
9.0,2,2
115.0,10,1
6.0,10,3
4.0,1,3
35.0,6,4
34.0,9,3
9.0,10,0
4.0,10,1
7.0,10,6
3.0,10,4
14.0,10,2
25.0,10,2
12.0,10,2
8.0,10,4
36.0,10,2
34.0,9,5
11.0,2,2
7.0,6,0
11.0,7,4
3.0,10,3
20.0,10,2
10.0,5,5
8.0,10,4
120.0,1,1
19.0,4,4
6.0,10,1
14.0,10,3
39.0,10,1
26.0,6,4
27.0,10,3
11.0,4,0
16.0,9,2
10.0,10,4
6.0,10,4
5.0,10,0
12.0,10,3
31.0,10,3
13.0,10,0
18.0,10,5
40.0,10,3
12.0,10,5
10.0,10,3
12.0,8,4
4.0,10,3
14.0,3,1
14.0,10,4
7.0,1,2
17.0,10,3
6.0,6,1
20.0,5,1
12.0,8,3
12.0,10,3
10.0,10,2
12.0,10,3
24.0,10,2
19.0,10,3
11.0,10,1
8.0,10,0
10.0,9,3
6.0,10,3
7.0,10,2
26.0,10,4
5.0,10,2
3.0,10,5
10.0,10,4
18.0,9,1
14.0,5,1
6.0,5,1
41.0,10,2
4.0,10,5
44.0,9,0
6.0,10,3
7.0,3,2
16.0,10,4
10.0,4,2
8.0,10,0
7.0,9,1
22.0,8,1
12.0,10,1
6.0,10,3
4.0,10,1
25.0,2,5
22.0,10,6
10.0,10,2
25.0,1,1
3.0,10,3
23.0,10,3
12.0,8,2
7.0,1,3
5.0,9,1
10.0,9,3
16.0,3,1
10.0,10,3
4.0,10,1
10.0,2,0
12.0,10,5
17.0,2,2
9.0,3,1
10.0,1,1
12.0,10,1
4.0,10,0
7.0,4,0
3.0,10,3
14.0,10,1
15.0,10,1
14.0,5,1
3.0,4,1
4.0,10,1
29.0,8,3
5.0,10,4
15.0,10,2
12.0,6,0
19.0,10,2
66.0,10,1
25.0,10,1
9.0,10,3
47.0,5,2
11.0,10,4
29.0,6,0
5.0,2,1
56.0,10,4
3.0,10,3
7.0,10,3
165.0,1,4
11.0,10,3
86.0,10,4
28.0,10,4
34.0,3,4
10.0,8,1
7.0,10,2
19.0,3,3
8.0,4,2
7.0,10,3
4.0,10,3
17.0,10,1
14.0,10,2
3.0,1,2
22.0,10,2
5.0,10,3
12.0,2,4
3.0,4,2
8.0,8,1
35.0,6,2
39.0,1,3
5.0,10,2
18.0,10,3
6.0,2,5
8.0,10,1
5.0,6,1
