price,description_rank,name_rank
29.0,10,5
5.0,10,4
8.0,10,4
36.0,10,5
7.0,10,3
10.0,1,3
13.0,2,3
14.0,4,4
12.0,2,4
14.0,5,2
34.0,5,2
28.0,10,3
150.0,3,2
9.0,10,4
36.0,10,2
7.0,10,3
16.0,8,1
7.0,10,4
12.0,7,1
91.0,10,1
10.0,1,4
8.0,6,4
30.0,2,4
9.0,4,7
22.0,5,3
14.0,5,4
9.0,3,3
56.0,10,3
10.0,1,5
7.0,5,3
26.0,3,5
36.0,4,2
8.0,8,3
10.0,10,1
8.0,10,5
12.0,10,1
12.0,9,3
14.0,1,3
13.0,10,1
9.0,10,1
5.0,10,1
6.0,2,2
21.0,10,1
17.0,5,2
11.0,5,3
12.0,6,5
24.0,10,4
16.0,10,6
56.0,8,5
15.0,8,4
12.0,10,2
10.0,6,2
9.0,1,2
12.0,10,3
15.0,10,2
20.0,3,2
19.0,2,4
18.0,10,3
13.0,10,5
7.0,1,3
15.0,10,1
17.0,1,4
12.0,10,3
34.0,7,6
8.0,7,2
12.0,5,3
14.0,2,5
22.0,9,4
10.0,8,2
9.0,10,3
12.0,10,1
8.0,10,6
61.0,7,2
8.0,8,4
11.0,5,1
18.0,10,2
36.0,4,2
28.0,6,3
8.0,9,4
14.0,2,1
13.0,10,4
14.0,1,2
8.0,10,2
24.0,4,2
65.0,10,2
14.0,2,6
34.0,9,3
8.0,10,3
16.0,10,4
8.0,10,6
39.0,1,2
29.0,3,2
18.0,10,3
10.0,10,3
8.0,10,2
10.0,3,1
5.0,5,3
11.0,10,4
13.0,4,2
24.0,10,3
52.0,4,3
39.0,5,3
10.0,10,3
12.0,7,3
14.0,10,4
5.0,2,6
24.0,10,6
10.0,5,3
12.0,10,3
14.0,10,3
16.0,10,2
25.0,9,3
4.0,10,3
11.0,10,4
10.0,10,5
7.0,1,6
8.0,5,2
30.0,10,2
6.0,10,3
9.0,10,3
12.0,1,3
14.0,4,4
22.0,7,3
6.0,5,2
46.0,5,2
12.0,7,3
9.0,10,2
20.0,4,3
3.0,4,2
34.0,10,5
5.0,6,3
95.0,3,3
11.0,9,3
6.0,8,4
13.0,10,6
12.0,10,5
18.0,10,5
24.0,10,3
36.0,1,3
30.0,10,3
19.0,5,1
19.0,4,2
15.0,5,1
26.0,3,3
45.0,10,2
6.0,10,3
7.0,2,4
13.0,10,3
8.0,1,1
9.0,1,2
20.0,10,3
186.0,8,2
21.0,10,5
9.0,10,5
31.0,3,0
3.0,10,1
8.0,10,4
20.0,10,1
7.0,4,1
67.0,10,4
9.0,7,3
69.0,7,2
29.0,2,3
51.0,10,5
14.0,3,1
25.0,9,5
7.0,1,1
11.0,5,1
30.0,8,2
30.0,5,3
7.0,3,4
24.0,5,2
7.0,3,1
24.0,7,3
28.0,2,4
8.0,3,3
14.0,1,6
65.0,10,1
26.0,10,4
20.0,6,2
29.0,10,1
3.0,10,2
13.0,10,2
12.0,10,1
4.0,1,5
14.0,10,1
6.0,3,3
5.0,6,2
18.0,10,4
16.0,10,1
18.0,4,5
11.0,8,2
18.0,7,3
22.0,10,6
50.0,10,3
16.0,5,4
14.0,1,5
17.0,5,2
90.0,9,2
14.0,10,2
11.0,10,5
9.0,10,3
11.0,10,1
21.0,10,4
8.0,10,3
13.0,10,3
6.0,5,1
11.0,7,2
44.0,10,3
15.0,10,4
15.0,5,2
7.0,2,3
12.0,10,2
10.0,10,4
14.0,10,2
25.0,10,3
14.0,10,2
21.0,10,4
29.0,7,4
10.0,4,2
16.0,10,0
14.0,10,2
44.0,10,3
11.0,3,1
55.0,1,3
19.0,10,5
13.0,10,2
9.0,7,5
3.0,8,2
22.0,1,4
20.0,1,3
30.0,10,3
10.0,2,2
8.0,5,2
14.0,10,3
10.0,9,1
9.0,10,3
12.0,10,3
38.0,10,4
14.0,5,1
68.0,1,1
24.0,10,4
12.0,10,4
24.0,10,3
10.0,1,3
70.0,10,5
23.0,6,3
42.0,10,1
8.0,10,5
26.0,1,4
22.0,10,3
20.0,3,2
10.0,10,2
9.0,4,2
35.0,10,4
6.0,10,2
8.0,10,2
26.0,5,3
35.0,6,6
5.0,10,2
18.0,2,4
11.0,4,1
26.0,10,2
10.0,8,2
28.0,10,3
16.0,10,0
14.0,10,3
10.0,10,2
13.0,10,4
9.0,10,4
7.0,5,4
24.0,10,4
9.0,4,2
16.0,8,5
12.0,10,4
6.0,4,3
15.0,7,4
16.0,10,5
15.0,10,4
18.0,5,0
14.0,10,4
7.0,10,3
8.0,7,2
12.0,1,3
24.0,1,3
12.0,4,1
21.0,2,3
10.0,10,4
20.0,10,4
5.0,3,1
37.0,10,2
9.0,5,2
26.0,10,4
8.0,2,1
39.0,8,4
40.0,10,4
9.0,7,1
18.0,1,3
30.0,10,4
10.0,9,3
7.0,9,3
4.0,10,5
10.0,10,4
10.0,4,3
34.0,1,1
9.0,8,6
38.0,8,5
39.0,10,3
12.0,10,3
9.0,1,2
22.0,7,3
10.0,10,5
11.0,7,1
13.0,10,5
9.0,10,3
21.0,10,2
8.0,1,1
40.0,1,3
18.0,10,3
16.0,10,3
7.0,10,3
7.0,5,1
