price,description_rank,name_rank
8.0,10,3
12.0,10,3
28.0,10,3
5.0,6,3
3.0,1,2
10.0,3,1
34.0,8,1
29.0,10,2
16.0,3,3
30.0,5,0
6.0,10,2
470.0,10,2
3.0,1,1
18.0,7,2
10.0,9,4
51.0,1,6
100.0,10,1
5.0,1,1
3.0,8,2
19.0,4,1
18.0,2,1
36.0,4,4
20.0,1,1
20.0,5,2
100.0,3,2
30.0,10,3
3.0,10,1
8.0,10,1
27.0,4,3
5.0,10,0
11.0,10,2
20.0,7,3
36.0,10,4
8.0,2,2
40.0,10,4
8.0,5,1
15.0,3,2
57.0,10,4
306.0,10,4
29.0,8,3
6.0,8,2
14.0,1,0
10.0,10,2
6.0,3,0
16.0,8,3
26.0,8,1
16.0,10,4
16.0,10,0
26.0,9,3
10.0,9,0
16.0,10,2
4.0,10,3
20.0,5,1
61.0,10,4
12.0,10,3
27.0,8,6
9.0,1,3
18.0,2,4
16.0,10,3
50.0,10,3
10.0,2,1
12.0,10,3
159.0,7,0
18.0,10,1
150.0,9,2
13.0,9,0
32.0,10,2
20.0,10,1
16.0,5,1
32.0,7,2
5.0,8,2
35.0,10,5
6.0,10,4
18.0,10,2
10.0,3,5
35.0,5,1
12.0,4,3
15.0,10,2
49.0,4,2
15.0,2,4
6.0,10,1
8.0,10,2
46.0,7,3
36.0,10,2
5.0,4,3
10.0,10,2
7.0,10,4
44.0,10,2
18.0,2,1
81.0,7,2
12.0,6,3
74.0,1,4
54.0,8,0
9.0,10,3
8.0,10,0
24.0,10,1
3.0,7,1
10.0,4,2
20.0,6,2
155.0,10,2
10.0,1,1
50.0,7,3
47.0,10,2
45.0,6,1
5.0,10,1
14.0,1,1
8.0,10,3
18.0,3,3
15.0,10,2
6.0,10,3
8.0,10,2
16.0,9,4
8.0,5,1
22.0,1,2
71.0,6,2
15.0,3,4
11.0,8,4
15.0,10,3
25.0,2,1
46.0,8,3
29.0,10,4
3.0,3,2
46.0,3,2
52.0,5,2
8.0,10,1
12.0,8,3
12.0,8,2
14.0,10,3
59.0,5,0
29.0,10,1
20.0,10,3
50.0,4,2
27.0,4,2
20.0,10,4
4.0,3,1
26.0,10,1
18.0,10,3
26.0,1,1
8.0,10,2
5.0,9,2
26.0,2,1
86.0,8,1
15.0,10,3
7.0,2,3
29.0,10,5
15.0,1,3
184.0,10,3
159.0,10,2
23.0,2,1
10.0,10,2
46.0,10,2
3.0,8,3
21.0,10,2
18.0,1,0
7.0,10,2
11.0,2,5
10.0,10,0
5.0,3,2
13.0,10,2
26.0,10,2
12.0,10,4
20.0,9,1
14.0,7,2
47.0,3,1
4.0,10,2
14.0,10,1
6.0,2,1
14.0,2,3
20.0,10,1
5.0,8,1
10.0,10,1
6.0,3,1
25.0,4,3
6.0,2,1
20.0,10,3
23.0,10,5
14.0,2,1
16.0,10,5
55.0,9,2
40.0,10,3
15.0,6,1
15.0,10,2
12.0,10,1
16.0,10,3
33.0,7,4
29.0,10,3
16.0,10,2
7.0,6,6
6.0,10,3
15.0,4,1
32.0,8,3
15.0,10,2
30.0,5,3
23.0,6,1
21.0,6,2
35.0,10,3
7.0,9,2
24.0,7,5
3.0,1,1
5.0,5,2
10.0,2,2
24.0,9,2
29.0,6,0
7.0,10,1
18.0,10,2
12.0,9,1
3.0,7,3
12.0,9,2
20.0,10,4
8.0,1,4
24.0,10,0
5.0,4,3
16.0,2,2
19.0,9,1
4.0,2,1
20.0,10,4
15.0,10,2
42.0,10,4
10.0,2,3
7.0,10,1
12.0,1,2
25.0,3,3
12.0,10,3
11.0,1,2
24.0,1,2
10.0,10,3
28.0,7,4
13.0,4,0
3.0,6,0
12.0,10,2
29.0,8,3
27.0,4,1
31.0,10,3
5.0,2,2
6.0,10,4
20.0,10,4
8.0,3,4
15.0,4,3
5.0,3,3
15.0,1,4
10.0,1,5
18.0,3,3
55.0,10,2
12.0,10,2
37.0,9,3
10.0,10,1
11.0,8,5
10.0,10,2
30.0,2,2
12.0,9,2
9.0,1,0
65.0,10,4
15.0,7,1
10.0,10,3
8.0,10,0
30.0,2,3
5.0,2,0
21.0,10,2
22.0,10,2
57.0,10,3
6.0,10,2
5.0,1,1
12.0,5,2
30.0,10,1
16.0,10,4
12.0,10,3
17.0,10,1
19.0,10,1
10.0,1,2
14.0,8,4
4.0,2,1
26.0,3,1
15.0,7,2
3.0,4,1
16.0,10,4
14.0,10,1
7.0,1,2
8.0,2,1
13.0,1,3
24.0,8,1
7.0,2,2
8.0,6,3
41.0,10,4
3.0,1,0
20.0,3,0
10.0,10,2
20.0,10,0
127.0,10,1
20.0,4,4
29.0,4,2
34.0,9,3
28.0,5,4
13.0,10,1
15.0,10,1
8.0,9,0
30.0,10,3
84.0,6,0
12.0,1,2
60.0,10,3
10.0,1,1
36.0,7,4
8.0,4,1
150.0,10,3
71.0,10,2
16.0,10,3
8.0,10,2
43.0,10,4
4.0,1,3
10.0,5,2
18.0,10,2
16.0,4,0
156.0,10,1
5.0,10,4
56.0,6,5
18.0,10,2
75.0,4,3
34.0,8,1
10.0,8,2
8.0,10,3
54.0,1,1
18.0,10,1
75.0,2,2
6.0,5,2
59.0,6,1
27.0,4,1
44.0,3,1
25.0,4,3
7.0,5,1
24.0,8,2
75.0,5,3
8.0,2,1
3.0,1,1
21.0,10,2
8.0,5,3
8.0,3,2
11.0,3,1
20.0,10,4
7.0,10,5
15.0,10,3
10.0,5,3
20.0,3,3
30.0,9,4
25.0,10,0
23.0,9,1
75.0,4,1
84.0,5,0
18.0,10,3
40.0,6,1
24.0,10,0
18.0,4,3
4.0,10,4
3.0,7,0
6.0,3,3
17.0,8,0
21.0,6,0
10.0,6,3
7.0,10,0
3.0,10,3
20.0,7,3
74.0,10,4
10.0,10,2
7.0,10,2
11.0,7,3
7.0,5,0
94.0,10,1
35.0,5,1
14.0,10,3
16.0,2,2
12.0,1,4
60.0,4,2
27.0,10,3
5.0,4,3
12.0,10,2
5.0,1,2
50.0,5,2
26.0,10,2
10.0,10,3
38.0,8,1
8.0,3,1
11.0,3,3
44.0,1,1
11.0,10,4
70.0,8,0
4.0,10,0
16.0,10,0
26.0,3,1
18.0,5,3
20.0,10,3
20.0,9,2
34.0,10,3
70.0,1,2
31.0,9,2
16.0,3,1
21.0,3,2
9.0,9,1
54.0,10,3
6.0,3,0
69.0,1,1
8.0,3,3
16.0,4,0
25.0,2,1
27.0,9,4
3.0,10,1
11.0,6,1
11.0,6,4
3.0,1,0
38.0,1,0
18.0,10,0
6.0,10,2
5.0,10,0
5.0,10,3
3.0,5,0
13.0,10,1
8.0,9,4
5.0,2,4
4.0,5,5
12.0,10,1
27.0,9,3
12.0,8,2
7.0,6,2
15.0,8,1
46.0,10,3
29.0,10,1
11.0,3,0
4.0,6,4
60.0,10,3
14.0,5,3
9.0,2,3
8.0,5,4
15.0,4,3
8.0,10,2
51.0,8,3
66.0,10,1
7.0,10,2
5.0,10,7
18.0,10,4
9.0,3,2
11.0,3,2
84.0,10,3
19.0,10,2
6.0,10,5
50.0,10,2
12.0,2,0
10.0,1,2
18.0,9,2
271.0,5,6
16.0,10,2
9.0,8,2
49.0,4,1
25.0,1,2
25.0,3,4
25.0,8,4
16.0,10,1
26.0,4,3
10.0,2,0
16.0,10,1
16.0,10,2
30.0,10,1
5.0,10,3
19.0,2,1
16.0,10,2
16.0,6,1
22.0,10,4
8.0,3,3
16.0,10,2
14.0,4,1
36.0,10,2
14.0,10,1
22.0,1,4
7.0,3,0
430.0,10,3
31.0,8,0
7.0,7,4
11.0,10,2
15.0,5,2
30.0,4,2
10.0,5,3
3.0,8,3
18.0,10,2
34.0,2,3
20.0,4,4
34.0,10,5
9.0,5,2
18.0,5,3
18.0,5,3
7.0,1,0
25.0,10,0
3.0,1,0
10.0,9,1
18.0,3,2
3.0,5,5
10.0,10,4
10.0,10,2
21.0,10,1
54.0,9,2
6.0,10,1
20.0,10,2
155.0,8,0
40.0,9,2
10.0,4,1
16.0,10,2
34.0,10,1
63.0,10,6
195.0,10,2
14.0,9,4
30.0,2,2
18.0,8,4
14.0,10,4
22.0,1,2
21.0,10,2
4.0,6,1
10.0,6,4
16.0,6,2
9.0,9,0
26.0,1,1
24.0,4,5
4.0,10,2
9.0,10,4
10.0,7,3
20.0,10,3
59.0,10,2
28.0,10,2
14.0,9,3
6.0,2,2
6.0,6,4
84.0,10,1
16.0,8,1
10.0,10,0
25.0,7,2
22.0,8,2
415.0,10,5
41.0,10,3
79.0,1,1
23.0,6,3
28.0,4,3
25.0,5,3
146.0,1,3
9.0,3,2
6.0,2,0
54.0,10,2
10.0,2,1
34.0,2,2
8.0,10,2
7.0,1,4
17.0,1,2
8.0,10,2
56.0,5,3
44.0,10,5
22.0,10,3
21.0,10,1
36.0,8,2
39.0,10,2
41.0,4,2
46.0,1,2
22.0,2,0
21.0,9,1
20.0,9,6
22.0,10,5
16.0,6,1
30.0,10,1
15.0,10,1
10.0,1,1
18.0,1,0
15.0,4,2
375.0,10,2
9.0,3,2
29.0,2,3
154.0,10,2
231.0,10,1
26.0,10,1
14.0,10,2
16.0,10,3
85.0,5,1
41.0,6,1
61.0,10,4
7.0,5,2
41.0,7,3
12.0,10,3
20.0,10,1
131.0,9,1
146.0,10,1
3.0,4,6
7.0,5,3
5.0,3,0
27.0,1,4
15.0,10,2
5.0,1,2
6.0,9,1
8.0,3,3
11.0,4,1
32.0,1,1
16.0,5,2
11.0,10,2
5.0,10,3
8.0,5,2
33.0,9,2
18.0,1,0
19.0,4,1
25.0,8,0
3.0,1,2
22.0,10,6
9.0,10,1
10.0,10,3
29.0,10,1
11.0,4,1
6.0,10,4
34.0,10,3
10.0,8,4
46.0,6,0
26.0,5,1
22.0,1,4
10.0,9,4
1109.0,7,2
25.0,10,0
8.0,8,4
12.0,10,2
26.0,5,1
31.0,7,2
80.0,4,2
10.0,10,0
7.0,10,6
3.0,4,2
10.0,6,1
10.0,10,2
20.0,7,4
149.0,10,3
30.0,1,2
24.0,10,1
20.0,6,1
43.0,7,4
30.0,4,2
20.0,8,1
288.0,10,1
3.0,1,3
18.0,1,1
42.0,10,1
9.0,1,0
70.0,4,3
45.0,6,5
26.0,8,1
100.0,5,3
5.0,1,0
156.0,1,1
7.0,5,3
24.0,1,2
24.0,1,3
3.0,4,3
13.0,10,1
15.0,3,3
19.0,1,5
39.0,10,0
21.0,10,1
105.0,10,2
3.0,4,2
10.0,10,1
6.0,10,2
7.0,6,3
11.0,2,3
25.0,4,2
18.0,10,4
8.0,8,2
16.0,4,1
19.0,10,1
30.0,10,2
12.0,10,3
46.0,2,0
45.0,10,2
3.0,1,1
21.0,7,4
58.0,4,2
18.0,3,0
15.0,10,2
3.0,10,4
12.0,10,2
43.0,9,3
3.0,1,2
8.0,3,3
14.0,3,3
4.0,10,2
9.0,10,2
4.0,6,0
46.0,10,5
4.0,2,0
12.0,10,2
18.0,10,2
16.0,10,0
10.0,1,2
209.0,10,3
23.0,2,3
9.0,10,1
15.0,10,2
13.0,7,5
7.0,3,2
200.0,10,4
33.0,1,4
12.0,2,1
3.0,1,0
20.0,5,2
19.0,1,1
114.0,10,1
3.0,4,2
10.0,3,2
13.0,1,3
4.0,9,1
42.0,10,6
26.0,10,2
10.0,10,0
22.0,10,5
16.0,3,0
74.0,6,2
12.0,2,3
21.0,10,2
9.0,7,2
39.0,10,4
8.0,3,2
56.0,10,3
45.0,5,3
11.0,3,2
205.0,1,3
3.0,5,2
24.0,10,1
5.0,5,3
13.0,10,1
21.0,4,0
36.0,10,1
5.0,3,2
80.0,10,3
11.0,1,0
5.0,1,3
41.0,6,4
190.0,7,3
10.0,10,2
48.0,3,1
30.0,10,2
24.0,6,2
6.0,10,3
9.0,8,2
39.0,4,2
5.0,10,1
40.0,4,4
5.0,9,2
5.0,5,1
8.0,4,1
200.0,10,4
18.0,1,2
12.0,10,3
16.0,10,2
16.0,1,0
44.0,9,1
7.0,10,2
16.0,1,2
5.0,2,2
105.0,10,3
6.0,3,2
7.0,10,5
25.0,10,3
21.0,10,3
20.0,1,3
42.0,10,4
14.0,1,2
18.0,10,2
10.0,3,0
50.0,8,4
47.0,9,3
5.0,1,1
7.0,10,5
5.0,2,2
29.0,2,3
39.0,10,4
35.0,1,1
44.0,10,1
15.0,5,2
10.0,3,1
30.0,10,3
5.0,8,2
15.0,10,5
12.0,5,3
18.0,1,3
26.0,10,2
36.0,10,3
19.0,6,3
28.0,10,1
24.0,3,2
26.0,4,0
45.0,9,2
5.0,10,2
10.0,10,1
26.0,6,1
65.0,10,2
68.0,10,4
19.0,4,5
181.0,10,3
11.0,10,1
42.0,2,1
29.0,3,3
16.0,1,1
3.0,10,2
8.0,10,4
66.0,2,1
30.0,10,6
16.0,10,4
12.0,2,2
76.0,3,4
13.0,5,5
22.0,1,2
21.0,10,0
21.0,2,0
22.0,4,4
20.0,10,2
56.0,10,3
15.0,8,2
12.0,1,1
20.0,10,1
10.0,4,1
550.0,10,3
15.0,7,1
40.0,10,4
33.0,10,5
4.0,1,2
9.0,6,2
17.0,4,1
41.0,10,3
22.0,10,3
15.0,5,1
8.0,10,1
13.0,10,0
40.0,10,5
3.0,10,3
75.0,10,2
8.0,7,3
19.0,2,1
41.0,10,2
24.0,4,2
16.0,4,2
100.0,9,1
18.0,10,1
19.0,10,2
151.0,10,0
25.0,10,5
11.0,10,0
14.0,1,2
52.0,8,4
7.0,8,3
22.0,10,4
29.0,10,3
9.0,5,1
15.0,6,3
5.0,8,2
23.0,10,2
25.0,5,2
3.0,8,1
25.0,10,2
14.0,4,4
140.0,4,3
21.0,10,0
18.0,3,1
14.0,10,2
18.0,10,3
17.0,5,3
10.0,10,3
8.0,3,1
10.0,7,3
41.0,1,5
10.0,2,3
12.0,10,2
50.0,10,3
13.0,10,0
8.0,1,2
36.0,10,1
8.0,8,1
20.0,8,2
18.0,10,0
35.0,10,4
10.0,10,3
30.0,1,4
11.0,1,4
84.0,10,3
16.0,4,1
45.0,10,3
12.0,10,3
23.0,10,4
12.0,10,3
39.0,3,2
12.0,8,0
6.0,10,2
19.0,1,3
39.0,10,2
99.0,1,1
5.0,10,2
14.0,1,1
33.0,4,3
9.0,10,3
40.0,10,4
24.0,4,1
3.0,10,1
15.0,6,2
30.0,10,4
30.0,10,2
27.0,10,2
22.0,2,0
40.0,10,4
4.0,10,4
90.0,8,2
34.0,10,3
18.0,10,3
335.0,10,0
40.0,4,2
12.0,4,2
16.0,3,0
76.0,5,2
18.0,5,1
35.0,10,1
14.0,6,2
12.0,6,1
23.0,10,2
21.0,8,3
14.0,1,2
22.0,10,4
504.0,10,3
5.0,7,1
25.0,2,5
30.0,10,2
8.0,1,1
16.0,1,3
35.0,10,2
6.0,1,2
19.0,4,2
35.0,10,3
16.0,10,3
5.0,10,0
19.0,4,1
25.0,7,1
13.0,10,1
9.0,10,1
3.0,4,3
10.0,10,3
11.0,10,2
13.0,10,4
20.0,6,2
16.0,7,4
16.0,1,4
16.0,7,3
18.0,1,3
8.0,10,1
29.0,3,3
10.0,10,2
14.0,5,2
24.0,10,1
10.0,1,2
45.0,5,5
24.0,10,5
25.0,3,3
16.0,7,0
10.0,10,3
6.0,5,0
7.0,1,2
3.0,3,0
14.0,6,3
10.0,10,2
24.0,10,1
24.0,3,4
24.0,2,3
6.0,1,2
13.0,10,2
11.0,2,3
27.0,10,3
4.0,10,4
21.0,3,2
15.0,4,3
18.0,5,3
12.0,3,2
15.0,10,1
30.0,6,4
11.0,10,1
22.0,2,0
29.0,3,1
26.0,10,2
15.0,10,3
45.0,9,3
22.0,4,4
8.0,1,4
11.0,6,2
18.0,10,2
15.0,5,3
16.0,4,0
15.0,1,3
6.0,4,3
17.0,10,3
18.0,10,0
21.0,1,2
3.0,1,1
3.0,2,0
6.0,10,0
20.0,4,4
8.0,1,1
115.0,10,3
45.0,8,4
28.0,10,5
26.0,7,3
122.0,10,3
12.0,3,2
3.0,1,0
14.0,10,5
8.0,5,1
56.0,1,1
32.0,9,1
10.0,1,1
8.0,5,2
19.0,7,0
12.0,10,0
18.0,10,1
40.0,10,0
12.0,10,1
26.0,10,3
35.0,10,1
9.0,1,0
31.0,10,3
3.0,5,3
10.0,1,1
10.0,5,1
20.0,3,2
14.0,9,2
3.0,6,4
22.0,10,2
48.0,7,3
12.0,4,3
4.0,8,2
14.0,3,1
55.0,6,1
37.0,2,3
20.0,10,3
4.0,6,2
156.0,10,2
7.0,7,3
20.0,10,1
44.0,8,2
8.0,2,3
20.0,7,2
85.0,10,3
10.0,5,5
92.0,10,2
10.0,3,3
25.0,1,2
14.0,10,2
59.0,10,2
16.0,10,3
